temp,risk,bins,poly_2,poly_3,poly_4,spline
-20,high,34.805908,-205.35907,289.04996,-34.110298,-34.139645
-20,low,5.2754641,-18.731977,-34.329308,-72.3918,-2.3498528
-19.9,high,34.805908,-204.4231,286.43155,-33.001713,-34.067009
-19.9,low,5.2754641,-18.636379,-34.086716,-71.718796,-2.3448532
-19.799999,high,34.805908,-203.48926,283.82733,-31.908211,-33.99437
-19.799999,low,5.2754641,-18.541019,-33.845169,-71.05027,-2.3398535
-19.700001,high,34.805908,-202.55757,281.23727,-30.829704,-33.921734
-19.700001,low,5.2754641,-18.445898,-33.604679,-70.386208,-2.3348539
-19.6,high,34.805908,-201.62799,278.66132,-29.766043,-33.849094
-19.6,low,5.2754641,-18.351013,-33.365223,-69.726563,-2.329854
-19.5,high,34.805908,-200.70053,276.0994,-28.717144,-33.776459
-19.5,low,5.2754641,-18.256367,-33.126816,-69.071335,-2.3248544
-19.4,high,34.805908,-199.77521,273.55154,-27.682898,-33.703819
-19.4,low,5.2754641,-18.161957,-32.889442,-68.420509,-2.3198547
-19.299999,high,34.805908,-198.85201,271.0177,-26.663197,-33.631184
-19.299999,low,5.2754641,-18.067785,-32.653114,-67.774055,-2.3148551
-19.200001,high,34.805908,-197.93095,268.49786,-25.657955,-33.558544
-19.200001,low,5.2754641,-17.973854,-32.41782,-67.131973,-2.3098555
-19.1,high,34.805908,-197.01201,265.99188,-24.667028,-33.485909
-19.1,low,5.2754641,-17.880157,-32.183559,-66.494217,-2.3048556
-19,high,34.805908,-196.0952,263.49985,-23.690331,-33.413269
-19,low,5.2754641,-17.786699,-31.950331,-65.860779,-2.2998559
-18.9,high,34.805908,-195.18051,261.02164,-22.727753,-33.340633
-18.9,low,5.2754641,-17.693478,-31.718132,-65.231636,-2.2948563
-18.799999,high,34.805908,-194.26796,258.55725,-21.779196,-33.267994
-18.799999,low,5.2754641,-17.600496,-31.486961,-64.606781,-2.2898567
-18.700001,high,34.805908,-193.35754,256.10669,-20.844568,-33.195358
-18.700001,low,5.2754641,-17.507751,-31.256819,-63.986198,-2.284857
-18.6,high,34.805908,-192.44925,253.66986,-19.923731,-33.122719
-18.6,low,5.2754641,-17.415245,-31.027699,-63.369846,-2.2798572
