temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-9.3317852,15.814971,-40.32856,21.664989,-235.25459,89.7342,-411.1304,-59.378796
-19.9,27,-9.3119307,15.781322,-40.242756,21.618893,-234.75406,89.543274,-410.25565,-59.252457
-19.8,27,-9.2920761,15.747673,-40.156948,21.572798,-234.25351,89.352348,-409.38089,-59.126118
-19.7,27,-9.2722216,15.714025,-40.071144,21.526701,-233.75298,89.16143,-408.50616,-58.999783
-19.6,27,-9.2523661,15.680376,-39.98534,21.480606,-233.25243,88.970505,-407.63141,-58.873444
-19.5,27,-9.2325115,15.646727,-39.899532,21.434509,-232.75189,88.779579,-406.75668,-58.747105
-19.4,27,-9.212656,15.613078,-39.813728,21.388414,-232.25134,88.588654,-405.88193,-58.62077
-19.3,27,-9.1928015,15.579429,-39.727921,21.342318,-231.75079,88.397736,-405.00717,-58.494431
-19.2,27,-9.1729469,15.54578,-39.642117,21.296223,-231.25026,88.20681,-404.13245,-58.368092
-19.1,27,-9.1530924,15.512132,-39.556313,21.250128,-230.74973,88.015884,-403.25769,-58.241756
-19,27,-9.1332369,15.478482,-39.470505,21.204031,-230.24918,87.824959,-402.38293,-58.115417
-18.9,27,-9.1133823,15.444834,-39.384701,21.157936,-229.74864,87.634041,-401.50818,-57.989079
-18.8,27,-9.0935268,15.411184,-39.298893,21.111839,-229.24809,87.443115,-400.63345,-57.86274
-18.7,27,-9.0736723,15.377536,-39.213089,21.065744,-228.74756,87.25219,-399.7587,-57.736404
-18.6,27,-9.0538177,15.343887,-39.127285,21.01965,-228.24701,87.061264,-398.88397,-57.610065
-18.5,27,-9.0339622,15.310238,-39.041477,20.973553,-227.74648,86.870346,-398.00922,-57.483727
-18.4,27,-9.0141077,15.276589,-38.955673,20.927458,-227.24593,86.67942,-397.13446,-57.357388
-18.3,27,-8.9942532,15.24294,-38.869865,20.881361,-226.74538,86.488495,-396.2597,-57.231052
-18.2,27,-8.9743986,15.209291,-38.784061,20.835266,-226.24484,86.297569,-395.38498,-57.104713
-18.1,27,-8.9545431,15.175643,-38.698257,20.789169,-225.74431,86.106651,-394.51022,-56.978374
-18,27,-8.9346886,15.141994,-38.61245,20.743074,-225.24376,85.915726,-393.6355,-56.852039
-17.9,27,-8.9148331,15.108345,-38.526646,20.696978,-224.74323,85.7248,-392.76074,-56.7257
-17.8,27,-8.8949785,15.074696,-38.440838,20.650883,-224.24268,85.533875,-391.88599,-56.599361
-17.7,27,-8.875124,15.041047,-38.355034,20.604788,-223.74214,85.342957,-391.01126,-56.473026
-17.6,27,-8.8552694,15.007399,-38.26923,20.558691,-223.24159,85.152031,-390.13651,-56.346687
-17.5,27,-8.8354139,14.973749,-38.183422,20.512596,-222.74106,84.961105,-389.26175,-56.220348
-17.4,27,-8.8155594,14.940101,-38.097618,20.466499,-222.24051,84.77018,-388.38702,-56.094009
-17.3,27,-8.7957039,14.906451,-38.01181,20.420404,-221.73996,84.579254,-387.51227,-55.96767
-17.2,27,-8.7758493,14.872803,-37.926006,20.37431,-221.23943,84.388336,-386.63754,-55.841335
-17.1,27,-8.7559948,14.839154,-37.840202,20.328213,-220.73889,84.197411,-385.76279,-55.714996
-17,27,-8.7361393,14.805505,-37.754398,20.282118,-220.23834,84.006485,-384.88803,-55.588661
-16.9,27,-8.7162848,14.771856,-37.668591,20.236021,-219.73781,83.815559,-384.01328,-55.462322
-16.8,27,-8.6964302,14.738207,-37.582787,20.189926,-219.23726,83.624634,-383.13852,-55.335983
-16.7,27,-8.6765757,14.704558,-37.496983,20.143829,-218.73672,83.433716,-382.26379,-55.209648
-16.6,27,-8.6567202,14.67091,-37.411175,20.097734,-218.23618,83.24279,-381.38904,-55.083309
-16.5,27,-8.6368656,14.63726,-37.325371,20.051638,-217.73564,83.051865,-380.51431,-54.95697
-16.4,27,-8.6170101,14.603612,-37.239563,20.005543,-217.23509,82.860939,-379.63956,-54.830631
-16.3,27,-8.5971556,14.569963,-37.153759,19.959446,-216.73454,82.670013,-378.7648,-54.704292
-16.2,27,-8.577301,14.536314,-37.067955,19.913351,-216.23401,82.479095,-377.89008,-54.577957
-16.1,27,-8.5574465,14.502666,-36.982147,19.867256,-215.73347,82.28817,-377.01532,-54.451618
-16,27,-8.537591,14.469016,-36.896343,19.821159,-215.23293,82.097244,-376.14056,-54.325279
