temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,7.2446828,9.8944321,-12.148048,26.637415,-109.36282,142.39255,-388.44708,169.72145
-19.9,27,7.2292686,9.8733807,-12.122201,26.580738,-109.13013,142.08958,-387.62061,169.36034
-19.8,27,7.2138543,9.8523283,-12.096354,26.524063,-108.89745,141.78662,-386.79413,168.99922
-19.7,27,7.1984406,9.8312769,-12.070508,26.467388,-108.66476,141.48366,-385.96765,168.63812
-19.6,27,7.1830263,9.8102245,-12.044661,26.410713,-108.43208,141.18069,-385.14114,168.27701
-19.5,27,7.1676121,9.7891722,-12.018813,26.354038,-108.19939,140.87773,-384.31467,167.91589
-19.4,27,7.1521978,9.7681208,-11.992967,26.297361,-107.9667,140.57477,-383.48819,167.55479
-19.3,27,7.1367831,9.7470684,-11.967119,26.240686,-107.73401,140.2718,-382.66171,167.19368
-19.2,27,7.1213694,9.726017,-11.941273,26.184011,-107.50133,139.96884,-381.83524,166.83258
-19.1,27,7.1059551,9.7049646,-11.915426,26.127337,-107.26864,139.66588,-381.00873,166.47147
-19,27,7.0905409,9.6839123,-11.889579,26.07066,-107.03595,139.36292,-380.18225,166.11035
-18.9,27,7.0751266,9.6628609,-11.863732,26.013985,-106.80326,139.05995,-379.35577,165.74924
-18.8,27,7.0597124,9.6418085,-11.837885,25.95731,-106.57057,138.75699,-378.5293,165.38814
-18.7,27,7.0442982,9.6207571,-11.812038,25.900635,-106.33789,138.45404,-377.70282,165.02702
-18.6,27,7.0288839,9.5997047,-11.786191,25.84396,-106.1052,138.15108,-376.87631,164.66592
-18.5,27,7.0134697,9.5786524,-11.760345,25.787283,-105.87251,137.8481,-376.04984,164.30481
-18.4,27,6.9980555,9.557601,-11.734497,25.730608,-105.63983,137.54514,-375.22336,163.9437
-18.3,27,6.9826412,9.5365486,-11.708651,25.673933,-105.40714,137.24217,-374.39688,163.58258
-18.2,27,6.967227,9.5154972,-11.682804,25.617258,-105.17445,136.93922,-373.5704,163.22148
-18.1,27,6.9518127,9.4944448,-11.656957,25.560583,-104.94177,136.63626,-372.7439,162.86037
-18,27,6.9363985,9.4733925,-11.63111,25.503906,-104.70908,136.3333,-371.91742,162.49925
-17.9,27,6.9209843,9.4523411,-11.605263,25.447231,-104.47639,136.03033,-371.09094,162.13815
-17.8,27,6.90557,9.4312887,-11.579416,25.390556,-104.24371,135.72736,-370.26447,161.77704
-17.7,27,6.8901563,9.4102373,-11.55357,25.333881,-104.01102,135.42441,-369.43799,161.41594
-17.6,27,6.8747416,9.389185,-11.527722,25.277206,-103.77834,135.12144,-368.61148,161.05482
-17.5,27,6.8593273,9.3681326,-11.501875,25.22053,-103.54565,134.81848,-367.785,160.69371
-17.4,27,6.8439131,9.3470802,-11.476028,25.163855,-103.31296,134.51552,-366.95853,160.3326
-17.3,27,6.8284988,9.3260288,-11.450181,25.10718,-103.08027,134.21255,-366.13205,159.9715
-17.2,27,6.8130851,9.3049774,-11.424335,25.050505,-102.84759,133.90959,-365.30557,159.61038
-17.1,27,6.7976708,9.2839251,-11.398488,24.99383,-102.6149,133.60663,-364.47906,159.24927
-17,27,6.7822566,9.2628727,-11.372641,24.937153,-102.38221,133.30367,-363.65259,158.88817
-16.9,27,6.7668419,9.2418203,-11.346794,24.880478,-102.14953,133.0007,-362.82611,158.52705
-16.8,27,6.7514277,9.2207689,-11.320947,24.823803,-101.91684,132.69774,-361.9996,158.16594
-16.7,27,6.7360139,9.1997175,-11.2951,24.767128,-101.68416,132.39478,-361.17316,157.80484
-16.6,27,6.7205997,9.1786652,-11.269253,24.710453,-101.45147,132.09181,-360.34665,157.44373
-16.5,27,6.7051854,9.1576128,-11.243406,24.653776,-101.21878,131.78885,-359.52017,157.08261
-16.4,27,6.6897712,9.1365604,-11.217559,24.597101,-100.98609,131.48589,-358.6937,156.72151
-16.3,27,6.6743569,9.115509,-11.191712,24.540426,-100.7534,131.18292,-357.86719,156.3604
-16.2,27,6.6589427,9.0944567,-11.165866,24.483751,-100.52072,130.87996,-357.04074,155.9993
-16.1,27,6.6435285,9.0734053,-11.140018,24.427076,-100.28803,130.577,-356.21423,155.63818
-16,27,6.6281142,9.0523529,-11.114172,24.370399,-100.05534,130.27403,-355.38776,155.27707
-15.9,27,6.6127,9.0313005,-11.088325,24.313725,-99.822655,129.97107,-354.56128,154.91595
-15.8,27,6.5972857,9.0102491,-11.062478,24.25705,-99.589973,129.66811,-353.7348,154.55486
-15.7,27,6.5818715,8.9891968,-11.036631,24.200375,-99.357285,129.36514,-352.90829,154.19374
-15.6,27,6.5664573,8.9681454,-11.010784,24.1437,-99.124596,129.06218,-352.08182,153.83263
-15.5,27,6.551043,8.947093,-10.984937,24.087023,-98.891914,128.75922,-351.25534,153.47153
-15.4,27,6.5356288,8.9260406,-10.95909,24.030348,-98.659225,128.45625,-350.42886,153.11041
-15.3,27,6.5202146,8.9049892,-10.933244,23.973673,-98.426537,128.15329,-349.60239,152.7493
-15.2,27,6.5048003,8.8839369,-10.907396,23.916998,-98.193848,127.85033,-348.77588,152.3882
-15.1,27,6.4893861,8.8628855,-10.88155,23.860323,-97.961166,127.54737,-347.9494,152.02708
-15,27,6.4739718,8.8418331,-10.855702,23.803646,-97.728477,127.24441,-347.12292,151.66597
-14.9,27,6.4585576,8.8207808,-10.829856,23.746971,-97.495789,126.94144,-346.29645,151.30487
-14.8,27,6.4431438,8.7997293,-10.804008,23.690296,-97.2631,126.63848,-345.46997,150.94376
-14.7,27,6.4277291,8.778677,-10.778162,23.633621,-97.030418,126.33552,-344.64346,150.58264
-14.6,27,6.4123154,8.7576256,-10.752315,23.576946,-96.797729,126.03255,-343.81699,150.22154
-14.5,27,6.3969011,8.7365732,-10.726468,23.520269,-96.565041,125.72959,-342.99051,149.86043
-14.4,27,6.3814864,8.7155209,-10.700621,23.463594,-96.332352,125.42663,-342.16403,149.49931
-14.3,27,6.3660727,8.6944695,-10.674774,23.406919,-96.09967,125.12366,-341.33755,149.13821
-14.2,27,6.3506584,8.6734171,-10.648927,23.350245,-95.866982,124.8207,-340.51105,148.7771
-14.1,27,6.3352442,8.6523657,-10.62308,23.29357,-95.634293,124.51774,-339.68457,148.41599
-14,27,6.3198299,8.6313133,-10.597234,23.236893,-95.401611,124.21478,-338.85809,148.05489
-13.9,27,6.3044157,8.610261,-10.571386,23.180218,-95.168922,123.91181,-338.03162,147.69377
-13.8,27,6.2890015,8.5892096,-10.54554,23.123543,-94.936234,123.60885,-337.20514,147.33266
-13.7,27,6.2735872,8.5681572,-10.519692,23.066868,-94.703545,123.30589,-336.37863,146.97156
-13.6,27,6.258173,8.5471058,-10.493846,23.010191,-94.470863,123.00293,-335.55215,146.61044
-13.5,27,6.2427588,8.5260534,-10.467999,22.953516,-94.238174,122.69996,-334.72568,146.24933
-13.4,27,6.2273445,8.5050011,-10.442152,22.896841,-94.005486,122.397,-333.8992,145.88823
-13.3,27,6.2119303,8.4839497,-10.416306,22.840166,-93.772804,122.09404,-333.07272,145.52711
-13.2,27,6.196516,8.4628973,-10.390458,22.783491,-93.540115,121.79108,-332.24622,145.166
-13.1,27,6.1811018,8.4418459,-10.364612,22.726814,-93.307426,121.48811,-331.41974,144.8049
-13,27,6.1656876,8.4207935,-10.338764,22.670139,-93.074738,121.18515,-330.59326,144.44379
-12.9,27,6.1502733,8.3997412,-10.312918,22.613464,-92.842049,120.88219,-329.76678,144.08267
-12.8,27,6.1348591,8.3786898,-10.28707,22.556789,-92.609367,120.57922,-328.94031,143.72157
-12.7,27,6.1194448,8.3576374,-10.261224,22.500113,-92.376678,120.27626,-328.1138,143.36046
-12.6,27,6.1040306,8.336586,-10.235376,22.443438,-92.14399,119.9733,-327.28732,142.99934
-12.5,27,6.0886164,8.3155336,-10.20953,22.386763,-91.911308,119.67033,-326.46085,142.63824
-12.4,27,6.0732021,8.2944813,-10.183682,22.330088,-91.678619,119.36737,-325.63437,142.27713
-12.3,27,6.0577884,8.2734299,-10.157836,22.273413,-91.44593,119.06441,-324.80789,141.91602
-12.2,27,6.0423737,8.2523775,-10.131989,22.216736,-91.213242,118.76144,-323.98138,141.55492
-12.1,27,6.0269599,8.2313261,-10.106142,22.160061,-90.98056,118.45848,-323.15491,141.1938
-12,27,6.0115457,8.2102737,-10.080296,22.103386,-90.747871,118.15552,-322.32843,140.83269
-11.9,27,5.9961309,8.1892214,-10.054448,22.046711,-90.515182,117.85255,-321.50195,140.47157
-11.8,27,5.9807172,8.16817,-10.028602,21.990036,-90.282501,117.54959,-320.67548,140.11047
-11.7,27,5.9653029,8.1471176,-10.002754,21.933359,-90.049812,117.24663,-319.84897,139.74936
-11.6,27,5.9498887,8.1260662,-9.9769077,21.876684,-89.817123,116.94367,-319.02249,139.38826
-11.5,27,5.9344745,8.1050138,-9.9510603,21.820009,-89.584435,116.6407,-318.19601,139.02715
