temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-.84132713,5.9242983,-12.452738,10.770083,-52.522133,61.305313,-172.67834,67.634071
-19.9,27,-.83953702,5.9116931,-12.426243,10.747169,-52.410385,61.174877,-172.31094,67.490173
-19.8,27,-.83774698,5.8990884,-12.399748,10.724254,-52.298634,61.044437,-171.94354,67.346268
-19.7,27,-.83595693,5.8864837,-12.373253,10.701339,-52.186886,60.914005,-171.57614,67.20237
-19.6,27,-.83416688,5.8738785,-12.346758,10.678424,-52.075138,60.783566,-171.20874,67.058464
-19.5,27,-.83237684,5.8612738,-12.320262,10.655508,-51.963387,60.65313,-170.84134,66.914558
-19.4,27,-.83058673,5.8486686,-12.293767,10.632593,-51.851639,60.522694,-170.47394,66.77066
-19.3,27,-.82879668,5.8360639,-12.267272,10.609678,-51.739887,60.392254,-170.10654,66.626755
-19.2,27,-.82700664,5.8234591,-12.240777,10.586763,-51.628139,60.261818,-169.73914,66.482857
-19.1,27,-.82521659,5.810854,-12.214281,10.563848,-51.516392,60.131382,-169.37173,66.338951
-19,27,-.82342654,5.7982492,-12.187786,10.540934,-51.40464,60.000946,-169.00433,66.195053
-18.9,27,-.82163644,5.7856445,-12.161291,10.518018,-51.292892,59.870506,-168.63693,66.051147
-18.8,27,-.81984639,5.7730393,-12.134795,10.495103,-51.181141,59.74007,-168.26953,65.907242
-18.7,27,-.81805634,5.7604346,-12.108301,10.472188,-51.069393,59.609634,-167.90213,65.763344
-18.6,27,-.8162663,5.7478299,-12.081805,10.449273,-50.957645,59.479198,-167.53473,65.619438
-18.5,27,-.81447625,5.7352247,-12.05531,10.426358,-50.845894,59.348763,-167.16733,65.47554
-18.4,27,-.8126862,5.72262,-12.028815,10.403442,-50.734146,59.218323,-166.79993,65.331635
-18.3,27,-.8108961,5.7100148,-12.002319,10.380527,-50.622395,59.087887,-166.43253,65.187737
-18.2,27,-.80910605,5.6974101,-11.975825,10.357613,-50.510647,58.957451,-166.06512,65.043831
-18.1,27,-.80731601,5.6848054,-11.949329,10.334698,-50.398899,58.827015,-165.69772,64.899933
-18,27,-.80552596,5.6722002,-11.922834,10.311783,-50.287148,58.696575,-165.33032,64.756027
-17.9,27,-.80373591,5.6595955,-11.896339,10.288867,-50.1754,58.566139,-164.96292,64.612122
-17.8,27,-.80194581,5.6469903,-11.869843,10.265952,-50.063648,58.435703,-164.59552,64.468224
-17.7,27,-.80015582,5.6343856,-11.843349,10.243037,-49.9519,58.305267,-164.22812,64.324318
-17.6,27,-.79836571,5.6217809,-11.816854,10.220122,-49.840153,58.174831,-163.86072,64.18042
-17.5,27,-.79657567,5.6091757,-11.790359,10.197207,-49.728401,58.044392,-163.49332,64.036514
-17.4,27,-.79478562,5.596571,-11.763864,10.174292,-49.616653,57.913956,-163.12592,63.892612
-17.3,27,-.79299551,5.5839658,-11.737368,10.151377,-49.504902,57.78352,-162.75851,63.748711
-17.2,27,-.79120553,5.5713615,-11.710873,10.128462,-49.393158,57.653084,-162.39113,63.604809
-17.1,27,-.78941542,5.5587564,-11.684378,10.105547,-49.281406,57.522644,-162.02373,63.460907
-17,27,-.78762537,5.5461516,-11.657883,10.082632,-49.169659,57.392208,-161.65631,63.317005
-16.9,27,-.78583533,5.5335464,-11.631387,10.059716,-49.057907,57.261772,-161.28891,63.173103
-16.8,27,-.78404522,5.5209417,-11.604892,10.036801,-48.946159,57.131332,-160.92151,63.029198
-16.7,27,-.78225523,5.508337,-11.578397,10.013886,-48.834412,57.0009,-160.55412,62.8853
-16.6,27,-.78046513,5.4957318,-11.551902,9.9909716,-48.72266,56.870461,-160.18672,62.741394
-16.5,27,-.77867508,5.4831271,-11.525407,9.9680567,-48.610912,56.740025,-159.81932,62.597492
-16.4,27,-.77688503,5.4705219,-11.498911,9.9451408,-48.499161,56.609589,-159.45192,62.45359
-16.3,27,-.77509499,5.4579172,-11.472416,9.922226,-48.387413,56.479149,-159.0845,62.309689
-16.2,27,-.77330494,5.4453125,-11.445921,9.8993111,-48.275665,56.348713,-158.71712,62.165787
-16.1,27,-.77151483,5.4327073,-11.419426,9.8763962,-48.163914,56.218277,-158.34972,62.021885
-16,27,-.76972479,5.4201026,-11.392931,9.8534813,-48.052166,56.087841,-157.98232,61.877983
-15.9,27,-.76793474,5.4074974,-11.366435,9.8305655,-47.940414,55.957401,-157.61491,61.734077
-15.8,27,-.76614469,5.3948927,-11.33994,9.8076506,-47.828667,55.826965,-157.24751,61.590176
-15.7,27,-.76435465,5.382288,-11.313445,9.7847357,-47.716915,55.696529,-156.88011,61.446274
-15.6,27,-.7625646,5.3696833,-11.28695,9.7618208,-47.605167,55.566093,-156.51271,61.302372
-15.5,27,-.76077449,5.3570781,-11.260454,9.7389059,-47.49342,55.435658,-156.14531,61.15847
-15.4,27,-.75898445,5.3444734,-11.233959,9.7159901,-47.381668,55.305218,-155.77791,61.014568
-15.3,27,-.7571944,5.3318682,-11.207464,9.6930752,-47.26992,55.174782,-155.41051,60.870667
-15.2,27,-.75540435,5.3192635,-11.180969,9.6701603,-47.158169,55.044346,-155.04311,60.726765
-15.1,27,-.75361431,5.3066587,-11.154474,9.6472454,-47.046421,54.91391,-154.6757,60.582863
-15,27,-.7518242,5.2940536,-11.127978,9.6243305,-46.934673,54.78347,-154.3083,60.438957
-14.9,27,-.75003415,5.2814488,-11.101483,9.6014147,-46.822922,54.653034,-153.9409,60.295055
-14.8,27,-.74824411,5.2688441,-11.074988,9.5784998,-46.711174,54.522598,-153.5735,60.151154
-14.7,27,-.74645406,5.2562389,-11.048493,9.5555849,-46.599426,54.392162,-153.2061,60.007252
-14.6,27,-.74466401,5.2436342,-11.021998,9.53267,-46.487675,54.261726,-152.8387,59.86335
-14.5,27,-.74287391,5.231029,-10.995502,9.5097551,-46.375927,54.131287,-152.4713,59.719448
-14.4,27,-.74108386,5.2184243,-10.969007,9.4868393,-46.264175,54.000851,-152.1039,59.575546
-14.3,27,-.73929381,5.2058196,-10.942513,9.4639244,-46.152428,53.870415,-151.7365,59.431644
-14.2,27,-.73750377,5.1932144,-10.916018,9.4410095,-46.04068,53.739975,-151.36909,59.287739
-14.1,27,-.73571372,5.1806097,-10.889523,9.4180946,-45.928928,53.609539,-151.00169,59.143837
-14,27,-.73392367,5.168005,-10.863027,9.3951797,-45.817181,53.479103,-150.63429,58.999935
-13.9,27,-.73213357,5.1553998,-10.836532,9.3722639,-45.705429,53.348667,-150.26689,58.856033
-13.8,27,-.73034352,5.1427951,-10.810037,9.349349,-45.593681,53.218231,-149.89949,58.712132
-13.7,27,-.72855347,5.1301899,-10.783542,9.3264341,-45.481934,53.087791,-149.53209,58.56823
-13.6,27,-.72676343,5.1175852,-10.757046,9.3035192,-45.370182,52.957355,-149.16469,58.424328
-13.5,27,-.72497338,5.1049805,-10.730551,9.2806044,-45.258434,52.82692,-148.79729,58.280426
-13.4,27,-.72318327,5.0923753,-10.704056,9.2576895,-45.146683,52.69648,-148.42989,58.13652
-13.3,27,-.72139323,5.0797706,-10.677561,9.2347736,-45.034935,52.566044,-148.06248,57.992619
-13.2,27,-.71960318,5.0671654,-10.651065,9.2118587,-44.923187,52.435608,-147.69508,57.848717
-13.1,27,-.71781313,5.0545607,-10.62457,9.1889439,-44.81144,52.305172,-147.3277,57.704815
-13,27,-.71602309,5.0419559,-10.598075,9.166029,-44.699688,52.174736,-146.9603,57.560913
-12.9,27,-.71423298,5.0293508,-10.57158,9.1431141,-44.58794,52.044296,-146.59288,57.417011
-12.8,27,-.71244293,5.016746,-10.545085,9.1201982,-44.476189,51.91386,-146.22549,57.273109
-12.7,27,-.71065289,5.0041413,-10.518589,9.0972834,-44.364441,51.783424,-145.85809,57.129208
-12.6,27,-.70886284,4.9915361,-10.492094,9.0743685,-44.252693,51.652988,-145.49069,56.985306
-12.5,27,-.70707279,4.9789314,-10.465599,9.0514536,-44.140942,51.522552,-145.12329,56.8414
-12.4,27,-.70528269,4.9663262,-10.439104,9.0285387,-44.029194,51.392113,-144.75589,56.697498
-12.3,27,-.70349264,4.9537215,-10.412609,9.0056238,-43.917442,51.261677,-144.38849,56.553596
-12.2,27,-.70170259,4.9411168,-10.386113,8.982708,-43.805695,51.131241,-144.02109,56.409695
-12.1,27,-.69991255,4.9285121,-10.359618,8.9597931,-43.693947,51.000805,-143.65369,56.265793
-12,27,-.6981225,4.9159069,-10.333123,8.9368782,-43.582195,50.870365,-143.28629,56.121891
-11.9,27,-.69633245,4.9033022,-10.306628,8.9139633,-43.470448,50.739929,-142.91888,55.977989
-11.8,27,-.69454241,4.890697,-10.280132,8.8910484,-43.358696,50.609493,-142.55148,55.834087
-11.7,27,-.6927523,4.8780923,-10.253637,8.8681326,-43.246948,50.479057,-142.18408,55.690182
-11.6,27,-.69096226,4.8654876,-10.227142,8.8452177,-43.135201,50.348621,-141.81668,55.54628
-11.5,27,-.68917221,4.8528824,-10.200647,8.8223028,-43.023449,50.218182,-141.44928,55.402378
-11.4,27,-.68738216,4.8402777,-10.174151,8.7993879,-42.911701,50.087746,-141.08188,55.258476
