temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-6.5749846,15.871074,-37.681717,24.531748,-19.124933,65.758873,-148.00995,109.76009
-19.9,27,-6.5609951,15.837305,-37.601543,24.479551,-19.084242,65.618958,-147.69504,109.52656
-19.8,27,-6.5470057,15.803536,-37.52137,24.427357,-19.04355,65.479042,-147.38013,109.29302
-19.7,27,-6.5330167,15.769769,-37.441196,24.375162,-19.002859,65.339134,-147.06522,109.05949
-19.6,27,-6.5190272,15.736,-37.361023,24.322968,-18.962168,65.199219,-146.75029,108.82596
-19.5,27,-6.5050378,15.702232,-37.280846,24.270771,-18.921476,65.059311,-146.43538,108.59243
-19.4,27,-6.4910483,15.668464,-37.200672,24.218576,-18.880785,64.919395,-146.12047,108.35889
-19.3,27,-6.4770589,15.634695,-37.120499,24.16638,-18.840094,64.77948,-145.80554,108.12536
-19.2,27,-6.4630699,15.600927,-37.040325,24.114187,-18.799402,64.639572,-145.49063,107.89183
-19.1,27,-6.4490805,15.56716,-36.960152,24.061991,-18.758711,64.499657,-145.17572,107.6583
-19,27,-6.435091,15.533391,-36.879978,24.009796,-18.718019,64.359749,-144.86081,107.42477
-18.9,27,-6.4211016,15.499622,-36.799805,23.9576,-18.677328,64.219833,-144.54588,107.19123
-18.8,27,-6.4071126,15.465855,-36.719631,23.905405,-18.636637,64.079918,-144.23097,106.9577
-18.7,27,-6.3931231,15.432086,-36.639458,23.85321,-18.595945,63.94001,-143.91606,106.72417
-18.6,27,-6.3791337,15.398318,-36.559284,23.801016,-18.555254,63.800098,-143.60115,106.49064
-18.5,27,-6.3651447,15.36455,-36.479107,23.748819,-18.514563,63.660183,-143.28622,106.2571
-18.4,27,-6.3511553,15.330781,-36.398933,23.696625,-18.473871,63.520271,-142.97131,106.02357
-18.3,27,-6.3371658,15.297013,-36.31876,23.644428,-18.43318,63.38036,-142.6564,105.79004
-18.2,27,-6.3231769,15.263246,-36.238586,23.592234,-18.392488,63.240448,-142.34149,105.55651
-18.1,27,-6.3091874,15.229477,-36.158413,23.540039,-18.351797,63.100536,-142.02658,105.32298
-18,27,-6.295198,15.195708,-36.078239,23.487843,-18.311106,62.960621,-141.71165,105.08945
-17.9,27,-6.2812085,15.161941,-35.998066,23.435648,-18.270414,62.820709,-141.39674,104.85591
-17.8,27,-6.2672191,15.128172,-35.917892,23.383453,-18.229723,62.680798,-141.08183,104.62238
-17.7,27,-6.2532301,15.094404,-35.837719,23.331259,-18.189032,62.540886,-140.76692,104.38885
-17.6,27,-6.2392406,15.060636,-35.757545,23.279062,-18.14834,62.400974,-140.452,104.15532
-17.5,27,-6.2252512,15.026867,-35.677368,23.226868,-18.107649,62.261059,-140.13708,103.92178
-17.4,27,-6.2112617,14.993099,-35.597195,23.174671,-18.066957,62.121147,-139.82217,103.68826
