temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
-2.7,6,.0000775463204263,.0000386510373573,6,.0000775463204263,.0000386510373573,0,0,0
-1.8,2,.0000256079756582,.0000127636599245,2,.0000256079756582,.0000127636599245,0,0,0
-1.4,5,.0000390713657055,.0000314597687066,3,.0000389415918107,.0000194094700419,2,1.29773894741e-07,.0000120502986647
-.5,4,.0000648655477562,.0000323306212522,4,.0000648655477562,.0000323306212522,0,0,0
0,14,.0001304110853653,.0000649882784955,14,.0001304110853653,.0000649882784955,0,0,0
.1,4,.0000551288821953,.0000274776220976,4,.0000551288821953,.0000274776220976,0,0,0
.2,4,.0000517375956406,.0000257873202827,4,.0000517375956406,.0000257873202827,0,0,0
.4,3,2.02566297958e-07,.0000188095177691,0,0,0,3,2.02566297958e-07,.0000188095177691
.5,11,.0000229792188904,.0000138342209084,9,.0000229713648423,.0000109544195084,2,7.85404807857e-09,2.87980140001e-06
.6,9,.00007983553337,.0000397718813474,9,.00007983553337,.0000397718813474,0,0,0
.7,10,.0000318952147176,.0000162855536701,9,.0000318929730838,.000015463625914,1,2.24163376750e-09,8.21927756078e-07
.8,12,.0000783796889436,.0000400241818852,11,.0000783757243425,.0000385705029657,1,3.96460109187e-09,1.45367891946e-06
.9,11,.0000666688053375,.0000337397190151,10,.0000666665398512,.0000329090453306,1,2.26548624305e-09,8.30673684504e-07
1.1,1,3.10828181682e-06,1.48225524299e-06,1,3.10828181682e-06,1.48225524299e-06,0,0,0
1.2,2,.0000275608499578,.000013737021618,2,.0000275608499578,.000013737021618,0,0,0
1.3,5,.0000354743664563,.0000183492750807,4,.0000354723167675,.0000175977266963,1,2.04968886308e-09,7.51548384414e-07
1.4,2,.0000215521185964,.0000107421187749,2,.0000215521185964,.0000107421187749,0,0,0
1.5,26,.000078744448615,.000038047113037,26,.000078744448615,.000038047113037,0,0,0
1.6,4,.000025276510577,.0000244022403422,2,.0000251487053902,.0000125347478388,2,1.27805186878e-07,.0000118674925034
1.7,6,.0000421046967674,.0000291309887643,5,.0000420143239808,.0000207393239862,1,9.03727865875e-08,8.39166477817e-06
1.8,14,.0000800748425096,.0000402162193609,13,.0000800727231081,.0000394391097984,1,2.11940154315e-09,7.77109562478e-07
1.9,7,.0000134375010248,6.40797895812e-06,7,.0000134375010248,6.40797895812e-06,0,0,0
2,11,.000084470349293,.0000417018510461,11,.000084470349293,.0000417018510461,0,0,0
2.1,4,.0000327442301113,.0000163124093433,4,.0000327442301113,.0000163124093433,0,0,0
2.2,29,.0001324813118266,.0000661860708533,28,.000132466361606,.0000647346348615,1,1.49502206170e-08,1.45143599184e-06
2.3,65,.0002269281492597,.0001123630968891,64,.000226920787668,.000109663861906,1,7.36159178061e-09,2.69923498308e-06
2.4,40,.0001658281355597,.0000939681721661,37,.000165694438806,.0000804794998999,3,1.33696753668e-07,.0000134886722662
2.5,2,.0000242776895902,.0000121006119116,2,.0000242776895902,.0000121006119116,0,0,0
2.6,2,.0000163629870258,7.80306390880e-06,2,.0000163629870258,7.80306390880e-06,0,0,0
2.7,23,.0001425239912578,.0000696599432217,23,.0001425239912578,.0000696599432217,0,0,0
2.8,19,.0001363985477383,.0000657550231153,19,.0001363985477383,.0000657550231153,0,0,0
2.9,9,.0001116696948884,.0000545674351997,9,.0001116696948884,.0000545674351997,0,0,0
3,12,.0001465316181566,.0000722137856428,12,.0001465316181566,.0000722137856428,0,0,0
3.1,51,.0003364705929805,.0001655067271145,50,.0003364683354903,.0001646789852998,1,2.25749019478e-09,8.27741814646e-07
3.2,66,.0002958471010452,.0001461696957108,65,.0002958398941928,.0001435271977357,1,7.20685244815e-09,2.64249797510e-06
3.3,25,.0002088455204825,.0001026977965921,24,.0002088425533202,.0001016098432274,1,2.96716229364e-09,1.08795336473e-06
3.4,38,.0002668882316357,.0001297628529642,38,.0002668882316357,.0001297628529642,0,0,0
3.5,35,.0001329000174617,.000065457470555,34,.0001328955360123,.0000638142815887,1,4.48144943377e-09,1.64318896623e-06
3.6,44,.0003180020183891,.0001564389804116,44,.0003180020183891,.0001564389804116,0,0,0
3.7,24,.00021132855818,.0001019021342472,24,.00021132855818,.0001019021342472,0,0,0
3.8,9,.0000547195475065,.0000266373059503,9,.0000547195475065,.0000266373059503,0,0,0
3.9,33,.0002239561983113,.0001125112710838,31,.0002239510993149,.0001106416495418,2,5.09899633627e-09,1.86962154203e-06
4,41,.0002910241391518,.0001480916222363,40,.0002909569464009,.0001418523644361,1,6.71927509188e-08,6.23925780019e-06
4.1,30,.0003442970896685,.0001679419141283,30,.0003442970896685,.0001679419141283,0,0,0
4.2,46,.0003722944065585,.0001824693918593,44,.0003722876256234,.0001799830628784,2,6.78093514672e-09,2.48632898092e-06
4.3,37,.0002247256988994,.0001099403725675,37,.0002247256988994,.0001099403725675,0,0,0
4.4,46,.0002949608206624,.0001497693021975,45,.000294941335369,.0001426247347354,1,1.94852933788e-08,7.14456746209e-06
4.5,70,.0004108049083233,.000201703153607,68,.0004107981228572,.0001992151632635,2,6.78546618893e-09,2.48799034352e-06
4.6,39,.0003460152862687,.0001773724804934,38,.0003459178865342,.0001683283196598,1,9.73997345000e-08,9.04416083358e-06
4.7,63,.0004199318757401,.0002045831809028,63,.0004199318757401,.0002045831809028,0,0,0
4.8,13,.0001556315477274,.0000754770871936,13,.0001556315477274,.0000754770871936,0,0,0
4.9,76,.0005770164066661,.00028729019499,75,.0005769387250893,.0002800769861437,1,7.76815767267e-08,7.21320884622e-06
5,55,.0003768269871358,.0001887730589374,54,.0003767499543983,.0001816200986582,1,7.70327375221e-08,7.15296027920e-06
5.1,94,.0005017528432081,.000253208805475,93,.0005017295824246,.0002446798988558,1,2.32607835216e-08,8.52890661918e-06
5.2,68,.0004421857472345,.0002169446573248,66,.0004421603398441,.0002131569708013,2,2.54073904138e-08,3.78768652354e-06
5.3,66,.0006471914066282,.0003191990441564,65,.0006471711094491,.0003117567868003,1,2.02971790486e-08,7.44225735616e-06
5.4,84,.0006731578725976,.0003277730421587,84,.0006731578725976,.0003277730421587,0,0,0
5.5,63,.0004889904486536,.0002621927940822,58,.0004887393783974,.0002387001125612,5,2.51070256141e-07,.000023492681521
5.6,66,.0005299966480301,.0002825572948382,62,.0005297650019429,.0002557335571396,4,2.31646087201e-07,.0000268237376986
5.7,144,.0009075254463826,.0004392022120783,143,.0009075222747015,.0004380392689427,1,3.17168113995e-09,1.16294313557e-06
5.8,66,.0004534210156539,.0002189729686393,65,.0004534189091601,.0002182005918598,1,2.10649386823e-09,7.72376779423e-07
5.9,52,.0005837418377048,.0002861223590571,51,.0005836845098202,.0002807991143072,1,5.73278846616e-08,5.32324474989e-06
6,36,.0003734313199857,.000180175748369,36,.0003734313199857,.000180175748369,0,0,0
6.1,81,.0008697016944907,.0004354689664865,79,.0008695738893039,.0004236014739831,2,1.27805186878e-07,.0000118674925034
6.2,143,.0010160952091884,.0004943694926851,141,.0010160897476226,.0004923669297341,2,5.46156586623e-09,2.00256295102e-06
6.3,116,.001048896300972,.0005069070089689,116,.001048896300972,.0005069070089689,0,0,0
6.4,111,.0007570802663088,.0003877830455394,106,.0007568748368385,.0003668713432035,5,2.05429470324e-07,.000020911702336
6.5,103,.0008255611886625,.0003973782312414,103,.0008255611886625,.0003973782312414,0,0,0
6.6,74,.000371235069224,.0001796277705921,74,.000371235069224,.0001796277705921,0,0,0
6.7,73,.0005433678259159,.0002692372839874,71,.0005432887857069,.0002618199964672,2,7.90402090445e-08,7.41728752018e-06
6.8,89,.0005456674897459,.0002650617518611,89,.0005456674897459,.0002650617518611,0,0,0
6.9,149,.0007776338422867,.0003892271189443,144,.0007774961837868,.0003746148706796,5,1.37658499932e-07,.0000146122482647
7,102,.0005121581686358,.0002511276608175,100,.0005121538622461,.0002495486600651,2,4.30638968929e-09,1.57900075237e-06
7.1,43,.0003990037811263,.0001934668872536,43,.0003990037811263,.0001934668872536,0,0,0
7.2,55,.0005891444072859,.0002838520562136,55,.0005891444072859,.0002838520562136,0,0,0
7.3,74,.000459310949843,.0002339709314469,72,.0004591763802182,.0002214753205294,2,1.34569624777e-07,.0000124956109175
