temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
8.9,1,2.24316174524e-08,2.17776459976e-06,0,0,0,1,2.24316174524e-08,2.17776459976e-06
9.800000000000001,1,1.45361944703e-08,1.41124053243e-06,0,0,0,1,1.45361944703e-08,1.41124053243e-06
10.1,1,4.03470039601e-06,2.00570912057e-06,1,4.03470039601e-06,2.00570912057e-06,0,0,0
11,1,3.03891147269e-06,1.51068786636e-06,1,3.03891147269e-06,1.51068786636e-06,0,0,0
11.1,1,4.20739161200e-06,2.09155655284e-06,1,4.20739161200e-06,2.09155655284e-06,0,0,0
11.3,3,9.17303100323e-06,4.56004931948e-06,3,9.17303100323e-06,4.56004931948e-06,0,0,0
11.5,9,.0000334756086886,.0000166412195313,9,.0000334756086886,.0000166412195313,0,0,0
11.6,1,3.72565023099e-06,1.85207568393e-06,1,3.72565023099e-06,1.85207568393e-06,0,0,0
11.8,2,7.67088477005e-06,3.81331005883e-06,2,7.67088477005e-06,3.81331005883e-06,0,0,0
12.1,2,6.61978947392e-06,3.29079523453e-06,2,6.61978947392e-06,3.29079523453e-06,0,0,0
12.3,1,3.17400622407e-06,1.57784529620e-06,1,3.17400622407e-06,1.57784529620e-06,0,0,0
12.6,5,.0000141390839872,7.02874763192e-06,5,.0000141390839872,7.02874763192e-06,0,0,0
12.9,6,.0000234053004533,.000011635120245,6,.0000234053004533,.000011635120245,0,0,0
13.3,8,.0000313156974698,.0000155674961206,8,.0000313156974698,.0000155674961206,0,0,0
13.4,17,.0000533134230114,.0000279848941318,16,.000053298079365,.000026495262432,1,1.53436463535e-08,1.48963169977e-06
13.6,8,.0000311677945319,.0000154939712047,8,.0000311677945319,.0000154939712047,0,0,0
13.7,1,4.05247874369e-06,2.01454713533e-06,1,4.05247874369e-06,2.01454713533e-06,0,0,0
13.8,11,.0000325451942444,.0000161786975923,11,.0000325451942444,.0000161786975923,0,0,0
14,2,8.06726893643e-06,4.01035867981e-06,2,8.06726893643e-06,4.01035867981e-06,0,0,0
14.3,13,.0000495711101394,.0000246425312298,13,.0000495711101394,.0000246425312298,0,0,0
14.4,4,.0000116849171263,5.80874507250e-06,4,.0000116849171263,5.80874507250e-06,0,0,0
14.5,5,.0000149175926794,9.36128606099e-06,4,.0000148974500007,7.40574239444e-06,1,2.01426786361e-08,1.95554366655e-06
14.6,7,.0000266488239049,.0000132475242935,7,.0000266488239049,.0000132475242935,0,0,0
14.7,2,7.16199065209e-06,3.56033160642e-06,2,7.16199065209e-06,3.56033160642e-06,0,0,0
14.8,4,.0000128890558244,6.40733992441e-06,4,.0000128890558244,6.40733992441e-06,0,0,0
15,20,.0000676589647277,.0000377376977667,18,.0000676164806919,.0000336131524818,2,4.24840358448e-08,4.12454528487e-06
15.1,8,.000021445994161,.000012152694012,7,.0000214305514419,.0000106534438373,1,1.54427191035e-08,1.49925017467e-06
15.2,13,.0000489696824388,.0000243435529228,13,.0000489696824388,.0000243435529228,0,0,0
15.3,8,.0000222409951256,.0000147508363852,6,.0000222027447307,.0000110373123334,2,3.82503948515e-08,3.71352405182e-06
15.4,5,.0000181057323516,9.00062730125e-06,5,.0000181057323516,9.00062730125e-06,0,0,0
15.5,5,.0000153275816501,7.61956744100e-06,5,.0000153275816501,7.61956744100e-06,0,0,0
15.8,10,.0000369820938886,.0000183843452533,10,.0000369820938886,.0000183843452533,0,0,0
15.9,11,.0000379057905775,.0000188435285509,11,.0000379057905775,.0000188435285509,0,0,0
16,4,.0000134823744702,6.70228769195e-06,4,.0000134823744702,6.70228769195e-06,0,0,0
16.1,6,.0000185283761311,9.21072967230e-06,6,.0000185283761311,9.21072967230e-06,0,0,0
16.2,21,.000061929692313,.0000321431900829,20,.0000619156426183,.0000307791810883,1,1.40496947409e-08,1.36400899464e-06
16.3,9,.0000360188628292,.0000179055086846,9,.0000360188628292,.0000179055086846,0,0,0
16.4,3,.0000125731912703,6.25031884738e-06,3,.0000125731912703,6.25031884738e-06,0,0,0
16.6,1,3.90360855818e-06,1.94054155145e-06,1,3.90360855818e-06,1.94054155145e-06,0,0,0
16.7,6,.000018304365085,9.09937034521e-06,6,.000018304365085,9.09937034521e-06,0,0,0
16.8,7,.0000229647303911,.0000132703204372,6,.0000229455331464,.0000114065637717,1,1.91972446828e-08,1.86375666544e-06
16.9,11,.0000272046344492,.0000164466671322,9,.000027174373372,.0000135087827857,2,3.02610771996e-08,2.93788434647e-06
17,2,7.87798717283e-06,3.91626394958e-06,2,7.87798717283e-06,3.91626394958e-06,0,0,0
17.1,10,.000033086566475,.0000180175875357,9,.0000330703142026,.0000164397422395,1,1.62522724168e-08,1.57784529620e-06
17.2,15,.0000529014930635,.0000262981142214,15,.0000529014930635,.0000262981142214,0,0,0
17.3,9,.0000341119784935,.0000169575686186,9,.0000341119784935,.0000169575686186,0,0,0
17.4,2,8.38455889607e-06,4.16808802584e-06,2,8.38455889607e-06,4.16808802584e-06,0,0,0
17.5,6,.0000231975659517,.0000115318532607,6,.0000231975659517,.0000115318532607,0,0,0
17.7,2,5.98583415012e-06,2.97564668017e-06,2,5.98583415012e-06,2.97564668017e-06,0,0,0
17.8,19,.0000745518727854,.0000370608379399,19,.0000745518727854,.0000370608379399,0,0,0
18,13,.000039047218479,.0000194109496761,13,.000039047218479,.0000194109496761,0,0,0
18.1,16,.0000541861848724,.0000291027304229,15,.0000541637598417,.0000269256054253,1,2.24250307213e-08,2.17712499762e-06
18.3,2,7.57701036491e-06,3.76664365831e-06,2,7.57701036491e-06,3.76664365831e-06,0,0,0
18.4,4,.0000155637135322,7.73695205680e-06,4,.0000155637135322,7.73695205680e-06,0,0,0
18.5,4,.0000164943530763,8.19958643206e-06,4,.0000164943530763,8.19958643206e-06,0,0,0
18.6,9,.0000297620192669,.0000147951395775,9,.0000297620192669,.0000147951395775,0,0,0
18.7,7,.0000259154851392,.0000128829708501,7,.0000259154851392,.0000128829708501,0,0,0
18.8,11,.000041216163936,.0000204891637168,11,.000041216163936,.0000204891637168,0,0,0
18.9,4,9.07162360164e-06,5.99762608999e-06,3,9.05621800484e-06,4.50198001545e-06,1,1.54055967982e-08,1.49564607455e-06
19,1,3.02145735986e-06,1.50201105953e-06,1,3.02145735986e-06,1.50201105953e-06,0,0,0
19.1,12,.0000395905827428,.0000213820285353,11,.0000395729721276,.0000196723090085,1,1.76106151883e-08,1.70971952684e-06
19.2,7,.0000236488353966,.0000138760586879,6,.0000236268876961,.0000117452749464,1,2.19477005459e-08,2.13078374145e-06
19.3,2,5.77509285904e-06,2.87088391815e-06,2,5.77509285904e-06,2.87088391815e-06,0,0,0
19.4,1,3.99493364966e-06,1.98594057110e-06,1,3.99493364966e-06,1.98594057110e-06,0,0,0
19.5,19,.0000690138574555,.0000343078083915,19,.0000690138574555,.0000343078083915,0,0,0
19.6,13,.00004054621877,.0000201561244921,13,.00004054621877,.0000201561244921,0,0,0
19.7,2,5.71774103264e-06,2.84237376036e-06,2,5.71774103264e-06,2.84237376036e-06,0,0,0
