temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3
-19.2,2,8.92433035915e-06,5.06608330397e-06,0,0,0,2,8.92433035915e-06,5.06608330397e-06,2,8.92433035915e-06,5.06608330397e-06,0,0,0
-17.3,3,.0000310430141326,.0000145542744576,3,.0000310430141326,.0000145542744576,0,0,0,0,0,0,0,0,0
-17.1,1,5.60201624467e-06,2.62646153715e-06,1,5.60201624467e-06,2.62646153715e-06,0,0,0,0,0,0,0,0,0
-15.8,1,2.57648207480e-06,1.46259401390e-06,0,0,0,1,2.57648207480e-06,1.46259401390e-06,1,2.57648207480e-06,1.46259401390e-06,0,0,0
-15.3,1,1.43765407756e-06,6.74032946790e-07,1,1.43765407756e-06,6.74032946790e-07,0,0,0,0,0,0,0,0,0
-15,2,.0000152235897986,7.13746203473e-06,2,.0000152235897986,7.13746203473e-06,0,0,0,0,0,0,0,0,0
-14.3,2,.0000118306688819,5.54671760256e-06,2,.0000118306688819,5.54671760256e-06,0,0,0,0,0,0,0,0,0
-14,2,7.08033303454e-06,3.31955902766e-06,2,7.08033303454e-06,3.31955902766e-06,0,0,0,0,0,0,0,0,0
-13.9,2,4.58438262285e-06,2.60242086370e-06,0,0,0,2,4.58438262285e-06,2.60242086370e-06,2,4.58438262285e-06,2.60242086370e-06,0,0,0
-13.7,1,5.48205434825e-06,2.57021861216e-06,1,5.48205434825e-06,2.57021861216e-06,0,0,0,0,0,0,0,0,0
-13,1,7.64895844441e-07,3.58615466212e-07,1,7.64895844441e-07,3.58615466212e-07,0,0,0,0,0,0,0,0,0
-12.6,3,5.40274163541e-06,2.53303358022e-06,3,5.40274163541e-06,2.53303358022e-06,0,0,0,0,0,0,0,0,0
