temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high,no_wgt_manuf,risk_adj_sample_wgt_manuf,pop_adj_sample_wgt_manuf,no_wgt_hr3,risk_adj_sample_wgt_hr3,pop_adj_sample_wgt_hr3,no_wgt_manuf2,risk_adj_sample_wgt_manuf2,pop_adj_sample_wgt_manuf2,no_wgt_hr4,risk_adj_sample_wgt_hr4,pop_adj_sample_wgt_hr4,no_wgt_agri,risk_adj_sample_wgt_agri,pop_adj_sample_wgt_agri,no_wgt_connmine,risk_adj_sample_wgt_connmine,pop_adj_sample_wgt_connmine,no_wgt_manuft,risk_adj_sample_wgt_manuft,pop_adj_sample_wgt_manuft,no_wgt_lomaco,risk_adj_sample_wgt_lomaco,pop_adj_sample_wgt_lomaco
-19.2,2,1.57614081786e-07,5.56210261493e-06,0,0,0,2,1.57614081786e-07,5.56210261493e-06,2,1.57614081786e-07,5.56210261493e-06,0,0,0,0,0,0,2,1.57614081786e-07,5.56210261493e-06,0,0,0,2,1.57614081786e-07,5.56210261493e-06,0,0,0,2,1.57614081786e-07,5.56210261493e-06
-17.3,3,.0000391539788325,.0000159792825798,3,.0000391539788325,.0000159792825798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.0000391539788325,.0000159792825798
-17.1,1,7.06571927367e-06,2.88361820822e-06,1,7.06571927367e-06,2.88361820822e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.06571927367e-06,2.88361820822e-06
-15.8,1,4.55036754943e-08,1.60579645581e-06,0,0,0,1,4.55036754943e-08,1.60579645581e-06,1,4.55036754943e-08,1.60579645581e-06,0,0,0,0,0,0,1,4.55036754943e-08,1.60579645581e-06,0,0,0,1,4.55036754943e-08,1.60579645581e-06,0,0,0,1,4.55036754943e-08,1.60579645581e-06
-15.3,1,1.81328653071e-06,7.40027417123e-07,1,1.81328653071e-06,7.40027417123e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.81328653071e-06,7.40027417123e-07
-15,2,.0000192012321349,7.83629002399e-06,2,.0000192012321349,7.83629002399e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.0000192012321349,7.83629002399e-06
-14.3,2,.0000149218049046,6.08979598837e-06,2,.0000149218049046,6.08979598837e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,.0000149218049046,6.08979598837e-06
-14,2,8.93029300642e-06,3.64457673641e-06,2,8.93029300642e-06,3.64457673641e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.93029300642e-06,3.64457673641e-06
-13.9,2,5.30270608579e-06,2.85722353510e-06,0,0,0,2,5.30270608579e-06,2.85722353510e-06,2,5.30270608579e-06,2.85722353510e-06,0,0,0,2,5.30270608579e-06,2.85722353510e-06,0,0,0,0,0,0,0,0,0,2,5.30270608579e-06,2.85722353510e-06,2,5.30270608579e-06,2.85722353510e-06
-13.7,1,6.91441346135e-06,2.82186829281e-06,1,6.91441346135e-06,2.82186829281e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.91441346135e-06,2.82186829281e-06
-13,1,9.64749006016e-07,3.93727447090e-07,1,9.64749006016e-07,3.93727447090e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.64749006016e-07,3.93727447090e-07
-12.6,3,6.81437882122e-06,2.78104255358e-06,3,6.81437882122e-06,2.78104255358e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6.81437882122e-06,2.78104255358e-06
-12.5,1,1.21965581457e-06,6.57179441532e-07,0,0,0,1,1.21965581457e-06,6.57179441532e-07,1,1.21965581457e-06,6.57179441532e-07,0,0,0,1,1.21965581457e-06,6.57179441532e-07,0,0,0,0,0,0,0,0,0,1,1.21965581457e-06,6.57179441532e-07,1,1.21965581457e-06,6.57179441532e-07
-12.4,1,8.63316813593e-07,3.52331596787e-07,1,8.63316813593e-07,3.52331596787e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8.63316813593e-07,3.52331596787e-07
-12.3,2,3.49607194039e-06,1.42679550663e-06,2,3.49607194039e-06,1.42679550663e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3.49607194039e-06,1.42679550663e-06
-11.9,1,9.15973544124e-07,4.93548213854e-07,0,0,0,1,9.15973544124e-07,4.93548213854e-07,1,9.15973544124e-07,4.93548213854e-07,0,0,0,1,9.15973544124e-07,4.93548213854e-07,0,0,0,0,0,0,0,0,0,1,9.15973544124e-07,4.93548213854e-07,1,9.15973544124e-07,4.93548213854e-07
-11.7,1,.0000171001320268,6.97880113876e-06,1,.0000171001320268,6.97880113876e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,.0000171001320268,6.97880113876e-06
-11.6,4,.0000205964443012,9.58562441156e-06,2,.0000115693510452,4.72161264042e-06,2,9.02709325601e-06,4.86401177113e-06,2,9.02709325601e-06,4.86401177113e-06,0,0,0,2,9.02709325601e-06,4.86401177113e-06,0,0,0,0,0,0,0,0,0,2,9.02709325601e-06,4.86401177113e-06,4,.0000205964443012,9.58562441156e-06
-11.5,4,.0000263852048192,.000011740750324,2,.0000189444326679,7.73148622102e-06,2,7.44077215131e-06,4.00926410293e-06,2,7.44077215131e-06,4.00926410293e-06,0,0,0,2,7.44077215131e-06,4.00926410293e-06,0,0,0,0,0,0,0,0,0,2,7.44077215131e-06,4.00926410293e-06,4,.0000263852048192,.000011740750324
-11.4,3,9.40212009937e-06,3.83713575047e-06,3,9.40212009937e-06,3.83713575047e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9.40212009937e-06,3.83713575047e-06
-11.2,3,7.92768082647e-06,4.27162194683e-06,0,0,0,3,7.92768082647e-06,4.27162194683e-06,3,7.92768082647e-06,4.27162194683e-06,0,0,0,3,7.92768082647e-06,4.27162194683e-06,0,0,0,0,0,0,0,0,0,3,7.92768082647e-06,4.27162194683e-06,3,7.92768082647e-06,4.27162194683e-06
-10.8,3,7.42501106288e-06,3.03025012727e-06,3,7.42501106288e-06,3.03025012727e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7.42501106288e-06,3.03025012727e-06
