temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_ag,adj_sample_wgt_ag,no_wgt_nonag,adj_sample_wgt_nonag
16,1532,.0002508240458248,954,.0001545470342883,7,1.19082994843e-06,571,.000095086181588
16.7,1753,.0002646435433,1114,.0001700092363315,22,2.72718400041e-06,617,.0000919071229681
16.9,1516,.0002798207610759,937,.0001731430508372,6,1.85959420662e-06,573,.0001048181160321
17.1,1826,.0001962385249072,1201,.0001318388893878,16,1.63658716090e-06,609,.0000627630483585
17.2,1725,.0002508669902923,1123,.0001652854564576,10,1.44298215332e-06,592,.0000841385516814
17.4,3567,.0005086922743338,2343,.0003360568044357,36,6.35744338240e-06,1188,.0001662780265157
17.5,1586,.0001849976919139,997,.0001156994890188,11,2.08497099408e-06,578,.0000672132319011
17.9,1789,.0001926664380214,1180,.0001272196554289,16,1.55959829229e-06,593,.0000638871843002
18,5519,.0006827095956794,3600,.0004503780533653,39,4.89497042011e-06,1880,.0002274365718939
18.1,1867,.0002057412523051,1185,.0001323249354144,17,1.85236902084e-06,665,.0000715639478699
18.2,4768,.0006439928066868,3093,.000418451228267,40,4.76377211811e-06,1635,.0002207778063017
18.4,3250,.0003805141646147,2078,.0002480824665447,26,3.43610006937e-06,1146,.0001289955980006
18.5,1844,.0002579457257781,1174,.0001627847367303,10,2.20875890733e-06,660,.0000929522301405
18.6,8449,.0012000415762401,5374,.0007645736597617,51,8.12708016795e-06,3024,.0004273408363105
18.7,5271,.0007069888985143,3319,.0004389331431938,42,6.27169709944e-06,1910,.0002617840582211
19,8399,.0010843099781717,5475,.0007143659698414,41,4.33205510930e-06,2883,.0003656119532209
19.2,1392,.0002158109355115,889,.0001364113673752,11,1.35588938832e-06,492,.000078043678748
19.3,3392,.0004200156551342,2185,.0002699969752058,18,2.27142995612e-06,1189,.0001477472499722
19.4,1696,.0002267784565362,1087,.0001419648822321,11,1.42629205868e-06,598,.0000833872822454
19.5,4477,.0012225754008099,3024,.000846350784748,30,.0000108937318259,1423,.000365330884236
19.6,9793,.001241239277558,6337,.0008089096330153,67,.0000110145324861,3389,.0004213151120567
19.7,3270,.0004142991196439,2131,.0002734236793813,26,3.51424887413e-06,1113,.0001373611913884
19.8,6646,.0009684319765384,4350,.000645980205217,48,7.32928006286e-06,2248,.0003151224912585
19.9,4951,.0006170450269956,3215,.0004013978984432,36,5.55458943197e-06,1700,.0002100925391204
20,4519,.0005802907084451,2865,.0003738713391108,42,6.04742380617e-06,1612,.0002003719455281
20.2,7422,.0015148774774261,4919,.0009988877683114,47,.000010178338762,2456,.0005058113703527
20.3,1493,.0001811849473761,957,.0001153011267121,12,1.37168543546e-06,524,.0000645121352285
20.4,12043,.0030766308045642,7953,.0020373280802382,64,.0000190947027399,4026,.0010202080215862
20.5,1529,.0002523697095214,951,.0001562277198808,10,1.96933230256e-06,568,.000094172657338
20.6,12512,.0023289537008573,8033,.0014818767339655,97,.0000189316708763,4382,.0008281452960155
20.7,7461,.0019535006556772,4786,.0012833581113441,58,.0000180931130842,2617,.000652049431249
20.8,7435,.003515289857134,4862,.0022820811744708,34,.0000151519146527,2539,.0012180567680105
20.9,9222,.0019512888654134,5941,.0012486045287652,61,.0000129919786787,3220,.0006896923579696
21,4803,.000749935649754,3034,.000480211281392,48,7.84018644495e-06,1721,.0002618841819171
21.1,14440,.0024982210475919,9376,.0016228207974152,94,.0000173977778033,4970,.0008580024723734
21.2,1756,.0001887652936539,1181,.0001257364891885,6,5.58675871787e-07,569,.0000624701285936
21.3,8204,.0023176464619716,5384,.0015122263054401,55,.0000173393927945,2765,.000788080763737
21.4,3264,.0004763474405429,2051,.0003013272362686,26,3.59819193463e-06,1187,.0001714220123397
21.5,8634,.0038588819150931,5594,.0024925983345412,58,.0000255476738857,2982,.0013407359066662
21.6,13211,.0047662947429359,8684,.0031402244221148,81,.0000297494851225,4446,.0015963208356986
21.7,19697,.0048668896478254,12907,.0032434676088897,121,.0000281865873681,6669,.0015952354515676
21.8,10730,.0027495620291624,6982,.0017933047145746,72,.000018248914003,3676,.0009380084005848
21.9,11861,.0031836797399833,7845,.0020865650117088,38,.0000124781627662,3978,.0010846365655084
22,14873,.0046457504891393,9825,.0030901255091962,59,.0000138069996005,4989,.0015418179803426
22.1,16934,.0052459513398233,11079,.0034577012668997,100,.0000291096551344,5755,.0017591404177892
22.2,11457,.0033650020974072,7457,.0022044327849535,61,.0000204150041299,3939,.0011401543083238
22.3,7996,.0024206871342045,5202,.0015824913351139,54,.0000156914807476,2740,.000822504318343
22.4,12321,.0037634440876353,8146,.0024858528074141,72,.0000308254698602,4103,.001246765810361
22.5,11379,.0047940687705506,7454,.0031328336707901,55,.0000216104211432,3870,.0016396246786172
22.6,11495,.0048485912250413,7630,.0032307927294077,59,.0000223353146964,3806,.0015954631809372
22.7,13376,.0048647732881868,8876,.0032229146710385,83,.0000296153181161,4417,.0016122432990322
22.8,14937,.0048715887294293,9954,.0032650010274828,85,.000030825138893,4898,.0015757625630535
22.9,8543,.0024228610792179,5733,.0016254169718302,46,.0000129546628109,2764,.0007844894445768
23,17509,.0068167495339324,11497,.0045218215760521,103,.0000362690874738,5909,.0022586588704065
23.1,22055,.0066649969811436,14472,.0044206272016609,144,.00004388960825,7439,.0022004801712328
23.2,8079,.0025935961251555,5227,.0016780950447526,52,.0000198357567172,2800,.0008956653236858
23.3,7404,.0014535218952467,4787,.0009376883485572,54,.0000117577280001,2563,.0005040758186894
23.4,14133,.0035126327186852,9477,.0023827177883859,86,.0000219508619104,4570,.0011079640683889
23.5,10425,.002765297568704,7028,.0018569952184926,43,.0000100078616612,3354,.0008982944885503
23.6,11724,.0048743465262682,7807,.0032369071180689,66,.0000330193098108,3851,.0016044200983885
23.7,13087,.0038375493805134,8625,.0025233799111142,55,.0000183770759534,4407,.0012957923934458
23.8,17669,.0044036522226598,11531,.0028885505212628,133,.0000331627722368,6005,.0014819389291603
23.9,14155,.0057798699359495,9615,.0038661708459813,83,.0000359359552746,4457,.0018777631346936
24,11618,.0043811243624283,7549,.0029104946157652,72,.0000196439775273,3997,.0014509857691358
24.1,9607,.0037610417687546,6530,.002552371412321,38,.0000169118969353,3039,.0011917584594983
24.2,22443,.0073823459848299,14864,.0049072579656126,149,.0000485309307621,7430,.0024265570884552
24.3,22309,.0073845357777529,14770,.004877180735523,141,.0000380483541988,7398,.002469306688031
24.4,10811,.0036633807219175,7168,.0024047232169799,62,.0000195622894452,3581,.0012390952154924
24.5,7984,.0021433998045524,5368,.0014437976634589,49,.0000152666304558,2567,.0006843355106376
24.6,29019,.0106326772619312,19182,.0070878099977989,181,.0000569188883226,9656,.0034879483758097
24.7,19557,.0065272712559619,13531,.0044982976327645,91,.0000331430093752,5935,.0019958306138221
24.8,16940,.0046721364520366,11448,.0031646438606678,85,.0000276057610833,5407,.0014798868302854
24.9,22812,.0080238939233581,15388,.0053448634495297,142,.0000473777206089,7282,.0026316527532195
25,15382,.0052136683128978,10601,.003535156262128,80,.0000319839755534,4701,.0016465280752165
25.1,28370,.0097810091345032,19043,.0065272097925977,136,.0000516223749614,9191,.0032021769669441
25.2,14289,.0051737222812029,9883,.0035230386199387,48,.0000247844601304,4358,.0016258992011338
25.3,28885,.0086515208931317,19473,.0058223007040112,179,.0000497971578568,9233,.0027794230312637
25.4,25227,.0060822756659782,17657,.0042630321572616,169,.0000379810404532,7401,.0017812624682634
25.5,26025,.0068096038364942,17548,.004571556240073,164,.000043952507685,8313,.0021940950887362
25.6,29565,.0068706306166426,20060,.0046764211773827,163,.0000356235697865,9342,.0021585858694735
25.7,36603,.0119924636034945,24504,.0080567444210011,160,.0000479287308117,11939,.0038877904516816
25.8,27068,.0075538741664314,18923,.0052310803070021,160,.0000389695642902,7985,.0022838242951391
25.9,46317,.012919106098515,31717,.0087643764357663,281,.0000785862758619,14319,.0040761433868868
26,24739,.0061714650981628,17055,.0042791751542168,161,.0000353532455541,7523,.0018569366983918
26.1,43562,.0109917299647142,30255,.0077115496099207,224,.0000492708577937,13083,.0032309094969998
26.2,43437,.0133128888404279,29645,.0089932922672418,211,.0000624849817079,13581,.0042571115914782
26.3,34700,.0074525217885171,24178,.005236116309991,161,.0000354436664232,10361,.0021809618121029
26.4,50670,.0148873609002109,34747,.0100795158315883,299,.0000900307739009,15624,.0047178142947217
26.5,58937,.0159696833985405,40388,.0107678102704591,357,.0001150785292423,18192,.0050867945988391
26.6,43857,.0105575224756365,30527,.0072717623063561,277,.0000596601793887,13053,.0032260999898917
26.7,51125,.013994017143208,35499,.0097459853566555,284,.000070815920644,15342,.0041772158659086
26.8,52203,.0142210395182225,36054,.009740004077452,321,.0000784191587622,15828,.0044026162820083
26.9,54207,.0139774703114917,37250,.0095114334073845,349,.0000890238883642,16608,.004377013015743
27,36890,.0088267234219641,25629,.0060334459955396,243,.0000583131199612,11018,.0027349643064634
27.1,63884,.0146651032706906,44519,.0102051284429976,405,.0000942106391371,18960,.0043657641885559
27.2,31572,.006301678703867,22080,.0044215127759042,203,.0000452550141894,9289,.0018349109137734
27.3,55235,.0142403711985288,37904,.0097604898466841,352,.0000959657839239,16979,.0043839155679208
27.4,58605,.0172024881435036,41259,.0120229240236895,320,.0001010287780296,17026,.0050785353417844
27.5,45832,.011544635678554,31678,.0079280519699019,260,.0000719187479064,13894,.0035446649607458
27.6,46637,.011433972914296,32876,.0080711066248993,254,.0000587596085122,13507,.0033041066808845
27.7,48155,.010415503120857,33733,.0072677946444593,279,.0000552844611832,14143,.0030924240152146
27.8,58444,.0142444389904064,40832,.0098642827632638,378,.0000787746217732,17234,.0043013816053694
27.9,46439,.010499664768238,32911,.0073979286964709,284,.0000621380855144,13244,.0030395979862528
28,48631,.0102248103994889,33900,.0071642793093289,278,.0000564054769896,14453,.0030041256131703
28.1,59539,.0148757694268911,41189,.0102721716312546,369,.0000812637441143,17981,.0045223340515221
28.2,49320,.0081701784843298,34852,.0058001584710548,297,.0000471207022041,14171,.0023228993110709
28.3,46312,.0106555392946959,32558,.0075290058466528,280,.0000607051752262,13474,.0030658282728169
28.4,45476,.0105181820404034,32375,.0074569265110576,301,.0000652280914579,12800,.002996027437888
28.5,51901,.0126294156922215,35927,.0087470575099537,309,.000068680705251,15665,.0038136774770168
28.6,41937,.0106965577788571,29120,.0073300643928569,238,.0000555059261771,12579,.0033109874598232
28.7,67410,.0153690194226828,47791,.0109090562312257,422,.0000990684754925,19197,.0043608947159646
28.8,53730,.0102070667759016,37390,.0071818345475343,372,.0000704871232884,15968,.0029547451050789
28.9,47981,.0094452805064229,33745,.0066704067489312,363,.0000792291923446,13873,.0026956445651471
29,54632,.0113406779290139,37440,.007835213630301,381,.0000740076154173,16811,.0034314566832956
29.1,37883,.0077797473275147,26615,.0055244987849896,237,.0000500707379238,11031,.0022051778046013
29.2,65836,.0145210479808693,45739,.0101064652943936,471,.0000900035646225,19626,.0043245791218531
29.3,42957,.0065614642498888,29870,.0046010582714757,345,.0000582162688794,12742,.0019021897095337
29.4,40800,.0079195478530139,28832,.0056681823389972,256,.0000473579200211,11712,.0022040075939955
29.5,32964,.0063822235486031,23740,.0046498808334547,182,.0000363250721094,9042,.0016960176430389
29.6,43173,.0075112173038581,30280,.0053182574506794,299,.0000589241536915,12594,.0021340356994872
29.7,44048,.008857807355688,31307,.0063819615496028,283,.0000538654992148,12458,.0024219803068704
29.8,45560,.0079076972677505,31967,.005648540440335,304,.000049119352953,13289,.0022100374744625
29.9,30522,.0052547381801489,21335,.0037195944133792,193,.000032969676699,8994,.0015021740900707
30,47654,.0082352465555138,33644,.0059247498951285,321,.0000509203080199,13689,.0022595763523654
30.1,44410,.009960407589471,31458,.0069991954982775,258,.000051532330037,12694,.0029096797611565
30.2,31843,.0055686757303448,22022,.003914594433148,181,.000034007892431,9640,.0016200734047658
30.3,43657,.0078041395940431,30938,.005575799343724,328,.0000576907794034,12391,.0021706494709157
30.4,41855,.0093863259376548,29969,.0066719576740368,293,.0000657334192198,11593,.0026486348443981
30.5,23285,.0042555347999853,16614,.0030638855698695,173,.0000286055010541,6498,.0011630437290617
30.6,33842,.0071005515286027,24702,.0051869971855978,201,.0000388737894035,8939,.0018746805536014
30.7,31315,.0061628318921834,22099,.0044334737589473,203,.0000371703732576,9013,.0016921877599785
30.8,16370,.003207867338471,11333,.0022814631202728,78,.0000155423724912,4959,.000910861845707
30.9,27883,.0068657712728584,20084,.004902045946606,163,.0000360081638391,7636,.0019277171624132
31,24363,.0049865505796198,17527,.0036242730545943,159,.0000299001466253,6677,.0013323773784002
31.1,26066,.0058178335999379,18816,.0041972308218394,219,.00003888504515,7031,.0015817177329485
31.2,20370,.0048027055211257,14402,.0034468378996309,133,.0000265495210883,5835,.0013293181004066
31.3,20465,.004312191200516,14687,.0031121277506223,151,.0000253102235028,5627,.0011747532263908
31.4,23236,.0040144955483292,16668,.0029260559586852,134,.0000243242234355,6434,.0010641153662085
31.5,21901,.0042750835110112,15985,.0031270648155939,130,.0000217263475655,5786,.0011262923478519
31.6,13806,.0027089803852824,9967,.0019767443042289,100,.0000198669669658,3739,.0007123691140878
31.7,16015,.0030435001076023,11640,.0022057903610309,128,.0000229824169864,4247,.0008147273295851
31.8,12788,.002232580345769,9263,.0016375355053029,110,.0000192925625839,3415,.0005757522778822
31.9,14209,.0024944681020358,10376,.0018318045332464,79,.000014165845009,3754,.0006484977237804
32,4871,.000933078829302,3658,.0007082372871849,32,5.04608082963e-06,1181,.0002197954612875
32.1,12361,.0022236606073669,8979,.0016354476173888,82,.0000162331050788,3300,.0005719798848993
32.2,8600,.0023304399222184,6283,.0017125832670644,34,6.37113556934e-06,2283,.0006114855195847
32.3,14186,.0034672165783931,10468,.0025456580456193,81,.000018934522771,3637,.0009026240100027
32.4,8358,.0015467571743102,6027,.0011381621113102,53,9.19731091642e-06,2278,.0003993977520835
32.5,2486,.0003761403866704,1857,.0002771389016125,28,5.46932330536e-06,601,.0000935321617526
32.6,17149,.0038515926716194,12610,.0028339008430542,96,.0000166864267612,4443,.0010010054018039
32.7,11832,.0020198818369614,8596,.0014675980602945,107,.0000200284465777,3129,.0005322553300893
32.8,14108,.0030271584801156,10478,.0022359814850859,78,.0000177107659383,3552,.0007734662290915
32.9,5659,.0010645701638445,4237,.0007967552652701,53,8.80479498733e-06,1369,.0002590101035871
33,1382,.0002214959858939,1020,.0001652132073566,11,1.63613655246e-06,351,.0000546466419848
33.1,5255,.00082267573287,3776,.0005985456904689,35,6.02911122627e-06,1444,.0002181009311748
33.2,2549,.0003885460190904,1858,.0002907873523306,25,3.21299175710e-06,666,.0000945456750028
33.4,1286,.0001892026766868,960,.0001425862265423,12,1.34546781538e-06,314,.0000452709823291
33.5,1620,.0008459765863478,1138,.000603383121998,10,5.77939661639e-06,472,.0002368140677333
33.6,2825,.0008229570520761,2093,.0006157211803064,17,4.39964482268e-06,715,.0002028362269471
33.7,1510,.0005359325294521,1052,.0003844076230308,11,4.56066590004e-06,447,.0001469642405212
34,2457,.0003615424402952,1793,.0002618888370183,26,3.76560238635e-06,638,.0000958880008906
34.1,1288,.0002483036443515,923,.0001787876478794,16,4.00163552428e-06,349,.0000655143609478
34.2,2486,.0004805905849459,1782,.0003478544829676,14,2.50929792500e-06,690,.0001302268040533
34.4,1325,.0001795951766042,964,.0001296519578382,6,1.08136286059e-06,355,.0000488618559054
