temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
0,3,.000192358806089,3,.000192358806089,0,0
.6,5,.0003260204466642,5,.0003260204466642,0,0
1.7,1,.000094971692306,1,.000094971692306,0,0
1.8,2,.0001775832424755,2,.0001775832424755,0,0
2.1,2,.0001316382767982,2,.0001316382767982,0,0
2.2,9,.0005755556849181,8,.0005136735489941,1,.000061882135924
2.7,2,.0001555404596729,2,.0001555404596729,0,0
2.8,9,.0007436877349392,9,.0007436877349392,0,0
3.4,4,.0002622534084367,4,.0002622534084367,0,0
3.8,1,.0000601683968853,1,.0000601683968853,0,0
4,5,.0004353233525762,5,.0004353233525762,0,0
4.2,1,.0000620486171101,1,.0000620486171101,0,0
4.3,8,.0006514738415717,8,.0006514738415717,0,0
4.5,9,.0007015150913503,9,.0007015150913503,0,0
4.6,10,.0007216275480459,10,.0007216275480459,0,0
4.9,8,.0005092697902001,8,.0005092697902001,0,0
5,10,.0008163351012627,10,.0008163351012627,0,0
5.1,3,.0002517321699997,3,.0002517321699997,0,0
5.2,3,.0002400888806733,2,.0001552056382934,1,.0000848832423799
5.4,24,.0018726009875536,24,.0018726009875536,0,0
5.5,6,.0005049325045547,4,.0003294422858744,2,.0001754902186804
5.7,4,.0003101605834672,4,.0003101605834672,0,0
5.8,4,.0003193172306055,4,.0003193172306055,0,0
5.9,7,.0004436987437657,7,.0004436987437657,0,0
6,1,.0000714161069482,1,.0000714161069482,0,0
6.1,2,.0001159617713711,2,.0001159617713711,0,0
6.3,7,.0005414955157903,6,.0004503775489866,1,.0000911179668037
6.4,2,.000147159473272,1,.0000622762308922,1,.0000848832423799
6.5,3,.0002332720832783,3,.0002332720832783,0,0
6.6,9,.000723973789718,9,.000723973789718,0,0
6.7,26,.002091351805575,25,.0020150753371126,1,.0000762764684623
6.8,7,.000455056248029,7,.000455056248029,0,0
6.9,12,.0010097243430209,12,.0010097243430209,0,0
7,41,.0031297724308388,41,.0031297724308388,0,0
7.1,6,.0003809918453044,6,.0003809918453044,0,0
7.2,18,.001359635454719,18,.001359635454719,0,0
7.3,11,.0008258378911705,11,.0008258378911705,0,0
7.4,7,.0004470391650102,7,.0004470391650102,0,0
7.6,7,.0005499554608832,7,.0005499554608832,0,0
7.7,8,.0005882262266823,8,.0005882262266823,0,0
7.8,15,.0011644335390883,15,.0011644335390883,0,0
7.9,3,.0002523036237108,1,.0000791486309026,2,.0001731549928081
8,5,.0003996894447482,5,.0003996894447482,0,0
8.1,9,.0006618593579333,9,.0006618593579333,0,0
8.199999999999999,17,.0012468194581743,14,.0010591862956062,3,.0001876331625681
8.300000000000001,18,.0013631479669129,18,.0013631479669129,0,0
8.4,43,.0033247713690798,43,.0033247713690798,0,0
8.5,8,.0005552597867791,8,.0005552597867791,0,0
8.6,13,.0008314681108459,13,.0008314681108459,0,0
8.699999999999999,34,.0021808402016177,33,.0021195534864091,1,.0000612867152086
8.800000000000001,30,.0021783203737868,28,.0020522089289443,2,.0001261114448425
8.9,19,.001566644590639,16,.0013100105061312,3,.0002566340845078
9,50,.0036644198698923,45,.003268953798397,5,.0003954660714953
9.1,36,.0026871642912738,33,.0024763080946286,3,.0002108561966452
9.199999999999999,20,.0012989584138268,19,.0012395010235196,1,.0000594573903072
9.300000000000001,36,.0028065231599612,36,.0028065231599612,0,0
9.4,12,.0008947849819378,12,.0008947849819378,0,0
9.5,58,.003929139849788,57,.0038643044099445,1,.0000648354398436
9.6,40,.0032408060942544,40,.0032408060942544,0,0
9.699999999999999,28,.0022354061875376,28,.0022354061875376,0,0
9.800000000000001,8,.0005873321752006,7,.0005271637783153,1,.0000601683968853
9.9,38,.0028733963154082,35,.0026777784842125,3,.0001956178311957
10,24,.0018478861165931,24,.0018478861165931,0,0
10.1,20,.0015643687183911,17,.0013258532890177,3,.0002385154293734
10.2,41,.0029991872579558,40,.0029379005427472,1,.0000612867152086
10.3,65,.0049080188800872,61,.0046473545116896,4,.0002606643683976
10.4,31,.0022139962602523,25,.001730793977913,6,.0004832022823393
10.5,14,.0010767453495646,14,.0010767453495646,0,0
10.6,52,.0040377948171226,49,.0038287130773824,3,.0002090817397402
10.7,61,.0046831765248498,58,.0044835089793196,3,.0001996675455302
10.8,75,.0054378504246415,74,.0053759682887176,1,.000061882135924
10.9,58,.0045364934994723,56,.0043683061594493,2,.000168187340023
11,22,.001720186923194,20,.001553564779897,2,.000166622143297
11.1,23,.0017591524301679,23,.0017591524301679,0,0
11.2,112,.0085753727507836,107,.008187607232685,5,.0003877655180986
11.3,67,.0048581921910227,66,.0047735213920532,1,.0000846707989695
11.4,17,.0013261634376249,16,.0012406173918862,1,.0000855460457387
