temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
0,3,.000192358806089,0,0,3,.000192358806089
.6,5,.0003260204466642,3,.0001949817960849,2,.0001310386505793
1.7,1,.000094971692306,1,.000094971692306,0,0
1.8,2,.0001775832424755,2,.0001775832424755,0,0
2.1,2,.0001316382767982,1,.0000678712385707,1,.0000637670382275
2.2,9,.0005755556849181,6,.0003830106579699,3,.0001925450269482
2.7,2,.0001555404596729,1,.0000763918287703,1,.0000791486309026
2.8,9,.0007436877349392,9,.0007436877349392,0,0
3.4,4,.0002622534084367,4,.0002622534084367,0,0
3.8,1,.0000601683968853,1,.0000601683968853,0,0
4,5,.0004353233525762,5,.0004353233525762,0,0
4.2,1,.0000620486171101,1,.0000620486171101,0,0
4.3,8,.0006514738415717,4,.0003268607179052,4,.0003246131236665
4.5,9,.0007015150913503,7,.0005310622655088,2,.0001704528258415
4.6,10,.0007216275480459,8,.0005653691405314,2,.0001562584075145
4.9,8,.0005092697902001,6,.000389232976886,2,.0001200368133141
5,10,.0008163351012627,8,.0006526312427013,2,.0001637038585613
5.1,3,.0002517321699997,2,.0001670613710303,1,.0000846707989695
5.2,3,.0002400888806733,2,.0001552056382934,1,.0000848832423799
5.4,24,.0018726009875536,16,.001259389151528,8,.0006132118360256
5.5,6,.0005049325045547,3,.0002365930486121,3,.0002683394559426
5.7,4,.0003101605834672,2,.0001420950575266,2,.0001680655259406
5.8,4,.0003193172306055,0,0,4,.0003193172306055
5.9,7,.0004436987437657,5,.0003150757329422,2,.0001286230108235
6,1,.0000714161069482,0,0,1,.0000714161069482
6.1,2,.0001159617713711,2,.0001159617713711,0,0
6.3,7,.0005414955157903,4,.0002737756731221,3,.0002677198426682
6.4,2,.000147159473272,1,.0000622762308922,1,.0000848832423799
6.5,3,.0002332720832783,3,.0002332720832783,0,0
6.6,9,.000723973789718,3,.0002435891001369,6,.0004803846895811
6.7,26,.002091351805575,20,.0015997877744667,6,.0004915640311083
6.8,7,.000455056248029,5,.0003313772394904,2,.0001236790085386
6.9,12,.0010097243430209,10,.0008464776256005,2,.0001632467174204
7,41,.0031297724308388,31,.0024064966819424,10,.0007232757488964
7.1,6,.0003809918453044,5,.000315602414048,1,.0000653894312563
7.2,18,.001359635454719,9,.0007145873532863,9,.0006450481014326
7.3,11,.0008258378911705,11,.0008258378911705,0,0
7.4,7,.0004470391650102,6,.0003851406872855,1,.0000618984777248
7.6,7,.0005499554608832,6,.0004591092583723,1,.0000908462025109
7.7,8,.0005882262266823,6,.0004246717944625,2,.0001635544322198
7.8,15,.0011644335390883,13,.0010041083514807,2,.0001603251876077
7.9,3,.0002523036237108,1,.0000791486309026,2,.0001731549928081
8,5,.0003996894447482,4,.0003232976159779,1,.0000763918287703
8.1,9,.0006618593579333,7,.0005325309866748,2,.0001293283712585
8.199999999999999,17,.0012468194581743,11,.0008028039956116,6,.0004440154625627
8.300000000000001,18,.0013631479669129,14,.0010495383758098,4,.0003136095911032
8.4,43,.0033247713690798,32,.0024850957561284,11,.0008396756129514
8.5,8,.0005552597867791,6,.0004100913211005,2,.0001451684656786
8.6,13,.0008314681108459,9,.0005779123130196,4,.0002535557978263
8.699999999999999,34,.0021808402016177,24,.0015501760972256,10,.0006306641043921
8.800000000000001,30,.0021783203737868,16,.0012102981490898,14,.0009680222246971
8.9,19,.001566644590639,12,.0009907227649819,7,.0005759218256571
9,50,.0036644198698923,35,.0025409518530068,15,.0011234680168855
9.1,36,.0026871642912738,24,.0018083420363837,12,.0008788222548901
9.199999999999999,20,.0012989584138268,16,.0010347032184654,4,.0002642551953613
9.300000000000001,36,.0028065231599612,28,.0021782634576084,8,.0006282597023528
9.4,12,.0008947849819378,11,.0008328058065672,1,.0000619791753707
9.5,58,.003929139849788,47,.0031543940749543,11,.0007747457748337
9.6,40,.0032408060942544,27,.0021745453559561,13,.0010662607382983
9.699999999999999,28,.0022354061875376,17,.0013233511999715,11,.0009120549875661
9.800000000000001,8,.0005873321752006,5,.0003719607339008,3,.0002153714412998
9.9,38,.0028733963154082,27,.0020563578691508,11,.0008170384462574
10,24,.0018478861165931,17,.0012666043985519,7,.0005812817180413
10.1,20,.0015643687183911,12,.0009396348978044,8,.0006247338205867
10.2,41,.0029991872579558,25,.0018509302099119,16,.0011482570480439
10.3,65,.0049080188800872,49,.0037278976633388,16,.0011801212167484
10.4,31,.0022139962602523,19,.0013259009356261,12,.0008880953246262
10.5,14,.0010767453495646,12,.0009317440490122,2,.0001450013005524
10.6,52,.0040377948171226,31,.0023879565997049,21,.0016498382174177
10.7,61,.0046831765248498,43,.0033075004976126,18,.0013756760272372
10.8,75,.0054378504246415,61,.0044075471487304,14,.0010303032759111
10.9,58,.0045364934994723,38,.0029611785212182,20,.001575314978254
11,22,.001720186923194,14,.0010760820259748,8,.0006441048972192
11.1,23,.0017591524301679,16,.001195942852064,7,.0005632095781039
11.2,112,.0085753727507836,79,.0060685619755532,33,.0025068107752304
11.3,67,.0048581921910227,52,.0037471427749551,15,.0011110494160675
11.4,17,.0013261634376249,13,.0010490857966943,4,.0002770776409307
11.5,71,.0055811590500525,56,.0043183340676478,15,.0012628249824047
11.6,52,.0040963326791825,32,.0025742414254637,20,.0015220912537188
11.7,41,.0030252758078859,31,.0023068679365679,10,.000718407871318
11.8,21,.0016932534708758,17,.0013990949046274,4,.0002941585662484
11.9,31,.0023846429357945,14,.001013672179397,17,.0013709707563976
12,42,.0034468992380425,26,.0021511428276426,16,.0012957564103999
12.1,61,.0045134923675505,32,.0024298639582412,29,.0020836284093093
12.2,20,.0015271541997208,11,.0008148868873832,9,.0007122673123376
12.3,81,.0058102594848606,51,.0036352526694827,30,.0021750068153779
12.4,53,.0038827327625768,35,.0024605968683318,18,.001422135894245
12.5,44,.0032770367943158,28,.002093428713124,16,.0011836080811918
12.6,37,.0027830935650854,26,.001933297215146,11,.0008497963499394
12.7,59,.0045384348231892,36,.0027583458468143,23,.0017800889763748
12.8,58,.0042989188332285,32,.002449215757224,26,.0018497030760045
12.9,79,.005901733351493,46,.0034362768565188,33,.0024654564949742
13,32,.0024661913012096,19,.0014725142355019,13,.0009936770657077
13.1,97,.0069853715031059,65,.00475407455815,32,.0022312969449558
13.2,43,.0033829297353805,38,.0030221156011976,5,.0003608141341829
13.3,54,.0041100329981418,42,.0031768637272762,12,.0009331692708656
13.4,85,.0064314924056816,53,.0039894390283735,32,.0024420533773082
13.5,38,.0030835581055726,23,.0018618643007358,15,.0012216938048368
13.6,45,.0035234933711763,31,.0024380650938838,14,.0010854282772925
13.7,56,.0040451204658893,38,.0027802115873783,18,.0012649088785111
13.8,71,.0053405721155286,54,.0040677228644199,17,.0012728492511087
13.9,66,.0054169424183783,40,.003324979224999,26,.0020919631933793
14,24,.0018360824687988,11,.0008106834648061,13,.0010253990039928
14.1,22,.0014812127192272,17,.0011591310903896,5,.0003220816288376
14.2,89,.006995321924478,68,.005360651830415,21,.001634670094063
14.3,48,.0035098210537399,33,.0024473803096043,15,.0010624407441355
14.4,42,.0031045061987243,32,.0023711170870229,10,.0007333891117014
14.5,71,.0052327328376123,44,.0032250082294922,27,.00200772460812
14.6,60,.0044646804199147,41,.0030384629862965,19,.0014262174336181
14.7,39,.0031221760655171,25,.0019610494928202,14,.001161126572697
14.8,46,.0032625771818857,30,.0020835214127146,16,.0011790557691711
14.9,73,.0055127906489361,53,.0039760581603332,20,.0015367324886029
15,92,.0071738005681254,57,.0043956984191027,35,.0027781021490227
15.1,70,.0053817876505491,57,.0043888435429835,13,.0009929441075656
15.2,40,.0031036046057125,24,.001826002902817,16,.0012776017028955
15.3,73,.005711177145713,55,.0043381423965911,18,.0013730347491219
15.4,85,.0060903048761247,54,.0037712437624577,31,.002319061113667
15.5,71,.0050321126691415,49,.0034286154987058,22,.0016034971704357
15.6,34,.0024262494371214,21,.0015246123330144,13,.0009016371041071
15.7,56,.0042298940534238,47,.003475117173366,9,.0007547768800578
15.8,105,.0081236199039267,71,.0054423808833235,34,.0026812390206032
15.9,83,.0063849031612335,63,.0048466441257915,20,.001538259035442
16,91,.0068760470239795,65,.0048968388728099,26,.0019792081511696
16.1,61,.0045344670725171,41,.0029898711363785,20,.0015445959361386
16.2,97,.0074493342617643,62,.0047763482507435,35,.0026729860110208
16.3,79,.0063268422672991,52,.0041839949190035,27,.0021428473482956
16.4,55,.0041206663918274,46,.0034423116885591,9,.0006783547032683
16.5,64,.0051749245685642,43,.0034688088853727,21,.0017061156831915
16.6,85,.0066656451162999,59,.004621940843208,26,.0020437042730919
16.7,82,.0060590002212848,62,.0045621974168171,20,.0014968028044677
16.8,79,.0061323030240601,56,.0042683054707595,23,.0018639975533006
16.9,92,.0067784687853418,53,.0038066435117798,39,.002971825273562
17,58,.0042993495844712,42,.0031132364092628,16,.0011861131752084
17.1,65,.0051163661592,44,.0034941979829455,21,.0016221681762545
17.2,36,.002685806077352,30,.0022319452182273,6,.0004538608591247
17.3,38,.0028754060513165,25,.0018924906798929,13,.0009829153714236
17.4,67,.0049713114531187,49,.0036105876679358,18,.0013607237851829
17.5,96,.0073323017568327,61,.0048133866694116,35,.0025189150874212
17.6,45,.0035708736031665,31,.0024799447382975,14,.0010909288648691
17.7,55,.0042086785615538,38,.0029154868316255,17,.0012931917299284
17.8,68,.0052239954748075,36,.0027485416430864,32,.0024754538317211
17.9,58,.0044903347916261,34,.0027328520736773,24,.0017574827179487
18,59,.0043435622137622,32,.0023633568489458,27,.0019802053648164
18.1,55,.004384691350424,37,.0029103681990819,18,.0014743231513421
18.2,19,.0013913173061155,13,.0009574614341545,6,.000433855871961
18.3,55,.0039878651659819,33,.002474143053405,22,.0015137221125769
18.4,72,.0057013943296624,48,.0037983902111591,24,.0019030041185033
18.5,68,.0053055352545925,49,.0039057177564246,19,.001399817498168
18.6,31,.0023344993023784,22,.0016788364519016,9,.0006556628504768
18.7,50,.0036397383009898,39,.0028789035386581,11,.0007608347623318
18.8,62,.0048511233580939,43,.0033525486360304,19,.0014985747220635
18.9,45,.0034525054688856,30,.0023113341121643,15,.0011411713567213
19,41,.0030051404683036,26,.0018967621872434,15,.0011083782810601
19.1,115,.0093678843513771,78,.0063687602014397,37,.0029991241499374
19.2,94,.0069512338886852,53,.0038110695604701,41,.0031401643282152
19.3,86,.0070866247770027,60,.0049774979561334,26,.0021091268208693
19.4,59,.0045248150236148,45,.0034787964032148,14,.0010460186204
19.5,67,.0050744279214996,48,.0035986499788123,19,.0014757779426873
19.6,78,.0057946438173531,56,.0041416922904318,22,.0016529515269212
19.7,22,.0016661413355905,13,.0009862963306659,9,.0006798450049246
19.8,91,.0072156249807449,62,.0049089759777416,29,.0023066490030033
19.9,43,.0034626887099876,32,.0025548371668265,11,.0009078515431611
20,44,.0033822633922682,37,.0029331239857129,7,.0004491394065553
20.1,50,.0039747581176925,33,.0025415883610549,17,.0014331697566377
20.2,33,.0025191646273015,23,.0017675264061836,10,.0007516382211179
20.3,50,.0038592671444349,35,.002760077270068,15,.0010991898743669
20.4,62,.0047597734264855,45,.0034969271946466,17,.0012628462318389
20.5,93,.0072114475333365,62,.0048315252715838,31,.0023799222617527
20.6,45,.0033812617330113,32,.0023800345370546,13,.0010012271959567
20.7,66,.0049487328215037,48,.0036246562667657,18,.001324076554738
20.8,49,.0038602883469139,34,.0026527461632213,15,.0012075421836926
20.9,25,.0016681239139871,16,.0010356436650909,9,.0006324802488962
21,29,.0019833520200336,16,.0010642836277839,13,.0009190683922498
21.1,58,.0042870765246334,35,.0026074340639752,23,.0016796424606582
21.2,47,.0036331518058432,35,.0027287041666568,12,.0009044476391864
21.3,39,.0030061954457778,23,.001758699232596,16,.0012474962131819
21.4,109,.0081908525316976,73,.0054293731809594,36,.0027614793507382
21.5,54,.0040359218328376,41,.0030836583682685,13,.0009522634645691
21.6,54,.0039737554834574,40,.0029175922099967,14,.0010561632734607
21.7,62,.0046939273270254,42,.0031619921101083,20,.0015319352169172
21.8,45,.0033741684092092,36,.0027136135176988,9,.0006605548915104
21.9,36,.0028116833964305,20,.0016630063182674,16,.001148677078163
22,66,.0050940899527632,43,.0033834889436548,23,.0017106010091084
22.1,50,.0036486972821876,36,.0026472500539967,14,.001001447228191
22.2,45,.0034150577557739,28,.0021423948783195,17,.0012726628774544
22.3,58,.004369474525447,32,.0024147805233952,26,.0019546940020518
22.4,60,.0047359298332594,45,.0035373509599594,15,.0011985788733
22.5,32,.0025424630293855,21,.0017646244668867,11,.0007778385624988
22.6,54,.0040302165762114,39,.0029015821455687,15,.0011286344306427
22.7,17,.0012451422808226,9,.0006216389883775,8,.0006235032924451
22.8,42,.0029531148829847,35,.0024184845096897,7,.0005346303732949
22.9,69,.00498481951945,45,.0032263812390738,24,.0017584382803761
23,57,.0043929606945312,35,.002750126641331,22,.0016428340532002
23.1,58,.0046237546957855,38,.0030102608616289,20,.0016134938341565
23.2,74,.0055360702899634,53,.0039448812858609,21,.0015911890041025
23.3,22,.0016992683595163,13,.0009838967671385,9,.0007153715923778
23.4,54,.0040285585891979,45,.0033685358466755,9,.0006600227425224
23.5,48,.0037283952406142,35,.0027140052479808,13,.0010143899926334
23.6,29,.0021231030550553,14,.0009905236875056,15,.0011325793675496
23.7,30,.0023761891425238,25,.0019897152087651,5,.0003864739337587
23.8,33,.002408572283457,24,.0017639337456785,9,.0006446385377785
23.9,61,.005074097054603,43,.0036338684367365,18,.0014402286178665
24,73,.0055458935130446,46,.0034996012509509,27,.0020462922620936
24.1,63,.0046559375405195,44,.0032797730746097,19,.0013761644659098
24.2,21,.001507539240265,11,.0007684850897931,10,.0007390541504719
24.3,25,.0019143553035974,20,.0015272624259524,5,.000387092877645
24.4,81,.0063214557740139,50,.0039052992033248,31,.0024161565706891
24.5,43,.0032828228722792,26,.0019299169434817,17,.0013529059287976
24.6,41,.0033536053888383,31,.0025187641876983,10,.0008348412011401
24.7,64,.0051142226620868,51,.0040712198351684,13,.0010430028269184
24.8,40,.0029145115186111,29,.0021048244889244,11,.0008096870296868
24.9,34,.0026973035564879,29,.0023007443887764,5,.0003965591677115
25,47,.0036040349332325,34,.00267873059056,13,.0009253043426725
25.1,34,.0025840172638709,22,.0017040244856616,12,.0008799927782093
25.2,20,.0013099675015837,13,.000856054470205,7,.0004539130313788
25.3,58,.0041518782236381,39,.0027864421208506,19,.0013654361027875
25.4,31,.0025394117838005,19,.0015441130162799,12,.0009952987675206
25.5,36,.0027172492991667,25,.0018817798263626,11,.0008354694728041
25.6,50,.0038362578670785,31,.0023337655802607,19,.0015024922868179
25.7,28,.0019670851179399,19,.0013052375834377,9,.0006618475345022
25.8,50,.003679011373606,37,.0026512693148106,13,.0010277420587954
25.9,77,.0058189694100292,50,.0037930931976007,27,.0020258762124286
26,21,.0014777479991608,16,.0011316520358378,5,.000346095963323
26.1,20,.0014647179814347,14,.0010466879393789,6,.0004180300420558
26.2,42,.0031204782062559,27,.0019983187885373,15,.0011221594177186
26.3,23,.0015104275153135,12,.0008021319772524,11,.0007082955380611
26.4,32,.0024439389671898,22,.0017133236397058,10,.000730615327484
26.5,53,.0039280329037865,36,.0026854784482566,17,.0012425544555299
26.6,19,.001533064598334,14,.0011619038268691,5,.0003711607714649
26.7,49,.003910671450285,38,.002996315353812,11,.0009143560964731
26.8,22,.0017393746529706,14,.0011116228306491,8,.0006277518223214
26.9,47,.0037400878136395,28,.0022073035070207,19,.0015327843066189
27,72,.0052284518933448,45,.003268867276347,27,.0019595846169977
27.1,4,.0003110682955594,3,.0002443684352329,1,.0000666998603265
27.2,42,.0035619872796815,27,.0023116143638617,15,.0012503729158198
27.3,61,.0048537002476223,37,.0029831746323907,24,.0018705256152316
27.4,19,.0014750281261513,14,.0010840941868082,5,.0003909339393431
27.5,38,.0029724118794547,24,.0018763799525914,14,.0010960319268634
27.6,48,.0033929545679712,32,.0023106340777304,16,.0010823204902408
27.7,54,.0039222263694683,44,.0032580252336629,10,.0006642011358053
27.8,30,.0022601210257562,19,.0014743410429219,11,.0007857799828344
27.9,47,.003349575901666,33,.0023738384370517,14,.0009757374646142
28,47,.0037758056932944,30,.0024348077786271,17,.0013409979146672
28.1,15,.0011556187600945,8,.0006612114157178,7,.0004944073443767
28.2,45,.0035882401243725,35,.0028070971929992,10,.0007811429313733
28.3,33,.0025749113774509,21,.0016515643364983,12,.0009233470409526
28.4,9,.0006249032339838,6,.0003816583448497,3,.0002432448891341
28.5,45,.0035573795175878,36,.0028708052486763,9,.0006865742689115
28.6,58,.0044746824969479,47,.0036099712851865,11,.0008647112117615
28.7,30,.00238801236992,17,.0013380461605266,13,.0010499662093935
28.8,13,.0008562581133447,9,.0005910168401897,4,.000265241273155
28.9,5,.0003904612894985,1,.0000757568195695,4,.000314704469929
29,59,.0042415640418767,37,.0026647030936147,22,.001576860948262
29.1,41,.0031989185845305,28,.0021749920451839,13,.0010239265393466
29.2,84,.0062221416446846,61,.0044377685153449,23,.0017843731293397
29.3,32,.0020918151712976,25,.0016346301381418,7,.0004571850331558
29.4,28,.0022255498115555,17,.0012921488305437,11,.0009334009810118
29.5,42,.0030969797335274,33,.0024420360605291,9,.0006549436729983
29.6,39,.0030793512923992,29,.0023145609593485,10,.0007647903330508
29.7,30,.0024567243563069,21,.0017362005019095,9,.0007205238543975
29.8,22,.001497990990174,12,.0008377831691178,10,.0006602078210562
29.9,18,.0014013750187587,13,.0010109138966072,5,.0003904611221515
30,88,.0065918511645577,63,.0047579454803781,25,.0018339056841796
30.1,59,.0043684592819773,32,.0023409083478327,27,.0020275509341445
30.2,43,.0029183213810029,33,.002233515628177,10,.0006848057528259
30.3,33,.0025075195044337,20,.0015090461529326,13,.0009984733515012
30.4,14,.001145847607404,10,.0008086073430604,4,.0003372402643436
30.5,46,.0034551460812509,25,.0019083311199211,21,.0015468149613298
30.6,26,.0019387378852116,16,.0011662907490972,10,.0007724471361144
30.7,53,.0042113034978684,31,.0024488282833772,22,.0017624752144911
30.8,36,.0029588328761747,22,.0017962367273867,14,.001162596148788
30.9,37,.0027507238046383,18,.0013291344730533,19,.001421589331585
31,51,.0037066391305416,37,.0026955750618072,14,.0010110640687344
31.1,24,.0016111235090648,17,.0011401487063267,7,.0004709748027381
31.2,45,.0034062688609993,35,.0026565477928671,10,.0007497210681322
31.3,71,.0053606385590683,46,.0035362176968192,25,.0018244208622491
31.4,58,.0040698442862777,33,.0022840772398922,25,.0017857670463854
31.5,48,.0037509337234951,30,.0023360153609246,18,.0014149183625705
31.6,46,.0037278322815837,29,.0023285863426281,17,.0013992459389556
31.7,12,.000892734475201,11,.0008223378099501,1,.0000703966652509
31.8,45,.0034580591091071,29,.0022406675489037,16,.0012173915602034
31.9,6,.0005065716904937,3,.0002475163055351,3,.0002590553849586
32,24,.0017366411666444,18,.0013092008921376,6,.0004274402745068
32.1,32,.0022976583786658,14,.0009420337883057,18,.0013556245903601
32.2,19,.0014306215998658,16,.0012085357120668,3,.000222085887799
32.3,40,.0030626353618572,30,.0022780819708714,10,.0007845533909858
32.4,9,.0006842820730526,7,.0005235615972197,2,.0001607204758329
32.5,56,.0045189337834017,36,.0028949612606084,20,.0016239725227933
32.6,49,.0035940631350968,36,.0025837823050097,13,.0010102808300871
32.7,28,.0021894230667385,15,.0012184333318146,13,.0009709897349239
32.8,2,.0001893505905173,2,.0001893505905173,0,0
32.9,54,.0042530111750239,31,.0023851165024098,23,.0018678946726141
33,14,.0008957710706454,12,.0007736424086033,2,.0001221286620421
33.1,18,.0014412911623367,15,.0012327051372267,3,.00020858602511
33.2,11,.0007393586201943,9,.0006108107263572,2,.0001285478938371
33.3,25,.0018830316330423,15,.0011649005391519,10,.0007181310938904
33.4,24,.001602436430403,18,.0011960301635554,6,.0004064062668476
33.5,24,.0016755385477154,16,.0011528722752701,8,.0005226662724453
33.6,48,.0039308342311415,29,.0023598315383424,19,.0015710026927991
33.7,25,.0019272569188615,19,.0015037112461869,6,.0004235456726747
33.8,33,.0021017670624133,20,.0012654031488637,13,.0008363639135496
33.9,23,.0016980808504741,14,.0010197301307926,9,.0006783507196815
34,21,.0014812979170529,15,.0010685197012208,6,.0004127782158321
34.1,21,.0014548010367434,15,.001024408142257,6,.0004303928944864
34.2,19,.0014424595865421,8,.0005948527323199,11,.0008476068542222
34.3,15,.0011115615816379,10,.0007507054360758,5,.0003608561455621
34.4,25,.0019113120579277,22,.0016797111093183,3,.0002316009486094
34.5,21,.0017420941803721,11,.0008887274016161,10,.000853366778756
34.6,13,.0009376115376654,11,.0007884896513133,2,.0001491218863521
34.7,42,.0035148867682437,29,.0024401678529102,13,.0010747189153335
34.8,20,.0016425233625341,14,.0011210982265766,6,.0005214251359575
34.9,15,.001258850490558,12,.0009859488636721,3,.0002729016268859
35,53,.0040232997343992,28,.0020666846539825,25,.0019566150804167
35.1,19,.0014527606908814,16,.0012061236702721,3,.0002466370206093
35.2,17,.0012234526438988,12,.000898996629985,5,.0003244560139137
35.3,23,.0016787934109743,18,.0012878617162642,5,.0003909316947102
35.4,13,.001044999811711,11,.0008800955074548,2,.0001649043042562
35.5,20,.0014647518837592,17,.0012609133846126,3,.0002038384991465
35.6,22,.0013967359736853,14,.0008846188029565,8,.0005121171707287
35.7,7,.0005364076278056,7,.0005364076278056,0,0
35.8,3,.0002362786399317,1,.0000768666650401,2,.0001594119748916
35.9,19,.0015678387426306,10,.0008135408279486,9,.000754297914682
36,3,.000226734970056,3,.000226734970056,0,0
36.1,30,.0024364804812649,23,.0018632645624166,7,.0005732159188483
36.2,8,.0004948818095727,7,.0004340398627392,1,.0000608419468335
36.3,6,.000479815309518,4,.000313193166221,2,.000166622143297
36.4,7,.0004718283889815,6,.0004052596705151,1,.0000665687184664
36.5,9,.0007723515955149,5,.0004475736495806,4,.0003247779459343
36.6,2,.0001651068378123,2,.0001651068378123,0,0
36.8,27,.0021063899694127,18,.0014030926467967,9,.000703297322616
37,7,.0005876089053345,7,.0005876089053345,0,0
37.1,3,.0002061331833829,2,.000124466860143,1,.0000816663232399
37.2,2,.0001689189448371,2,.0001689189448371,0,0
37.3,1,.0000799504996394,0,0,1,.0000799504996394
37.4,3,.0002579075735412,3,.0002579075735412,0,0
37.5,11,.0008660712301207,6,.0004846550873481,5,.0003814161427727
37.6,8,.000650544418022,6,.0004864224538323,2,.0001641219641897
37.8,2,.0001646178134251,2,.0001646178134251,0,0
37.9,2,.0001494027092122,2,.0001494027092122,0,0
38,5,.0003178258339176,5,.0003178258339176,0,0
38.2,7,.0005849669250892,6,.0005020131939091,1,.0000829537311802
38.3,6,.0004839748289669,3,.0002293971847394,3,.0002545776442275
38.4,3,.0001900364804897,2,.000127534076455,1,.0000625024040346
38.5,2,.0001216686869157,0,0,2,.0001216686869157
38.7,4,.0003096363871009,0,0,4,.0003096363871009
38.8,7,.0005622860117001,4,.000324408239976,3,.000237877771724
38.9,9,.0006164574442664,5,.0003181166284776,4,.0002983408157888
39,4,.00033525202889,1,.0000787222088547,3,.0002565298200352
39.1,7,.0005838080323883,5,.0004183114870102,2,.0001654965453781
39.3,2,.0001636803135625,1,.0000821421344881,1,.0000815381790744
39.5,6,.0004683822044171,5,.0003892335735145,1,.0000791486309026
39.7,1,.0000619791753707,1,.0000619791753707,0,0
39.8,1,.0000665687184664,0,0,1,.0000665687184664
39.9,1,.0000542958623555,1,.0000542958623555,0,0
40.8,4,.0002430575405015,4,.0002430575405015,0,0
41.1,3,.0001824376886361,1,.0000594254670432,2,.0001230122215929
41.2,1,.0000728940867702,0,0,1,.0000728940867702
41.4,4,.0002524742376409,3,.0001904950622702,1,.0000619791753707
41.5,4,.0002567707124399,3,.0001894991000881,1,.0000672716123518
41.8,5,.0003193065931555,4,.0002574244572315,1,.000061882135924
42.1,1,.0000687123538228,1,.0000687123538228,0,0
