temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
-2.7,6,.001149164076196,6,.001149164076196,0,0
-1.8,2,.0003794863150688,2,.0003794863150688,0,0
-1.4,5,.0009353548812214,3,.0005770780699095,2,.000358276811312
-.5,4,.0009612469002604,4,.0009612469002604,0,0
0,11,.0017980747797992,11,.0017980747797992,0,0
.1,4,.0008169585780706,4,.0008169585780706,0,0
.2,4,.0007667028839933,4,.0007667028839933,0,0
.4,3,.000559240419534,0,0,3,.000559240419534
.6,4,.0009551370167173,4,.0009551370167173,0,0
.7,1,.0001751508534653,1,.0001751508534653,0,0
.8,4,.000821836409159,4,.000821836409159,0,0
.9,4,.0007684335432714,4,.0007684335432714,0,0
1.2,2,.0004084260726813,2,.0004084260726813,0,0
1.3,2,.0004688934423029,2,.0004688934423029,0,0
1.4,2,.0003193822776666,2,.0003193822776666,0,0
1.5,2,.0003410598292248,2,.0003410598292248,0,0
1.6,4,.0007255219679791,2,.0003726803261088,2,.0003528416418703
1.7,3,.0007334449910559,2,.0004839458561037,1,.0002494991349522
1.8,4,.0007460311171599,4,.0007460311171599,0,0
2,5,.0009765333379619,5,.0009765333379619,0,0
2.1,2,.0003931984101655,2,.0003931984101655,0,0
2.2,4,.0007387692457996,4,.0007387692457996,0,0
2.3,6,.0009980335307773,6,.0009980335307773,0,0
2.4,7,.0013651235203724,5,.0010068467090605,2,.000358276811312
2.5,2,.0003597726899898,2,.0003597726899898,0,0
2.7,6,.0010627129959175,6,.0010627129959175,0,0
2.9,5,.0009043052705238,5,.0009043052705238,0,0
3,9,.0016067743708845,9,.0016067743708845,0,0
3.1,16,.0029059932130622,16,.0029059932130622,0,0
3.2,8,.0016840250318637,8,.0016840250318637,0,0
3.3,7,.001387894488289,7,.001387894488289,0,0
3.4,7,.0015406300371978,7,.0015406300371978,0,0
3.5,2,.0003025444311788,2,.0003025444311788,0,0
3.6,18,.0032952196197584,18,.0032952196197584,0,0
3.7,4,.0007737280684523,4,.0007737280684523,0,0
3.8,2,.0003733864577953,2,.0003733864577953,0,0
3.9,12,.0026440786314197,12,.0026440786314197,0,0
4,11,.0020331443520263,10,.0018476401310181,1,.0001855042210082
4.1,13,.0025825583870756,13,.0025825583870756,0,0
4.2,9,.0016432900010841,9,.0016432900010841,0,0
4.3,8,.0014800939970883,8,.0014800939970883,0,0
4.4,7,.0013581353414338,7,.0013581353414338,0,0
4.5,10,.002153382578399,10,.002153382578399,0,0
4.6,10,.0023301033361349,9,.0020612043736037,1,.0002688989625312
4.7,17,.0029766108782496,17,.0029766108782496,0,0
4.8,4,.000866790956934,4,.000866790956934,0,0
4.9,17,.0032839776831679,16,.0030695161694894,1,.0002144615136785
5,5,.0010230838233838,4,.0008104135922622,1,.0002126702311216
5.1,17,.0035605020384537,17,.0035605020384537,0,0
5.2,8,.0014813934394624,8,.0014813934394624,0,0
5.3,12,.0021579595922958,12,.0021579595922958,0,0
5.4,17,.0034199816873297,17,.0034199816873297,0,0
5.5,22,.0042333243909525,19,.0036572240642272,3,.0005761003267253
5.6,14,.0027195317961741,11,.0021335887577152,3,.0005859430384589
5.7,18,.0034175230102846,18,.0034175230102846,0,0
5.8,5,.0011499624088174,5,.0011499624088174,0,0
5.9,10,.001846857208875,9,.0016885876830202,1,.0001582695258548
6,8,.001394620820065,8,.001394620820065,0,0
6.1,36,.0064135968859773,34,.006060755244107,2,.0003528416418703
6.2,30,.0053778336296091,30,.0053778336296091,0,0
6.3,21,.004419621109264,21,.004419621109264,0,0
6.4,23,.004575973507599,21,.0040830851212377,2,.0004928883863613
6.5,13,.0023843658273108,13,.0023843658273108,0,0
6.6,7,.0013531603617594,7,.0013531603617594,0,0
6.7,8,.0014873543696012,7,.0013200169487391,1,.0001673374208622
6.8,18,.0032810598131618,18,.0032810598131618,0,0
6.9,16,.0030074639507802,14,.0026458692882443,2,.0003615946625359
7,11,.0020149364718236,11,.0020149364718236,0,0
7.1,11,.0020698946755147,11,.0020698946755147,0,0
7.2,9,.0015337915392593,9,.0015337915392593,0,0
7.3,10,.0017957411182579,8,.0014242243778426,2,.0003715167404152
7.4,19,.0034979080519406,19,.0034979080519406,0,0
7.5,9,.0020500972896116,9,.0020500972896116,0,0
7.6,33,.0058308495645178,33,.0058308495645178,0,0
7.7,49,.0088039113761624,49,.0088039113761624,0,0
7.8,32,.0056712140940363,32,.0056712140940363,0,0
7.9,23,.003931108280085,23,.003931108280085,0,0
8,13,.0024322117242264,11,.002023785651545,2,.0004084260726813
8.1,31,.0059292770820321,31,.0059292770820321,0,0
8.199999999999999,15,.0029080885724397,14,.0027375354402466,1,.0001705531321932
8.300000000000001,31,.0053431680862559,30,.0051520801207516,1,.0001910879655043
8.4,17,.0028626274288399,17,.0028626274288399,0,0
8.5,18,.003295054033515,16,.0029367772222031,2,.000358276811312
8.6,28,.0050644818256842,27,.0048939751286525,1,.0001705066970317
8.699999999999999,22,.0038946700369706,20,.0035236615949543,2,.0003710084420163
8.800000000000001,32,.0058864131715382,27,.0050213920185342,5,.0008650211530039
8.9,16,.0031759000848979,16,.0031759000848979,0,0
9,30,.0056851536937756,28,.0053314746037358,2,.0003536790900398
9.1,10,.0018620863120304,8,.0014825999969617,2,.0003794863150688
9.199999999999999,41,.0077067723177606,41,.0077067723177606,0,0
9.300000000000001,18,.0032768710952951,17,.0031063643982634,1,.0001705066970317
9.4,17,.0032428423583042,17,.0032428423583042,0,0
9.5,26,.004619649000233,25,.0044355730788084,1,.0001840759214247
9.6,27,.0046793676301604,26,.0044298684952082,1,.0002494991349522
9.699999999999999,23,.0044647851100308,21,.0041031904474949,2,.0003615946625359
9.800000000000001,34,.0060620036965702,34,.0060620036965702,0,0
9.9,13,.0023983020219021,11,.0020258277509129,2,.0003724742709892
10,26,.0045656149377464,26,.0045656149377464,0,0
10.1,37,.0066775247832993,34,.0059930222923867,3,.0006845024909126
10.2,23,.0042607862415025,22,.0040902331093093,1,.0001705531321932
10.3,26,.0053349483787315,26,.0053349483787315,0,0
10.4,14,.0027404538996052,13,.002490954764653,1,.0002494991349522
10.5,47,.008833907530061,47,.008833907530061,0,0
10.6,16,.0029826716345269,16,.0029826716345269,0,0
10.7,32,.0059514575623325,30,.0056226349042845,2,.000328822658048
10.8,40,.0072107036539819,36,.0064747006690595,4,.0007360029849224
10.9,30,.0054580866562901,26,.0047532719909213,4,.0007048146653688
11,25,.0048403512046207,22,.0042806246201508,3,.0005597265844699
11.1,54,.010051297780592,48,.0088444185967091,6,.0012068791838828
11.2,14,.0027462279249448,12,.0023546652228106,2,.0003915627021343
11.3,33,.0061978864396224,32,.0060029214218957,1,.0001949650177266
11.4,24,.0046991193521535,23,.0045408498262987,1,.0001582695258548
11.5,50,.0096763020555954,44,.008530872684787,6,.0011454293708084
