temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_ag,adj_sample_wgt_ag,no_wgt_nonag,adj_sample_wgt_nonag
-2.7,6,.001149164076196,4,.0007270568894455,2,.0004221071867505,0,0
-1.8,2,.0003794863150688,2,.0003794863150688,0,0,0,0
-1.4,5,.0009353548812214,5,.0009353548812214,0,0,0,0
-.5,4,.0009612469002604,2,.000462248630356,2,.0004989982699044,0,0
0,11,.0017980747797992,10,.0016398052539444,1,.0001582695258548,0,0
.1,4,.0008169585780706,1,.0001705066970317,3,.000646451881039,0,0
.2,4,.0007667028839933,4,.0007667028839933,0,0,0,0
.4,3,.000559240419534,3,.000559240419534,0,0,0,0
.6,4,.0009551370167173,4,.0009551370167173,0,0,0,0
.7,1,.0001751508534653,1,.0001751508534653,0,0,0,0
.8,4,.000821836409159,4,.000821836409159,0,0,0,0
.9,4,.0007684335432714,4,.0007684335432714,0,0,0,0
1.2,2,.0004084260726813,1,.0002074624644592,1,.0002009636082221,0,0
1.3,2,.0004688934423029,2,.0004688934423029,0,0,0,0
1.4,2,.0003193822776666,2,.0003193822776666,0,0,0,0
1.5,2,.0003410598292248,2,.0003410598292248,0,0,0,0
1.6,4,.0007255219679791,3,.000558184547117,1,.0001673374208622,0,0
1.7,3,.0007334449910559,2,.0004989982699044,1,.0002344467211515,0,0
1.8,4,.0007460311171599,3,.0005459336825879,1,.0002000974345719,0,0
2,5,.0009765333379619,4,.0007893108268036,1,.0001872225111583,0,0
2.1,2,.0003931984101655,1,.000178736896487,1,.0002144615136785,0,0
2.2,4,.0007387692457996,1,.0001957120402949,3,.0005430572055047,0,0
2.3,6,.0009980335307773,4,.0006586751260329,2,.0003393584047444,0,0
2.4,7,.0013651235203724,5,.0009991830738727,2,.0003659404464997,0,0
2.5,2,.0003597726899898,1,.0001742684689816,1,.0001855042210082,0,0
2.7,6,.0010627129959175,5,.0008772087749094,1,.0001855042210082,0,0
2.9,5,.0009043052705238,3,.0005315785383573,2,.0003727267321665,0,0
3,9,.0016067743708845,6,.0010584308620309,3,.0005483435088536,0,0
3.1,16,.0029059932130622,13,.0023094926727936,3,.0005965005402686,0,0
3.2,8,.0016840250318637,5,.0010507860715734,3,.0006332389602903,0,0
3.3,7,.001387894488289,5,.0010430728871142,2,.0003448216011748,0,0
3.4,7,.0015406300371978,5,.0010766693885671,2,.0004639606486307,0,0
3.5,2,.0003025444311788,0,0,2,.0003025444311788,0,0
3.6,18,.0032952196197584,12,.0021099575096741,6,.0011852621100843,0,0
3.7,4,.0007737280684523,3,.000586505557294,1,.0001872225111583,0,0
3.8,2,.0003733864577953,2,.0003733864577953,0,0,0,0
3.9,12,.0026440786314197,10,.0021511902450584,2,.0004928883863613,0,0
4,11,.0020331443520263,5,.000954645787715,6,.0010784985643113,0,0
4.1,13,.0025825583870756,7,.001255415729247,6,.0013271426578285,0,0
4.2,9,.0016432900010841,5,.0008598365966463,4,.0007834534044378,0,0
4.3,8,.0014800939970883,4,.000768335085013,4,.0007117589120753,0,0
4.4,7,.0013581353414338,4,.0007338622235693,3,.0006242731178645,0,0
4.5,10,.002153382578399,9,.0019951130525442,1,.0001582695258548,0,0
4.6,10,.0023301033361349,7,.0015390924090752,3,.0007910109270597,0,0
4.7,17,.0029766108782496,14,.0024364776036236,3,.000540133274626,0,0
4.8,4,.000866790956934,3,.0006812867359258,1,.0001855042210082,0,0
4.9,17,.0032839776831679,11,.0021686324325856,6,.0011153452505823,0,0
5,5,.0010230838233838,4,.0008248482190538,1,.00019823560433,0,0
5.1,17,.0035605020384537,13,.0026935979549307,4,.000866904083523,0,0
5.2,8,.0014813934394624,7,.0013140560186002,1,.0001673374208622,0,0
5.3,12,.0021579595922958,9,.001623234784347,3,.0005347248079488,0,0
5.4,17,.0034199816873297,11,.0021801715483889,6,.0012398101389408,0,0
5.5,22,.0042333243909525,18,.0035392172576394,4,.0006941071333131,0,0
5.6,14,.0027195317961741,11,.0021365847933339,3,.0005829470028402,0,0
5.7,18,.0034175230102846,15,.0026998483372154,3,.0007176746730693,0,0
5.8,5,.0011499624088174,3,.0005430274031824,2,.000606935005635,0,0
5.9,10,.001846857208875,8,.0014340001071105,2,.0004128571017645,0,0
6,8,.001394620820065,6,.0010194569331361,2,.0003751638869289,0,0
6.1,36,.0064135968859773,26,.0045830985909561,10,.0018304982950212,0,0
6.2,30,.0053778336296091,18,.0031525545637123,12,.0022252790658968,0,0
6.3,21,.004419621109264,16,.0032555643556407,5,.0011640567536233,0,0
6.4,23,.004575973507599,16,.0032855925819604,7,.0012903809256386,0,0
6.5,13,.0023843658273108,10,.0018287583661731,3,.0005556074611377,0,0
6.6,7,.0013531603617594,6,.0011840095248772,1,.0001691508368822,0,0
6.7,8,.0014873543696012,8,.0014873543696012,0,0,0,0
6.8,18,.0032810598131618,15,.0027367450893507,3,.0005443147238111,0,0
6.9,16,.0030074639507802,13,.0023988033062778,3,.0006086606445024,0,0
7,11,.0020149364718236,7,.0011797026381828,4,.0008352338336408,0,0
7.1,11,.0020698946755147,9,.0017026927962434,2,.0003672018792713,0,0
7.2,9,.0015337915392593,6,.0010134456533706,3,.0005203458858887,0,0
7.3,10,.0017957411182579,6,.0010911382269114,4,.0007046028913464,0,0
7.4,19,.0034979080519406,13,.0024425685842289,6,.0010553394677117,0,0
7.5,9,.0020500972896116,6,.0012599790934473,3,.0007901181961643,0,0
7.6,33,.0058308495645178,23,.0040955582808238,10,.0017352912836941,0,0
7.7,49,.0088039113761624,40,.0072077270597219,9,.0015961843164405,0,0
7.8,32,.0056712140940363,26,.0045842275285395,6,.0010869865654968,0,0
7.9,23,.003931108280085,18,.0030666030215798,5,.0008645052585052,0,0
8,13,.0024322117242264,11,.0019986366678495,2,.0004335750563769,0,0
8.1,31,.0059292770820321,22,.0041620136253187,9,.0017672634567134,0,0
8.199999999999999,15,.0029080885724397,12,.0023593618680025,3,.0005487267044373,0,0
8.300000000000001,31,.0053431680862559,23,.003934641048545,8,.0014085270377109,0,0
8.4,17,.0028626274288399,16,.0026785515074152,1,.0001840759214247,0,0
8.5,18,.003295054033515,15,.0027563152689254,3,.0005387387645897,0,0
8.6,28,.0050644818256842,24,.0043524226930458,4,.0007120591326384,0,0
8.699999999999999,22,.0038946700369706,17,.0030238615581766,5,.0008708084787941,0,0
8.800000000000001,32,.0058864131715382,27,.0049585202214075,5,.0009278929501306,0,0
8.9,16,.0031759000848979,13,.0025338004925288,3,.000642099592369,0,0
9,30,.0056851536937756,24,.0042646820802474,6,.0014204716135282,0,0
9.1,10,.0018620863120304,6,.0010807385115186,4,.0007813478005119,0,0
9.199999999999999,41,.0077067723177606,24,.0045677976013394,17,.0031389747164212,0,0
9.300000000000001,18,.0032768710952951,13,.0022971510770731,5,.000979720018222,0,0
9.4,17,.0032428423583042,8,.0016104397946037,9,.0016324025637005,0,0
9.5,26,.004619649000233,16,.0028228690789547,10,.0017967799212784,0,0
9.6,27,.0046793676301604,18,.0031042368937051,9,.0015751307364553,0,0
9.699999999999999,23,.0044647851100308,16,.0030999011942185,7,.0013648839158122,0,0
9.800000000000001,34,.0060620036965702,29,.005103147806949,5,.0009588558896212,0,0
9.9,13,.0023983020219021,10,.0018579894240247,3,.0005403125978773,0,0
10,26,.0045656149377464,17,.0029527901788242,9,.0016128247589222,0,0
10.1,37,.0066775247832993,31,.0054919446411077,6,.0011855801421916,0,0
10.2,23,.0042607862415025,19,.0035458923812257,4,.0007148938602768,0,0
10.3,26,.0053349483787315,18,.0038090975576779,8,.0015258508210536,0,0
10.4,14,.0027404538996052,11,.0021667635592166,3,.0005736903403886,0,0
10.5,47,.008833907530061,33,.0061865013849456,14,.0026474061451154,0,0
10.6,16,.0029826716345269,12,.0022442767512985,4,.0007383948832285,0,0
10.7,32,.0059514575623325,22,.0041218661717721,10,.0018295913905604,0,0
10.8,40,.0072107036539819,31,.0055154577858048,9,.0016952458681772,0,0
10.9,30,.0054580866562901,21,.0037887794023845,9,.0016693072539056,0,0
11,25,.0048403512046207,20,.0036928683839506,5,.0011474828206701,0,0
11.1,54,.010051297780592,43,.0079649149993202,11,.0020863827812718,0,0
11.2,14,.0027462279249448,8,.0016311717772624,6,.0011150561476825,0,0
11.3,33,.0061978864396224,23,.0043822058360092,10,.0018156806036131,0,0
11.4,24,.0046991193521535,19,.0037066428194521,5,.0009924765327014,0,0
11.5,50,.0096763020555954,41,.0077842768951086,9,.0018920251604868,0,0
11.6,45,.0082055068414775,39,.0070476752516697,6,.0011578315898078,0,0
11.7,25,.0047469565324718,22,.0041759941959754,3,.0005709623364965,0,0
11.8,29,.0057131992653012,21,.0040497152367607,8,.0016634840285406,0,0
11.9,36,.0065893212013179,30,.0055038992431946,6,.0010854219581233,0,0
12,35,.0064694683678681,26,.0047720253205625,9,.0016974430473056,0,0
12.1,38,.0068129541177768,30,.0053154145862209,8,.001497539531556,0,0
12.2,45,.0082054333906854,30,.00527708575828,15,.0029283476324053,0,0
12.3,21,.0039693514845567,15,.0027583986811806,6,.0012109528033761,0,0
12.4,21,.0040574086160632,16,.0031284904835047,5,.0009289181325585,0,0
12.5,25,.0043928083250648,16,.0027541154049686,9,.0016386929200962,0,0
12.6,36,.0068312824005261,24,.0044631608907366,12,.0023681215097895,0,0
12.7,15,.0028380481526256,12,.002042258012807,3,.0007957901398186,0,0
12.8,34,.0062661501578987,27,.0047612404887332,7,.0015049096691655,0,0
12.9,21,.0040186338301282,12,.0023956904478837,9,.0016229433822446,0,0
13,18,.0034577790647745,11,.0019363196770428,7,.0015214593877317,0,0
13.1,20,.0036210269172443,17,.0030639985052403,3,.000557028412004,0,0
13.2,26,.0049112531414721,20,.0036619448510464,6,.0012493082904257,0,0
13.3,19,.003298029594589,13,.00224170673755,6,.001056322857039,0,0
