temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
.5,11,.0004311133925512,7,.0002695712428249,4,.0001615421497263
.7,9,.0003239226571168,6,.0002278826032125,3,.0000960400539043
.8,8,.0003858736308757,5,.0002142471785191,3,.0001716264523566
.9,7,.0002460052528477,4,.0001470950664952,3,.0000989101863524
1.1,1,.0000461912568426,1,.0000461912568426,0,0
1.3,3,.0000803530710982,2,.0000569327021367,1,.0000234203689615
1.5,24,.0008281798000098,21,.0007432987149514,3,.0000848810850584
1.7,3,.0001390568468196,3,.0001390568468196,0,0
1.8,8,.0003415129467612,6,.0002628071033541,2,.0000787058434071
1.9,7,.0001996907176363,6,.0001723669538478,1,.0000273237637884
2,6,.00027601174952,5,.0001819120225264,1,.0000940997269936
2.2,16,.0008675325479999,14,.000802735787147,2,.0000647967608529
2.3,59,.0024554806386732,52,.0021749890947831,7,.0002804915438901
2.4,33,.0014974841615185,25,.0012396798938425,8,.000257804267676
2.6,2,.0002431655066175,2,.0002431655066175,0,0
2.7,15,.0009432496372028,13,.0008943121283664,2,.0000489375088364
2.8,10,.0015055365056469,7,.0009319364635303,3,.0005736000421166
2.9,4,.0007526441695518,3,.0005207224239712,1,.0002319217455806
3,3,.0005662740586558,3,.0005662740586558,0,0
3.1,35,.0021117928899912,28,.0016571119558648,7,.0004546809341264
3.2,58,.0027899801098101,53,.0025622243665566,5,.0002277557432535
3.3,18,.0017456568857597,12,.0009732935322972,6,.0007723633534624
3.4,27,.0022373074443749,22,.001750613522745,5,.0004866939216299
3.5,33,.0017227331227332,27,.0014628359458584,6,.0002598971768748
3.6,26,.0014212555870472,20,.0011381341773813,6,.0002831214096659
3.7,20,.002364589166973,20,.002364589166973,0,0
3.8,7,.0004387354292703,6,.0004030539148516,1,.0000356815144187
3.9,21,.0007348259223363,15,.000531681762368,6,.0002031441599684
4,25,.0021657635024894,18,.0011720797392627,7,.0009936837632267
4.1,17,.0025266824777646,17,.0025266824777646,0,0
4.2,36,.0039185242567328,28,.0032700421324989,8,.0006484821242339
4.3,21,.0013985439854878,17,.0012361784265522,4,.0001623655589356
4.4,39,.0032437294757983,35,.0027070829783042,4,.0005366464974941
4.5,57,.0038871099168318,49,.0032557712493144,8,.0006313386675174
4.6,24,.0028006781249132,24,.0028006781249132,0,0
4.7,46,.0032555088655499,39,.0027195675484109,7,.0005359413171391
4.8,9,.0014435679404414,8,.0013326890184544,1,.000110878921987
4.9,51,.0051384968464845,40,.0038348658890754,11,.001303630957409
5,40,.0042136997981288,37,.004003457903309,3,.0002102418948198
5.1,74,.0039748299186613,64,.0031109871506487,10,.0008638427680125
5.2,57,.0050324268268014,43,.0032946062074188,14,.0017378206193825
5.3,54,.0076853171194671,42,.0055381273723469,12,.0021471897471201
5.4,43,.005261021618935,38,.004618182512786,5,.000642839106149
5.5,35,.0033645207477093,27,.0026588458404149,8,.0007056749072945
5.6,52,.0059548551125772,43,.0043589897668426,9,.0015958653457346
5.7,122,.0098780639182223,101,.0079238984035328,21,.0019541655146895
5.8,57,.0053851085558563,44,.0043404627358541,13,.0010446458200022
5.9,42,.006980630561884,36,.0062695863744011,6,.0007110441874829
6,27,.0041008390617208,26,.0039848781889305,1,.0001159608727903
6.1,43,.0067633884827956,36,.0057995685274363,7,.0009638199553592
