temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_ag,adj_sample_wgt_ag,no_wgt_nonag,adj_sample_wgt_nonag
.5,11,.0004311133925512,7,.0002695712428249,2,.000089742741693,2,.0000717994080333
.7,9,.0003239226571168,6,.0002278826032125,1,.000025613589969,2,.0000704264639353
.8,8,.0003858736308757,5,.0002142471785191,1,.0000453007414762,2,.0001263257108803
.9,7,.0002460052528477,4,.0001470950664952,1,.0000258861364273,2,.0000730240499252
1.1,1,.0000461912568426,1,.0000461912568426,0,0,0,0
1.3,3,.0000803530710982,2,.0000569327021367,1,.0000234203689615,0,0
1.5,24,.0008281798000098,21,.0007432987149514,0,0,3,.0000848810850584
1.7,3,.0001390568468196,3,.0001390568468196,0,0,0,0
1.8,8,.0003415129467612,6,.0002628071033541,1,.0000242169280682,1,.0000544889153389
1.9,7,.0001996907176363,6,.0001723669538478,0,0,1,.0000273237637884
2,6,.00027601174952,5,.0001819120225264,0,0,1,.0000940997269936
2.2,16,.0008675325479999,14,.000802735787147,0,0,2,.0000647967608529
2.3,59,.0024554806386732,52,.0021749890947831,1,.0000841157816467,6,.0001963757622434
2.4,33,.0014974841615185,25,.0012396798938425,1,.0000448237806268,7,.0002129804870492
2.6,2,.0002431655066175,2,.0002431655066175,0,0,0,0
2.7,15,.0009432496372028,13,.0008943121283664,0,0,2,.0000489375088364
2.8,10,.0015055365056469,7,.0009319364635303,0,0,3,.0005736000421166
2.9,4,.0007526441695518,3,.0005207224239712,0,0,1,.0002319217455806
3,3,.0005662740586558,3,.0005662740586558,0,0,0,0
3.1,35,.0021117928899912,28,.0016571119558648,1,.0000257947704085,6,.0004288861637178
3.2,58,.0027899801098101,53,.0025622243665566,1,.0000823476948426,4,.0001454080484109
3.3,18,.0017456568857597,12,.0009732935322972,1,.0000339036996593,5,.0007384596538031
3.4,27,.0022373074443749,22,.001750613522745,0,0,5,.0004866939216299
3.5,33,.0017227331227332,27,.0014628359458584,1,.000051206407079,5,.0002086907697958
3.6,26,.0014212555870472,20,.0011381341773813,0,0,6,.0002831214096659
3.7,20,.002364589166973,20,.002364589166973,0,0,0,0
3.8,7,.0004387354292703,6,.0004030539148516,0,0,1,.0000356815144187
3.9,21,.0007348259223363,15,.000531681762368,2,.0000582626871619,4,.0001448814728064
4,25,.0021657635024894,18,.0011720797392627,0,0,7,.0009936837632267
4.1,17,.0025266824777646,17,.0025266824777646,0,0,0,0
4.2,36,.0039185242567328,28,.0032700421324989,2,.0000774810323492,6,.0005710010918847
4.3,21,.0013985439854878,17,.0012361784265522,0,0,4,.0001623655589356
4.4,39,.0032437294757983,35,.0027070829783042,1,.0002226448850706,3,.0003140016124235
4.5,57,.0038871099168318,49,.0032557712493144,2,.0000775328044256,6,.0005538058630918
4.6,24,.0028006781249132,24,.0028006781249132,0,0,0,0
4.7,46,.0032555088655499,39,.0027195675484109,0,0,7,.0005359413171391
4.8,9,.0014435679404414,8,.0013326890184544,0,0,1,.000110878921987
4.9,51,.0051384968464845,40,.0038348658890754,0,0,11,.001303630957409
5,40,.0042136997981288,37,.004003457903309,0,0,3,.0002102418948198
5.1,74,.0039748299186613,64,.0031109871506487,1,.0002657848235685,9,.000598057944444
5.2,57,.0050324268268014,43,.0032946062074188,1,.0000559922082175,13,.001681828411165
5.3,54,.0076853171194671,42,.0055381273723469,1,.0002319217455806,11,.0019152680015395
5.4,43,.005261021618935,38,.004618182512786,0,0,5,.000642839106149
5.5,35,.0033645207477093,27,.0026588458404149,0,0,8,.0007056749072945
5.6,52,.0059548551125772,43,.0043589897668426,1,.000221757843974,8,.0013741075017606
5.7,122,.0098780639182223,101,.0079238984035328,1,.0000362405917258,20,.0019179249229637
5.8,57,.0053851085558563,44,.0043404627358541,1,.0000240694407694,12,.0010205763792328
5.9,42,.006980630561884,36,.0062695863744011,0,0,6,.0007110441874829
6,27,.0041008390617208,26,.0039848781889305,0,0,1,.0001159608727903
6.1,43,.0067633884827956,36,.0057995685274363,0,0,7,.0009638199553592
6.2,113,.0097692704785004,89,.0081151793583558,2,.000062405517383,22,.0015916856027616
6.3,91,.0109430416650866,73,.0080156814583461,0,0,18,.0029273602067406
6.4,87,.007226148247355,74,.0062648798611917,2,.0000730128995201,11,.0008882554866432
6.5,87,.0097137947996089,79,.0087816624400148,0,0,8,.0009321323595941
6.6,59,.0036989079726482,45,.0027470586028358,0,0,14,.0009518493698124
6.7,53,.0061475227266783,47,.0053091993395356,0,0,6,.0008383233871427
6.8,70,.0047630093977205,58,.003730032231033,0,0,12,.0010329771666875
6.9,133,.0089771971324808,103,.0065012513696274,3,.0000763600401115,27,.0023995857227419
7,60,.0038879263738636,48,.0030039721223147,2,.0000492061190016,10,.0008347481325472
7.1,29,.0037198275713308,24,.0033197069005837,0,0,5,.0004001206707471
7.2,37,.0067218883432361,32,.0057848453161569,0,0,5,.0009370430270792
7.3,58,.005075929359009,51,.0042925687448587,0,0,7,.0007833606141503
7.4,125,.0089242643862235,101,.0062995766220411,2,.0000644474021101,22,.0025602403620724
7.5,40,.0039293355275731,30,.0032502693120477,0,0,10,.0006790662155254
7.6,124,.0090597229536797,102,.0068405347919906,1,.0000925031126826,21,.0021266850490065
7.7,50,.0063326315939776,39,.004600327283697,0,0,11,.0017323043102806
7.8,166,.0123391596280271,130,.0104813780144468,5,.0001300768308283,31,.001727704782752
7.9,48,.0064843820982787,41,.0054797415687062,2,.0000489375088364,5,.0009557030207361
8,86,.0050218678043166,69,.0041180720327247,3,.0000832511013868,14,.000820544670205
8.1,105,.0075430642045831,88,.0058907112506859,2,.0000483852109028,15,.0016039677429944
8.199999999999999,104,.0095541676782886,85,.0073462251384626,4,.0001804800649552,15,.0020274624748708
8.300000000000001,214,.0133939943443693,156,.0101559476242983,5,.0003373626386747,53,.0029006840813963
8.4,69,.0071041722931113,59,.0061904874019092,3,.000075169828051,7,.0008385150631511
8.5,42,.0050449154186936,32,.004035175046738,0,0,10,.0010097403719556
8.6,62,.0060516205903696,51,.0052087949406996,3,.0000756638037274,8,.0007671618459426
8.699999999999999,79,.0070959788663458,62,.0054951068213995,2,.0000498305180372,15,.0015510415269091
8.800000000000001,55,.0042244580345141,48,.0037096184696566,0,0,7,.0005148395648575
8.9,46,.0051850560903404,40,.0048041106729215,0,0,6,.0003809454174188
9,101,.0100588743280241,80,.0077174680736789,0,0,21,.0023414062543452
9.1,43,.0048490391109226,37,.0039936912562553,0,0,6,.0008553478546673
9.199999999999999,101,.010068876290461,81,.0078133449969755,1,.0002199030277552,19,.0020356282657303
9.300000000000001,90,.0077431210411305,72,.0064637608320481,2,.0002585780603113,16,.0010207821487711
9.4,134,.0084500259836204,116,.00666546193861,2,.0000684700316924,16,.0017160940133181
9.5,50,.0043096415720356,44,.0035072587852483,1,.0000327758898493,5,.0007696068969381
9.6,62,.0116117114193912,55,.0099727515553241,0,0,7,.0016389598640671
9.699999999999999,26,.0033666252711555,22,.0030279812199296,0,0,4,.0003386440512259
9.800000000000001,57,.0064966975278367,44,.0050582216790644,0,0,13,.0014384758487722
9.9,33,.0025929429284588,28,.0019414048383624,0,0,5,.0006515380900964
10,60,.0078059022162051,50,.0061010969184281,0,0,10,.0017048052977771
10.1,52,.0062043106536294,42,.0051531526569306,1,.0002755505847745,9,.0007756074119243
10.2,52,.0082281390496064,40,.006049423100194,0,0,12,.0021787159494124
10.3,52,.0052436195001064,41,.0044357208844303,0,0,11,.0008078986156761
10.4,27,.0053896676035947,18,.0033206818006875,1,.000270289630862,8,.0017986961720453
10.5,39,.0075346281755628,31,.0062712890467083,0,0,8,.0012633391288546
10.6,32,.0039567854728375,25,.0034913562431029,1,.0000265388935077,6,.0004388903362269
10.7,48,.0034205942374683,42,.0029882640919823,0,0,6,.000432330145486
10.8,36,.0037418568408611,28,.0033762195271265,0,0,8,.0003656373137346
10.9,69,.0070412732002296,62,.0063384893528564,1,.0002319217455806,6,.0004708621017926
11,40,.004463216440854,33,.0036579068528226,0,0,7,.0008053095880314
11.1,60,.0075839526216441,49,.005742267036112,0,0,11,.0018416855855321
11.2,29,.0053619731206709,23,.0045486863600672,1,.0002496019005775,5,.0005636848600261
11.3,9,.0020944659045199,7,.0016500631754752,0,0,2,.0004444027290447
11.4,58,.0057255351621279,51,.0048385598365712,1,.0000339036996593,6,.0008530716258974
11.5,16,.0018255731592944,14,.0015071336820256,0,0,2,.0003184394772688
11.6,27,.0057170303334715,21,.0044505947153084,0,0,6,.0012664356181631
11.7,26,.0020492971252679,25,.001998137913688,0,0,1,.0000511592115799
11.8,21,.0036842399276793,18,.003039018731215,0,0,3,.0006452211964643
11.9,3,.0005328552106221,2,.0002625655797601,0,0,1,.000270289630862
12,21,.003539116736647,18,.0030125569282973,0,0,3,.0005265598083497
12.1,18,.0026243643587804,15,.0019127589112031,0,0,3,.0007116054475773
12.2,22,.0038416710576712,18,.0029086654813,0,0,4,.0009330055763712
12.3,7,.001321416169958,4,.0007187413175416,0,0,3,.0006026748524164
12.4,23,.0046679419829161,19,.0039774915421731,1,.0001106796844397,3,.0005797707563033
12.5,20,.003744952242414,15,.0028215430756973,0,0,5,.0009234091667167
12.6,23,.0034689261228777,20,.0027921136206714,0,0,3,.0006768125022063
12.7,5,.0010425284999656,4,.000776743676397,0,0,1,.0002657848235685
12.8,14,.0018750751914922,12,.001706266990368,0,0,2,.0001688082011242
12.9,23,.0047797988154343,22,.0045280026606633,0,0,1,.000251796154771
13,37,.0075526452237682,28,.0055882700798975,0,0,9,.0019643751438707
13.1,8,.0013473335238814,7,.0012991836774745,0,0,1,.0000481498464069
13.2,17,.0027691332397808,13,.0019644168241939,0,0,4,.0008047164155869
13.3,11,.0018064599898935,9,.0013333044662431,1,.000251796154771,1,.0002213593688793
13.4,14,.0029344068825594,13,.0026641172516975,0,0,1,.000270289630862
13.5,8,.0013638260825246,8,.0013638260825246,0,0,0,0
13.6,19,.0028140569447714,17,.0024271839174617,0,0,2,.0003868730273098
13.7,19,.0026137352506339,17,.0023769582512614,0,0,2,.0002367769993725
13.8,20,.003462183260126,16,.0028331150570011,0,0,4,.0006290682031249
13.9,11,.0017820397188189,10,.0017293511009484,0,0,1,.0000526886178704
14,11,.0016472633324156,5,.0007339084877458,1,.0000526886178704,5,.0008606662267994
14.1,22,.0047767867799848,17,.0035704258043552,1,.000219905123231,4,.0009864558523986
14.2,17,.0033429808572691,13,.0023743174424453,0,0,4,.0009686634148238
14.3,24,.0039002716439427,23,.0036457968308241,0,0,1,.0002544748131186
14.4,33,.0065522626900929,29,.0060318660580378,0,0,4,.0005203966320551
14.5,21,.0032075936251204,14,.0019491208004183,0,0,7,.001258472824702
14.6,6,.0010792275497806,5,.0008373342207051,0,0,1,.0002418933290755
14.7,39,.0062830461574777,28,.0045736831270915,0,0,11,.0017093630303862
14.8,48,.0075188042246737,39,.0063332694517158,0,0,9,.0011855347729579
14.9,13,.0017042073159246,10,.0011198147840332,0,0,3,.0005843925318914
15,17,.0035647934091685,12,.00232363259056,0,0,5,.0012411608186085
15.1,23,.0038617214959231,19,.0033753682837414,1,.0000604733322689,3,.0004258798799128
15.2,16,.0020215178774379,13,.0015182164715952,1,.0002199030277552,2,.0002833983780874
15.3,12,.0021791565959575,11,.0019472348503768,0,0,1,.0002319217455806
15.4,17,.002865812231903,15,.0025633423465479,0,0,2,.0003024698853551
15.5,20,.004041507767397,19,.0037757229438284,0,0,1,.0002657848235685
15.6,23,.0036350784575916,22,.0035237560150563,0,0,1,.0001113224425353
15.7,35,.0062354831243283,24,.0040603245652164,0,0,11,.0021751585591119
15.8,32,.0052432432057685,22,.0039526906584797,0,0,10,.0012905525472888
15.9,27,.0036748128259205,22,.0025949799382943,1,.0001258980773855,4,.0009539348102408
16,19,.0034766520038829,17,.0030260403800639,0,0,2,.000450611623819
16.1,36,.0062662741947861,31,.0052548161911545,1,.0002274742582813,4,.0007839837453503
16.2,29,.0051896880941058,18,.0028660337229667,0,0,11,.0023236543711391
16.3,20,.0028646602877416,11,.0016446079498564,1,.0000481498464069,8,.0011719024914782
16.4,30,.003805997523159,25,.0032844559609657,2,.000162961830938,3,.0003585797312553
16.5,41,.0059394972049631,39,.0055803380528232,0,0,2,.0003591591521399
16.6,41,.0064851712741074,37,.0059459267395141,1,.0001113224425353,3,.000427922092058
16.7,48,.008069128038187,39,.0060944905671931,1,.0000511592115799,8,.001923478259414
16.8,23,.0030971488704381,18,.0023186220932985,0,0,5,.0007785267771396
16.9,28,.0025703434002935,20,.002088377437758,1,.0000526886178704,7,.000429277344665
17,17,.0025888742275129,16,.002534385312174,0,0,1,.0000544889153389
17.1,22,.0035632715917018,17,.0030452641221927,1,.0000511592115799,4,.0004668482579291
17.2,18,.0028409023143467,18,.0028409023143467,0,0,0,0
17.3,43,.0077143827511463,34,.0061128718079999,0,0,9,.0016015109431464
17.4,38,.0071047151068342,30,.0053601880827046,2,.0005022113764426,6,.0012423156476871
17.5,28,.0050489416025812,17,.0033204943756573,2,.0002369075373281,9,.0014915396895958
17.6,38,.0049412558946642,36,.0046608668817498,1,.0000481498464069,1,.0002322391665075
17.7,62,.0094277769312612,45,.0068401967982936,2,.000294581946946,15,.0022929981860216
17.8,37,.0063365231144417,30,.0048163315404963,0,0,7,.0015201915739453
17.9,9,.00132061108161,8,.001068814926839,0,0,1,.000251796154771
18,22,.0041656564062578,17,.0030358253206941,0,0,5,.0011298310855636
18.1,52,.0079264948362834,42,.0065674258075887,0,0,10,.0013590690286946
18.2,50,.0099338278851064,43,.0082572232022358,0,0,7,.0016766046828707
18.3,27,.0036965973922634,23,.0033286829857389,1,.0002146954939235,3,.000153218912601
18.4,39,.005021709112043,34,.004371093793452,1,.0001258980773855,4,.0005247172412055
18.5,44,.0085035125557624,33,.0060616420123552,0,0,11,.0024418705434073
18.6,21,.0034311045565119,15,.0025319110318378,0,0,6,.000899193524674
18.7,38,.005865068789717,31,.004763480676047,1,.0002755505847745,6,.0008260375288955
18.8,32,.0056048988626571,28,.004874363221461,1,.0002319217455806,3,.0004986138956156
18.9,51,.0095395179341722,41,.0075116090702068,1,.0001159608727903,9,.0019119479911751
19,47,.0081958299415419,39,.0065608636687102,0,0,8,.0016349662728317
19.1,29,.0050785936109605,25,.0042505613273534,0,0,4,.0008280322836072
19.2,40,.0065712914474716,34,.0057713407441042,0,0,6,.0007999507033674
19.3,68,.0115458098152885,59,.009760230408574,2,.000492047474836,7,.0012935319318785
19.4,12,.001769773545675,9,.0012552176158351,0,0,3,.0005145559298398
19.5,65,.011293577736069,52,.0091766560035467,3,.0004231180391798,10,.0016938036933425
19.6,36,.006891849621752,30,.0055275709928537,0,0,6,.0013642786288983
19.7,39,.0068919238365197,37,.0065684208311723,0,0,2,.0003235030053474
19.8,28,.0044349001072987,24,.0037408867428894,0,0,4,.0006940133644093
19.9,32,.0057714578942978,24,.0042095346543647,0,0,8,.0015619232399331
20,26,.0047209932272381,20,.0038649611160508,0,0,6,.0008560321111872
20.1,25,.0041753164950933,22,.0037303147473722,0,0,3,.0004450017477211
20.2,39,.0051579161190602,35,.0047263983396988,0,0,4,.0004315177793615
20.3,38,.0068477969689411,26,.00435973229105,1,.0002322391665075,11,.0022558255113836
20.4,37,.0056934669446491,32,.0047170970174193,0,0,5,.0009763699272298
20.5,25,.0041777067526709,22,.0035907371639041,0,0,3,.0005869695887668
20.6,38,.0077442759429687,28,.0053640164478566,0,0,10,.0023802594951121
20.7,22,.0041471587610431,19,.0036917014440405,0,0,3,.0004554573170026
20.8,36,.006222915413673,30,.0053116724157007,0,0,6,.0009112429979723
20.9,31,.0057808749261312,27,.0049320254474878,0,0,4,.0008488494786434
21,8,.001710238873784,7,.0015773464619997,0,0,1,.0001328924117843
21.1,15,.0019780824732152,11,.0016361314301321,0,0,4,.0003419510430831
21.2,17,.0022432377045334,13,.001543486090668,1,.0002941945858765,3,.0004055570279888
21.3,38,.0053252647485351,30,.0045417890651152,2,.0003251206653658,6,.0004583550180541
21.4,28,.0055928864167072,24,.0046933928242652,0,0,4,.000899493592442
21.5,18,.0030551623021893,14,.002079847134155,1,.0002226448850706,3,.0007526702829637
21.6,31,.0059102233390149,22,.0041040211908694,0,0,9,.0018062021481455
21.7,17,.0026383423719381,14,.0021538303844864,1,.0002100655256072,2,.0002744464618445
21.8,24,.0032188113800657,20,.0025453240596107,0,0,4,.000673487320455
21.9,22,.0043418557179393,18,.0035984400019515,0,0,4,.0007434157159878
22,4,.0005885888967896,3,.000330704744556,0,0,1,.0002578841522336
22.1,12,.0021945602093183,10,.0018394417456875,0,0,2,.0003551184636308
22.2,7,.0013483519724105,7,.0013483519724105,0,0,0,0
22.3,32,.0054957543725322,29,.0051449798665999,0,0,3,.0003507745059323
22.4,17,.0027058861523983,14,.0021851246601727,0,0,3,.0005207614922256
22.5,23,.0041933949105442,18,.0033033267427527,0,0,5,.0008900681677915
22.6,13,.0016289538834826,11,.0014529937216139,0,0,2,.0001759601618687
22.7,38,.0072916270728456,35,.0068519416709023,0,0,3,.0004396854019433
22.8,15,.0023489852210332,12,.0018475205251889,0,0,3,.0005014646958443
22.9,7,.00041476021579,6,.0003602713004511,0,0,1,.0000544889153389
23,8,.0009601143065083,7,.0009074256886379,0,0,1,.0000526886178704
23.1,7,.001031862138916,7,.001031862138916,0,0,0,0
23.2,4,.0005311737731972,2,.0001607380872883,0,0,2,.0003704356859089
23.3,8,.001282684992475,5,.0006587756579393,1,.0002755505847745,2,.0003483587497612
23.4,1,.0002322391665075,1,.0002322391665075,0,0,0,0
23.5,10,.0012242138800502,9,.0009724177252792,0,0,1,.000251796154771
23.6,3,.0002082829305436,3,.0002082829305436,0,0,0,0
23.7,5,.001007930659398,3,.000626762106549,1,.000270289630862,1,.000110878921987
23.8,8,.0016769396315794,7,.001430395670468,0,0,1,.0002465439611115
23.9,5,.0010954148565361,3,.0005540794481931,0,0,2,.000541335408343
24,17,.0019223626550229,14,.001537236115837,0,0,3,.0003851265391859
24.1,2,.0003067148718401,2,.0003067148718401,0,0,0,0
24.2,9,.0018433762743371,8,.0016423665510956,0,0,1,.0002010097232414
24.3,4,.0007829326641513,2,.0004535985353868,0,0,2,.0003293341287645
24.4,2,.0004858542524744,1,.0002155646216124,0,0,1,.000270289630862
24.5,1,.0000481498464069,0,0,0,0,1,.0000481498464069
24.7,3,.0005349770508474,2,.0004236546083121,0,0,1,.0001113224425353
24.9,4,.0001935457621585,3,.0001453959157516,0,0,1,.0000481498464069
25.1,1,.0000442718701379,1,.0000442718701379,0,0,0,0
26.2,1,.0002226448850706,0,0,0,0,1,.0002226448850706
26.8,3,.0001921429538925,3,.0001921429538925,0,0,0,0
