temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
12.4,1,4.06570234190e-06,0,0,1,4.06570234190e-06
15.6,1,5.78036770094e-06,0,0,1,5.78036770094e-06
16.6,5,.0000228262661039,0,0,5,.0000228262661039
17.3,23,.0004517304440697,13,.0002597033539473,10,.0001920270901223
18,19,.0003493948652249,10,.0001572871678945,9,.0001921076973304
18.1,9,.0000671864381161,0,0,9,.0000671864381161
18.2,18,.0001982113722079,4,.0000667333729325,14,.0001314779992754
18.4,3,.0000344232391853,1,.0000165765741258,2,.0000178466650596
18.5,27,.0002053985684825,0,0,27,.0002053985684825
18.6,40,.0003921097559783,7,.0000496758111694,33,.0003424339448088
18.7,7,.0000550220293007,2,.0000238276652453,5,.0000311943640554
18.8,14,.0001218411407535,2,.0000244154252869,12,.0000974257154667
18.9,20,.0001845150918598,6,.000043880683279,14,.0001406344085808
19,19,.000171045856348,7,.0001073124385584,12,.0000637334177895
19.1,16,.0003668309909699,2,.0000167704038176,14,.0003500605871523
19.2,21,.0003815074596787,11,.0001688578029189,10,.0002126496567598
19.3,4,.0000572594949517,2,.0000206133740903,2,.0000366461208614
19.4,3,.0000226154679694,2,.0000104183618532,1,.0000121971061162
19.5,17,.0002997730616698,2,.0000506727883476,15,.0002491002733223
19.6,11,.0001005331469059,1,4.59636430605e-06,10,.0000959367825999
19.7,51,.0002746436563257,5,.000049920281981,46,.0002247233743446
19.8,40,.0005892344531162,3,.0000470917034363,37,.0005421427496799
19.9,3,.0000915433483897,2,.0000833910853544,1,8.15226303530e-06
20,5,.0000621713033979,3,.0000382853031624,2,.0000238860002355
20.3,12,.0001621668897087,8,.0000763136690125,4,.0000858532206962
20.4,1,.0000303213000734,0,0,1,.0000303213000734
20.5,28,.0003182142869491,11,.0001227286119274,17,.0001954856750217
20.6,20,.00025909473095,0,0,20,.00025909473095
20.7,15,.0002570644502384,3,.0000703100439523,12,.0001867544062861
20.8,7,.0000781959156484,3,.0000389158403777,4,.0000392800752707
21,31,.0003149954104629,3,.0000752434207243,28,.0002397519897386
21.1,6,.0002682136764633,1,.0000328054447891,5,.0002354082316742
21.2,11,.0000973682643917,3,.0000318858878927,8,.0000654823764989
21.3,33,.0004728553039968,5,.000057877036852,28,.0004149782671448
21.4,13,.0002573174861027,1,.0000170481071109,12,.0002402693789918
21.5,16,.0001737887976105,2,5.62914169677e-06,14,.0001681596559138
21.6,11,.0002222459515906,1,.0000319969003613,10,.0001902490512293
21.7,11,.0003127233921987,1,.0000588642978983,10,.0002538590943004
21.9,17,.0002743399754763,1,7.58483247409e-06,16,.0002667551430022
22,52,.0006910143374625,9,.000104572777218,43,.0005864415602446
22.1,27,.0004047953707413,3,.0000173442858795,24,.0003874510848618
22.2,19,.0002059886214738,6,.0000339804319083,13,.0001720081895655
22.3,67,.0008465705709568,21,.0001257193493984,46,.0007208512215584
22.4,38,.0004039047016704,10,.0001029612560615,28,.0003009434456089
22.5,44,.0004089539261258,5,.0000251352900023,39,.0003838186361236
22.6,39,.0004572849949795,3,.0000459408433926,36,.0004113441515869
22.7,36,.0004603096022038,13,.0001322419147982,23,.0003280676874056
22.8,54,.0009806585771912,7,.0001364336512779,47,.0008442249259133
22.9,50,.0008856147356937,8,.0002231065531078,42,.000662508182586
23,36,.0004442002423275,13,.0001264489944788,23,.0003177512478487
23.1,55,.0011950118573623,3,.0000668090306135,52,.0011282028267487
23.2,18,.00043119874681,2,.0000691230379744,16,.0003620757088356
23.3,56,.0007196052521294,8,.0000707587731767,48,.0006488464789527
23.4,32,.000648742717658,9,.0001649064734011,23,.000483836244257
23.5,41,.0005259911210942,8,.000122102491332,33,.0004038886297622
23.6,66,.0008379294574752,8,.0001254310650438,58,.0007124983924314
23.7,125,.0013621376178889,22,.0002218489030383,103,.0011402887148506
23.8,74,.0009174763225701,10,.0000434655082699,64,.0008740108143002
23.9,64,.001545903189708,7,.0001899549956761,57,.001355948194032
24,92,.0012196002330143,17,.000222971677772,75,.0009966285552423
24.1,56,.0008748449026257,12,.00023012230929,44,.0006447225933357
24.2,92,.0012637331412861,20,.0001989429424611,72,.001064790198825
24.3,120,.0022641451545553,23,.0003005022322498,97,.0019636429223056
24.4,107,.0011243640876728,35,.0003231664103396,72,.0008011976773332
24.5,100,.0015809134897609,23,.0003016877403752,77,.0012792257493857
24.6,121,.0016106569925114,29,.0003493037421549,92,.0012613532503565
24.7,134,.0014987689322652,27,.0003968752231458,107,.0011018937091194
24.8,178,.0024460325093969,68,.0008075756277321,110,.0016384568816648
24.9,52,.0006695637312077,13,.0001514495274932,39,.0005181142037145
25,58,.0011988452449714,10,.0002243266210371,48,.0009745186239343
25.1,80,.0011587592410365,25,.0002358622528504,55,.000922896988186
25.2,66,.0014245352454623,17,.0002355399167868,49,.0011889953286754
25.3,115,.0019618473357923,19,.0003392146090846,96,.0016226327267077
25.4,149,.0027364982415747,42,.0006415184511752,107,.0020949797903995
25.5,127,.001990185838423,40,.0004189138969366,87,.0015712719414864
25.6,88,.0018052401010209,30,.0006352938091823,58,.0011699462918386
25.7,173,.0032097595736786,54,.0008586151382701,119,.0023511444354085
25.8,85,.0015243637981825,23,.0003235764179408,62,.0012007873802418
25.9,53,.0010246629958601,25,.0004195601331958,28,.0006051028626644
26,70,.0010934506454987,3,.0000650392161106,67,.0010284114293881
26.1,129,.002023958079576,34,.0004667557822131,95,.0015572022973629
26.2,97,.0018384252259693,15,.0003783959570001,82,.0014600292689693
26.3,104,.0020728105091621,41,.0006223106893231,63,.001450499819839
26.4,267,.0046049017136625,60,.0008799979949004,207,.0037249037187621
26.5,134,.0025634634799303,25,.0003457218542735,109,.0022177416256568
26.6,89,.0010998549166175,20,.0001866380027877,69,.0009132169138297
26.7,154,.0026098506060066,41,.0005939183143937,113,.0020159322916129
26.8,173,.0029797802817484,42,.0005586789195888,131,.0024211013621596
26.9,156,.0026514874771237,22,.0002091524518875,134,.0024423350252363
27,106,.0019949219125692,20,.000364317236631,86,.0016306046759382
27.1,162,.0035812995860738,32,.0005467131999808,130,.003034586386093
27.2,168,.0025648515093337,45,.0006608940410615,123,.0019039574682722
27.3,137,.002054691349997,34,.000447897286449,103,.001606794063548
27.4,145,.0030235794406792,45,.0004780466769603,100,.0025455327637189
27.5,169,.0030935728171926,59,.000901177392393,110,.0021923954247995
27.6,306,.006448871102009,87,.0016588205479025,219,.0047900505541065
27.7,191,.0039912646630853,34,.0007604611375882,157,.0032308035254971
27.8,236,.0047801771356717,39,.0006316062996348,197,.0041485708360369
27.9,228,.0038897725453921,62,.0009337035368731,166,.0029560690085191
28,349,.0056482033077714,102,.0009948503570172,247,.0046533529507542
28.1,328,.0059396727291841,116,.0019702223731173,212,.0039694503560668
28.2,329,.0060799750533533,79,.0013375647770317,250,.0047424102763216
28.3,267,.0053453728234558,64,.0014877657621923,203,.0038576070612635
28.4,202,.0030719404779802,48,.0007787644806854,154,.0022931759972948
28.5,265,.0036715342934031,74,.0008351379544251,191,.0028363963389779
28.6,275,.0062165033267547,49,.0016145539831314,226,.0046019493436233
28.7,202,.0037255927611852,63,.0010874829668666,139,.0026381097943187
28.8,165,.0032084295489341,31,.0006183255087535,134,.0025901040401806
28.9,187,.0058217253230168,38,.001006279278954,149,.0048154460440628
29,303,.0057474913629108,55,.0007672045267668,248,.0049802868361439
29.1,408,.0083892305738686,111,.0022087803289992,297,.0061804502448695
29.2,315,.0056925373519192,61,.0010465708708125,254,.0046459664811067
29.3,281,.0049988430884795,73,.0009099075356716,208,.004088935552808
29.4,279,.0059427507694636,64,.0018915401068398,215,.0040512106626238
29.5,250,.0057878774438223,53,.0014372964242284,197,.0043505810195938
29.6,472,.0078880965465373,139,.0017764478287177,333,.0061116487178197
29.7,299,.0050641564658918,49,.0008194034853659,250,.0042447529805258
29.8,416,.0067712207264918,71,.0011286745800589,345,.0056425461464329
29.9,340,.005949507762125,82,.0013277685925459,258,.0046217391695791
30,435,.0098577719081163,101,.0023733284658647,334,.0074844434422516
30.1,407,.0084280915004342,82,.0013147781359066,325,.0071133133645276
30.2,450,.0087781768704502,74,.0012596373824181,376,.0075185394880322
30.3,393,.0093300613335714,73,.0012130114396314,320,.00811704989394
30.4,469,.0089060330432744,112,.001829427828568,357,.0070766052147064
30.5,570,.0119154824031966,152,.0031823548051193,418,.0087331275980773
30.6,489,.0116390071805768,98,.0018245660819503,391,.0098144410986265
30.7,439,.0118832135169669,89,.0020476290246734,350,.0098355844922935
30.8,550,.0116973862615737,159,.0036612829699152,391,.0080361032916585
30.9,566,.0108128653219808,131,.0016758422587486,435,.0091370230632322
31,443,.0101037238337653,100,.0021803485192322,343,.0079233753145331
31.1,437,.0085599518718595,105,.0017596969014448,332,.0068002549704147
31.2,529,.0095075427354345,122,.0021374357835953,407,.0073701069518393
31.3,539,.010653803440448,113,.0019946804493998,426,.0086591229910482
31.4,816,.0171280227496595,218,.0039673762553321,598,.0131606464943275
31.5,605,.0125097488568144,161,.0032682680941321,444,.0092414807626824
31.6,551,.0105412264093161,130,.0023626175420191,421,.008178608867297
31.7,713,.0145749346705202,159,.0039031590399077,554,.0106717756306125
31.8,506,.0120245333388311,164,.0032503783654647,342,.0087741549733664
31.9,408,.0083064844473029,118,.0018444699391011,290,.0064620145082017
32,432,.0087228032373048,73,.0013311647171577,359,.0073916385201471
32.1,844,.01619110462957,193,.0027197446199807,651,.0134713600095893
32.2,461,.0108641412359134,101,.0020967936722514,360,.008767347563662
32.3,526,.011217429233227,172,.003101662162976,354,.008115767070251
32.4,512,.0107981926367984,104,.0024059999267365,408,.0083921927100619
32.5,509,.0110289321157779,119,.0024504887858825,390,.0085784433298954
32.6,447,.0107298381850995,122,.0030653990791478,325,.0076644391059517
32.7,302,.0055490029871805,70,.0009373847685481,232,.0046116182186324
32.8,321,.0073336430434949,73,.0012951722163734,248,.0060384708271215
32.9,479,.0113266409847483,121,.0028231511074637,358,.0085034898772847
33,524,.012156215836967,108,.0028759095999931,416,.009280306236974
33.1,537,.0095201806002763,164,.0026654916480027,373,.0068546889522736
33.2,352,.0084301803545941,77,.0021539437764204,275,.0062762365781737
33.3,487,.0108714832472288,133,.0023024291328966,354,.0085690541143322
33.4,383,.0086758939700076,98,.0014966894468671,285,.0071792045231405
33.5,434,.009051572443127,77,.0014273021134841,357,.007624270329643
33.6,607,.0144643032629119,146,.0036846288230663,461,.0107796744398456
33.7,334,.0073195708280878,84,.001456959800862,250,.0058626110272257
33.8,304,.0069636161003643,66,.0016176045862437,238,.0053460115141206
33.9,352,.0066281768091585,106,.0016710440207817,246,.0049571327883768
34,455,.0088284165647678,92,.0012424309459789,363,.007585985618789
34.1,439,.0089892653775223,117,.0025002857519212,322,.0064889796256011
34.2,548,.0119701638391234,106,.0022349305345415,442,.0097352333045819
34.3,267,.0067971660964758,72,.0017451400885875,195,.0050520260078883
34.4,335,.0072309266131896,75,.0012322009092003,260,.0059987257039893
34.5,309,.0071042611316443,87,.0017711270155587,222,.0053331341160856
34.6,265,.0050267133898387,71,.0011141214617396,194,.0039125919280991
34.7,531,.0113942591217437,148,.0023674025195817,383,.0090268566021621
34.8,401,.0086950487158219,93,.001751131841047,308,.0069439168747749
34.9,328,.0074238465404051,93,.002318458856621,235,.0051053876837841
35,536,.0107133578009808,127,.0023655514256831,409,.0083478063752978
35.1,435,.0083258960921739,112,.0016068520140493,323,.0067190440781246
35.2,370,.0091272525710906,75,.001828045576417,295,.0072992069946736
35.3,282,.0065274339468715,60,.0016346471184079,222,.0048927868284636
35.4,217,.0044887095132538,65,.0010836308955504,152,.0034050786177033
35.5,263,.0048230826339477,55,.000827549200153,208,.0039955334337947
35.6,340,.0110247384781132,114,.0049914680495249,226,.0060332704285884
35.7,431,.0082904934069461,104,.0014991945470797,327,.0067912988598664
35.8,220,.0057035718068619,57,.0014653703165095,163,.0042382014903524
35.9,171,.0036413172032326,44,.0007271961001152,127,.0029141211031174
36,182,.0040672687543974,59,.0013180136102164,123,.002749255144181
36.1,296,.006115903424984,81,.0011266425843814,215,.0049892608406026
36.2,219,.0087159202162184,73,.0035325836702214,146,.005183336545997
36.3,247,.0108242581456466,100,.0068408751586162,147,.0039833829870304
36.4,273,.0051400850354639,66,.0010962276235205,207,.0040438574119435
36.5,247,.0051160565494968,49,.0008421715893405,198,.0042738849601562
36.6,98,.0018734884072273,24,.0004074117323398,74,.0014660766748875
36.7,360,.0083075677430315,89,.0017055415057712,271,.0066020262372604
36.8,202,.0042623358344258,48,.0008639170016522,154,.0033984188327736
36.9,214,.0060214985987841,56,.0019497905714161,158,.004071708027368
37,190,.005177784416901,57,.001223999260219,133,.003953785156682
37.1,242,.0062989363239012,67,.0026392197790983,175,.0036597165448029
37.2,277,.0083513069353103,50,.0028743316511282,227,.0054769752841821
37.3,235,.005627084269463,57,.001263101684799,178,.004363982584664
37.4,135,.0031133474940361,36,.000649012632266,99,.0024643348617701
37.5,178,.0057753058347885,42,.0018836652618575,136,.003891640572931
37.6,208,.0054665526440374,49,.00100921263288,159,.0044573400111574
37.7,156,.0035028890930562,41,.00089041565343,115,.0026124734396262
37.8,280,.0063914556823192,46,.0007031956341734,234,.0056882600481458
37.9,125,.0034566615045151,19,.0003244112197081,106,.003132250284807
38,101,.0019115240955898,23,.0002239499249299,78,.0016875741706599
38.1,126,.0022593641637059,34,.000473207783898,92,.0017861563798078
38.2,215,.0041942266208252,57,.0009976309372632,158,.003196595683562
38.3,80,.0012648440985004,19,.0002808437694739,61,.0009840003290265
38.4,101,.0019811506113001,19,.0001912567247473,82,.0017898938865528
38.5,138,.0028763443842763,37,.0005663677795837,101,.0023099766046926
38.6,140,.0032117095616968,33,.0006529303765319,107,.0025587791851649
38.7,83,.0022379832751085,14,.0002954254173346,69,.0019425578577739
38.8,176,.003490390207844,49,.0008149058490687,127,.0026754843587753
38.9,173,.0047119282656638,43,.0010469889410558,130,.003664939324608
39,61,.0012975916529285,13,.0002001210214075,48,.001097470631521
39.1,96,.0024161836948338,20,.0004249860746768,76,.001991197620157
39.2,124,.0030603875638349,22,.0006253862231915,102,.0024350013406433
39.3,176,.0032246405199317,38,.0005649845517155,138,.0026596559682162
39.4,102,.0016919385225265,25,.0004516636313383,77,.0012402748911882
39.5,105,.0012124766011254,32,.000263391829975,73,.0009490847711504
39.6,95,.0013805512512022,17,.0001664514386448,78,.0012140998125574
39.7,122,.0023148817681431,40,.00065805970371,82,.0016568220644331
39.8,74,.0012784167445261,16,.0002833660012129,58,.0009950507433132
39.9,112,.0015925967868498,20,.0001922657281739,92,.0014003310586759
40,134,.002070454054774,24,.000364792481605,110,.001705661573169
40.1,67,.001114218861602,22,.0004443480275995,45,.0006698708340025
40.2,161,.002676079725461,23,.000400723740654,138,.002275355984807
40.3,124,.0020576736169176,29,.0005236467091834,95,.0015340269077342
40.4,77,.0013457730574373,12,.000200442123969,65,.0011453309334684
40.5,149,.0031850273845748,24,.000508369830186,125,.0026766575543888
40.6,159,.0026583223253738,44,.0006012440749146,115,.0020570782504592
40.7,97,.0017693011412803,17,.0002777589625111,80,.0014915421787691
40.8,106,.0017736102599883,23,.000354357670858,83,.0014192525891303
40.9,43,.0008324101860353,15,.0001951978941861,28,.0006372122918492
41,82,.0020537928879776,15,.0002696110285569,67,.0017841818594206
