temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_ag,adj_sample_wgt_ag,no_wgt_nonag,adj_sample_wgt_nonag
12.4,1,4.06570234190e-06,0,0,1,4.06570234190e-06,0,0
15.6,1,5.78036770094e-06,0,0,1,5.78036770094e-06,0,0
16.6,5,.0000228262661039,0,0,5,.0000228262661039,0,0
17.3,23,.0004517304440697,13,.0002597033539473,10,.0001920270901223,0,0
18,19,.0003493948652249,10,.0001572871678945,9,.0001921076973304,0,0
18.1,9,.0000671864381161,0,0,8,.0000503332175299,1,.0000168532205862
18.2,18,.0001982113722079,4,.0000667333729325,14,.0001314779992754,0,0
18.4,3,.0000344232391853,1,.0000165765741258,2,.0000178466650596,0,0
18.5,27,.0002053985684825,0,0,27,.0002053985684825,0,0
18.6,40,.0003921097559783,7,.0000496758111694,30,.000305220307439,3,.0000372136373699
18.7,7,.0000550220293007,2,.0000238276652453,4,.000024414805921,1,6.77955813444e-06
18.8,14,.0001218411407535,2,.0000244154252869,11,.0000942173460317,1,3.20836943501e-06
18.9,20,.0001845150918598,6,.000043880683279,14,.0001406344085808,0,0
19,19,.000171045856348,7,.0001073124385584,12,.0000637334177895,0,0
19.1,16,.0003668309909699,2,.0000167704038176,14,.0003500605871523,0,0
19.2,21,.0003815074596787,11,.0001688578029189,9,.0001984307475595,1,.0000142189092003
19.3,4,.0000572594949517,2,.0000206133740903,2,.0000366461208614,0,0
19.4,3,.0000226154679694,2,.0000104183618532,1,.0000121971061162,0,0
19.5,17,.0002997730616698,2,.0000506727883476,15,.0002491002733223,0,0
19.6,11,.0001005331469059,1,4.59636430605e-06,10,.0000959367825999,0,0
19.7,51,.0002746436563257,5,.000049920281981,41,.0002095185325288,5,.0000152048418158
19.8,40,.0005892344531162,3,.0000470917034363,32,.000484922673877,5,.0000572200758029
19.9,3,.0000915433483897,2,.0000833910853544,1,8.15226303530e-06,0,0
20,5,.0000621713033979,3,.0000382853031624,2,.0000238860002355,0,0
20.3,12,.0001621668897087,8,.0000763136690125,4,.0000858532206962,0,0
20.4,1,.0000303213000734,0,0,1,.0000303213000734,0,0
20.5,28,.0003182142869491,11,.0001227286119274,17,.0001954856750217,0,0
20.6,20,.00025909473095,0,0,19,.0002332391626396,1,.0000258555683104
20.7,15,.0002570644502384,3,.0000703100439523,12,.0001867544062861,0,0
20.8,7,.0000781959156484,3,.0000389158403777,4,.0000392800752707,0,0
21,31,.0003149954104629,3,.0000752434207243,28,.0002397519897386,0,0
21.1,6,.0002682136764633,1,.0000328054447891,5,.0002354082316742,0,0
21.2,11,.0000973682643917,3,.0000318858878927,8,.0000654823764989,0,0
21.3,33,.0004728553039968,5,.000057877036852,27,.0003988314183516,1,.0000161468487931
21.4,13,.0002573174861027,1,.0000170481071109,12,.0002402693789918,0,0
21.5,16,.0001737887976105,2,5.62914169677e-06,14,.0001681596559138,0,0
21.6,11,.0002222459515906,1,.0000319969003613,9,.0001704185015114,1,.0000198305497179
21.7,11,.0003127233921987,1,.0000588642978983,10,.0002538590943004,0,0
21.9,17,.0002743399754763,1,7.58483247409e-06,14,.0002576532738203,2,9.10186918190e-06
22,52,.0006910143374625,9,.000104572777218,37,.0005230929696154,6,.0000633485906292
22.1,27,.0004047953707413,3,.0000173442858795,24,.0003874510848618,0,0
22.2,19,.0002059886214738,6,.0000339804319083,11,.0001436515080968,2,.0000283566814687
22.3,67,.0008465705709568,21,.0001257193493984,41,.0006910839167631,5,.0000297673047953
22.4,38,.0004039047016704,10,.0001029612560615,28,.0003009434456089,0,0
22.5,44,.0004089539261258,5,.0000251352900023,37,.0003673277946064,2,.0000164908415172
22.6,39,.0004572849949795,3,.0000459408433926,36,.0004113441515869,0,0
22.7,36,.0004603096022038,13,.0001322419147982,23,.0003280676874056,0,0
22.8,54,.0009806585771912,7,.0001364336512779,45,.0008162668614204,2,.0000279580644929
22.9,50,.0008856147356937,8,.0002231065531078,39,.000621093525524,3,.000041414657062
23,36,.0004442002423275,13,.0001264489944788,15,.0001566981725318,8,.0001610530753169
23.1,55,.0011950118573623,3,.0000668090306135,52,.0011282028267487,0,0
23.2,18,.00043119874681,2,.0000691230379744,15,.0002956865027954,1,.0000663892060402
23.3,56,.0007196052521294,8,.0000707587731767,48,.0006488464789527,0,0
23.4,32,.000648742717658,9,.0001649064734011,17,.0003811287388089,6,.0001027075054481
23.5,41,.0005259911210942,8,.000122102491332,32,.0003734253848506,1,.0000304632449115
23.6,66,.0008379294574752,8,.0001254310650438,55,.0006040146738542,3,.0001084837185772
23.7,125,.0013621376178889,22,.0002218489030383,99,.0011106873088238,4,.0000296014060268
23.8,74,.0009174763225701,10,.0000434655082699,57,.0008325503733886,7,.0000414604409116
23.9,64,.001545903189708,7,.0001899549956761,52,.0012132123538322,5,.0001427358401997
24,92,.0012196002330143,17,.000222971677772,73,.0009321139887675,2,.0000645145664748
24.1,56,.0008748449026257,12,.00023012230929,42,.0006164558872683,2,.0000282667060674
24.2,92,.0012637331412861,20,.0001989429424611,69,.0010381814142875,3,.0000266087845375
24.3,120,.0022641451545553,23,.0003005022322498,85,.0016416865098563,12,.0003219564124493
24.4,107,.0011243640876728,35,.0003231664103396,61,.0007168439016141,11,.0000843537757191
24.5,100,.0015809134897609,23,.0003016877403752,69,.0011456718539193,8,.0001335538954663
24.6,121,.0016106569925114,29,.0003493037421549,87,.0011948275800933,5,.0000665256702632
24.7,134,.0014987689322652,27,.0003968752231458,97,.0009934725665062,10,.0001084211426132
24.8,178,.0024460325093969,68,.0008075756277321,107,.0015896123304628,3,.0000488445512019
24.9,52,.0006695637312077,13,.0001514495274932,38,.0005173556851332,1,7.58518581279e-07
25,58,.0011988452449714,10,.0002243266210371,36,.0007387694990939,12,.0002357491248404
25.1,80,.0011587592410365,25,.0002358622528504,43,.0007054469649574,12,.0002174500232286
25.2,66,.0014245352454623,17,.0002355399167868,45,.0011347906786341,4,.0000542046500414
25.3,115,.0019618473357923,19,.0003392146090846,92,.0014465842838263,4,.0001760484428814
25.4,149,.0027364982415747,42,.0006415184511752,88,.0018531927457843,19,.0002417870446152
25.5,127,.001990185838423,40,.0004189138969366,81,.001477701219585,6,.0000935707219014
25.6,88,.0018052401010209,30,.0006352938091823,57,.0011188322821454,1,.0000511140096933
25.7,173,.0032097595736786,54,.0008586151382701,96,.0020552499603355,23,.0002958944750731
25.8,85,.0015243637981825,23,.0003235764179408,55,.0011382322205122,7,.0000625551597295
25.9,53,.0010246629958601,25,.0004195601331958,26,.0005586179227066,2,.0000464849399577
26,70,.0010934506454987,3,.0000650392161106,67,.0010284114293881,0,0
26.1,129,.002023958079576,34,.0004667557822131,89,.001429242275151,6,.0001279600222119
26.2,97,.0018384252259693,15,.0003783959570001,80,.0014370230520626,2,.0000230062169067
26.3,104,.0020728105091621,41,.0006223106893231,62,.0014276231740951,1,.000022876645744
26.4,267,.0046049017136625,60,.0008799979949004,196,.0034331450343643,11,.0002917586843978
26.5,134,.0025634634799303,25,.0003457218542735,103,.0021119683158872,6,.0001057733097696
26.6,89,.0010998549166175,20,.0001866380027877,65,.0008809749230636,4,.0000322419907661
26.7,154,.0026098506060066,41,.0005939183143937,106,.0019097162652884,7,.0001062160263245
26.8,173,.0029797802817484,42,.0005586789195888,123,.0022334753075768,8,.0001876260545828
26.9,156,.0026514874771237,22,.0002091524518875,125,.0022038513690603,9,.000238483656176
27,106,.0019949219125692,20,.000364317236631,78,.0014950065217363,8,.0001355981542019
27.1,162,.0035812995860738,32,.0005467131999808,126,.0029733458632109,4,.0000612405228821
27.2,168,.0025648515093337,45,.0006608940410615,111,.0018464687043718,12,.0000574887639004
27.3,137,.002054691349997,34,.000447897286449,87,.0012376273298287,16,.0003691667337193
27.4,145,.0030235794406792,45,.0004780466769603,87,.0020694804094035,13,.0004760523543155
27.5,169,.0030935728171926,59,.000901177392393,97,.0019307036727696,13,.0002616917520299
27.6,306,.006448871102009,87,.0016588205479025,211,.0046382126610069,8,.0001518378930996
27.7,191,.0039912646630853,34,.0007604611375882,147,.0030580299181509,10,.0001727736073462
27.8,236,.0047801771356717,39,.0006316062996348,194,.0040870831879829,3,.000061487648054
27.9,228,.0038897725453921,62,.0009337035368731,155,.0027315299076918,11,.0002245391008273
28,349,.0056482033077714,102,.0009948503570172,230,.0043137088781577,17,.0003396440725965
28.1,328,.0059396727291841,116,.0019702223731173,187,.0035161957376033,25,.0004532546184635
28.2,329,.0060799750533533,79,.0013375647770317,231,.0044632159461173,19,.0002791943302043
28.3,267,.0053453728234558,64,.0014877657621923,191,.0035615318477085,12,.000296075213555
28.4,202,.0030719404779802,48,.0007787644806854,149,.0021769983814579,5,.0001161776158369
28.5,265,.0036715342934031,74,.0008351379544251,177,.0025788286235979,14,.00025756771538
28.6,275,.0062165033267547,49,.0016145539831314,207,.0039578408307079,19,.0006441085129154
28.7,202,.0037255927611852,63,.0010874829668666,128,.0024787553022207,11,.0001593544920979
28.8,165,.0032084295489341,31,.0006183255087535,129,.0023912293321047,5,.0001988747080759
28.9,187,.0058217253230168,38,.001006279278954,138,.0043847715159018,11,.000430674528161
29,303,.0057474913629108,55,.0007672045267668,239,.0047885335607134,9,.0001917532754305
29.1,408,.0083892305738686,111,.0022087803289992,271,.0057245310279086,26,.0004559192169609
29.2,315,.0056925373519192,61,.0010465708708125,241,.0043340977838255,13,.0003118686972812
29.3,281,.0049988430884795,73,.0009099075356716,190,.0038862543797578,18,.0002026811730502
29.4,279,.0059427507694636,64,.0018915401068398,211,.0039972089426783,4,.0000540017199455
29.5,250,.0057878774438223,53,.0014372964242284,172,.0034818755958668,25,.0008687054237271
29.6,472,.0078880965465373,139,.0017764478287177,319,.0059094898931562,14,.0002021588246635
29.7,299,.0050641564658918,49,.0008194034853659,233,.0038069181185847,17,.0004378348619412
29.8,416,.0067712207264918,71,.0011286745800589,316,.0052050386459683,29,.0004375075004646
29.9,340,.005949507762125,82,.0013277685925459,255,.0045863244290558,3,.0000354147405233
30,435,.0098577719081163,101,.0023733284658647,315,.0071472071205676,19,.000337236321684
30.1,407,.0084280915004342,82,.0013147781359066,316,.0070434839565792,9,.0000698294079484
30.2,450,.0087781768704502,74,.0012596373824181,357,.0072266007750699,19,.0002919387129623
30.3,393,.0093300613335714,73,.0012130114396314,296,.007178150544064,24,.000938899349876
30.4,469,.0089060330432744,112,.001829427828568,339,.0066132815092033,18,.0004633237055032
30.5,570,.0119154824031966,152,.0031823548051193,400,.0082854222711717,18,.0004477053269056
