temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
9.199999999999999,3,3.27119707322e-07,3,3.27119707322e-07,0,0
11.5,6,3.50458367393e-06,6,3.50458367393e-06,0,0
11.8,36,.0000193870351666,35,.0000172451799187,1,2.14185524783e-06
11.9,18,4.11885258700e-06,7,2.17041331041e-06,11,1.94843927659e-06
12,2,1.21155449051e-06,2,1.21155449051e-06,0,0
12.1,187,.0000462734307476,186,.0000459764917267,1,2.96939020927e-07
12.2,72,.0000268539431971,72,.0000268539431971,0,0
12.7,121,.000143436150907,118,.0001424197432272,3,1.01640767980e-06
12.8,14,2.87641434227e-06,0,0,14,2.87641434227e-06
12.9,1,6.00368537107e-07,1,6.00368537107e-07,0,0
13,27,.000050046124727,27,.000050046124727,0,0
13.1,20,6.13473855537e-06,18,5.98870296642e-06,2,1.46035588955e-07
13.4,2,1.68752237073e-07,2,1.68752237073e-07,0,0
13.5,111,.0000873443705132,101,.0000856678819474,10,1.67648856575e-06
13.6,17,4.54560094454e-06,16,4.37619966931e-06,1,1.69401275230e-07
13.7,97,.0000901026043323,94,.0000898251367154,3,2.77467616883e-07
13.8,11,1.83112403818e-06,1,1.20073707421e-07,10,1.71105033075e-06
13.9,15,1.47452676202e-06,14,1.40475420096e-06,1,6.97725610621e-08
14,27,6.60280978337e-06,16,4.45262508464e-06,11,2.15018469873e-06
14.1,48,.0000317481907501,46,.0000309872912325,2,7.60899517616e-07
14.2,64,.0001110177677788,64,.0001110177677788,0,0
14.3,84,.0000377936851237,83,.0000375918314859,1,2.01853637805e-07
14.4,66,.000029359210302,58,.0000278652662473,8,1.49394405469e-06
14.5,343,.000120430571009,325,.0001106221181431,18,9.80845286591e-06
14.6,20,4.03458470544e-06,20,4.03458470544e-06,0,0
14.7,250,.0001404786083334,230,.0001322298691981,20,8.24873913530e-06
14.9,419,.000073710488266,408,.0000713131248133,11,2.39736345264e-06
15,247,.000072077919107,228,.0000620880032116,19,9.98991589540e-06
15.1,73,.000021119720504,51,.0000190049629829,22,2.11475752110e-06
15.2,75,.0000215552853362,59,.0000181706671967,16,3.38461813953e-06
15.3,309,.0001252864713805,279,.0001146086739325,30,.000010677797448
15.4,221,.0000393565363055,211,.0000360746299535,10,3.28190635202e-06
15.5,409,.0002295558265359,385,.0002236512292058,24,5.90459733019e-06
15.6,473,.0002363912102155,457,.0002328448171838,16,3.54639303168e-06
15.7,127,.000078244893146,98,.0000696276577656,29,8.61723538037e-06
15.8,204,.0000474894202256,200,.0000460355548597,4,1.45386536587e-06
15.9,523,.0001382901288096,463,.0001221653663137,60,.0000161247624959
16,525,.0000964427664698,475,.0000859344242485,50,.0000105083422213
16.1,474,.0001269037341203,403,.0000956494143125,71,.0000312543198078
16.2,74,.0000262713150008,37,.0000112851430814,37,.0000149861719194
16.3,448,.000151852022519,409,.0001373320826588,39,.0000145199398602
16.4,300,.0001232895704746,271,.0001068827970911,29,.0000164067733834
16.5,798,.0003211519396302,721,.000292378656809,77,.0000287732828212
16.6,806,.0003040377053942,800,.0003002789117694,6,3.75879362480e-06
16.7,583,.000331932395671,564,.0003283519817465,19,3.58041392445e-06
16.8,595,.000159099713084,552,.0001394935702592,43,.0000196061428248
16.9,740,.0001986112085977,726,.0001969121116296,14,1.69909696801e-06
17,1155,.0005677983638925,1096,.0005504005492902,59,.0000173978146023
17.1,1114,.0003988949582343,1029,.0003799846479602,85,.0000189103102741
17.2,260,.0001438266622458,162,.0001166841100186,98,.0000271425522271
17.3,836,.0003759744038874,726,.0003361267011286,110,.0000398477027588
17.4,695,.0002550811698683,611,.0002327180913895,84,.0000223630784788
17.5,983,.000286581370176,861,.0002635793591264,122,.0000230020110497
17.6,1224,.0002851292894075,1124,.0002410421738173,100,.0000440871155902
17.7,557,.0001914540049945,471,.0001727968230689,86,.0000186571819256
17.8,818,.0003394082819188,744,.0002654834999909,74,.0000739247819279
17.9,2419,.0005316190216025,2259,.0004834742802,160,.0000481447414025
18,1239,.0003007640735326,1161,.0002831016102895,78,.0000176624632431
18.1,1869,.000390461889813,1737,.0003428947465753,132,.0000475671432376
18.2,1334,.0004121263225585,1176,.0003289491583089,158,.0000831771642495
18.3,2264,.0006347132800109,2115,.0005893005941289,149,.000045412685882
18.4,1912,.0005522662354114,1638,.0004385897558734,274,.000113676479538
18.5,3256,.0007598836239922,3062,.0006789374506866,194,.0000809461733056
18.6,1929,.0006000957562264,1696,.0005441525521501,233,.0000559432040763
18.7,3145,.0008269969786951,2951,.0007447925201802,194,.0000822044585149
18.8,2166,.0006447291538088,1953,.0005615171037654,213,.0000832120500434
18.9,2518,.0006608155142871,2409,.0006218707445349,109,.0000389447697522
19,2557,.0009679081206322,2331,.0008953083683583,226,.0000725997522739
19.1,2555,.0006918182750271,2301,.0005870169188205,254,.0001048013562066
19.2,3118,.0010616711875819,2828,.0009430822323342,290,.0001185889552477
19.3,2215,.0006100022694602,2028,.0005418933812544,187,.0000681088882057
19.4,3222,.0011045532420333,2933,.0009658453968591,289,.0001387078451742
19.5,3214,.0008253880446301,2909,.0007018819101159,305,.0001235061345142
19.6,4129,.0011745801163379,3699,.0009877581435802,430,.0001868219727577
19.7,4670,.0013113627853176,4380,.0012030806427212,290,.0001082821425964
19.8,5244,.0014183659760469,4730,.0012424060762157,514,.0001759598998312
19.9,4594,.0010949306328794,4290,.0010084661540049,304,.0000864644788745
20,5651,.0016738471701192,5201,.0014974002141503,450,.0001764469559689
20.1,4830,.0012848779825614,4348,.0010618164670202,482,.0002230615155412
20.2,5198,.0016274690260278,4739,.0014368882055695,459,.0001905808204583
20.3,5757,.0014528639627578,5329,.0013029547022505,428,.0001499092605073
20.4,5538,.001598706997644,5038,.0013884363068488,500,.0002102706907952
20.5,7785,.0017266634274975,7308,.0015788688161464,477,.0001477946113511
20.6,5768,.0015877590900555,5233,.0013916278881307,535,.0001961312019247
20.7,6930,.0020965298677247,6215,.0018280021751256,715,.0002685276925991
20.8,8053,.0022805724052422,7354,.0019859474507999,699,.0002946249544422
20.9,6739,.0018273702193099,6205,.0015808524141576,534,.0002465178051523
21,6749,.0024487397328432,6096,.0021492826228897,653,.0002994571099535
21.1,8303,.0023806581649239,7657,.002144394275911,646,.000236263889013
21.2,8465,.0027223917610444,7628,.0023928873957466,837,.0003295043652978
21.3,9669,.0032997610374661,8823,.0029643983177383,846,.0003353627197278
21.4,9059,.0034039549352745,8288,.0030266368989782,771,.0003773180362963
21.5,11032,.0032545689141639,10230,.0028866283637541,802,.0003679405504098
21.6,8628,.0030142728198008,7636,.0025187315630806,992,.0004955412567202
21.7,10836,.0031168947854283,9914,.0026723706285274,922,.0004445241569009
21.8,13450,.0044297961836648,12288,.0039023426910845,1162,.0005274534925803
21.9,11467,.0038147131822841,10322,.0033165083971616,1145,.0004982047851225
22,14286,.0040642447744812,13397,.0036925046462724,889,.0003717401282088
22.1,12872,.0043937694290541,11684,.0039726729514786,1188,.0004210964775755
22.2,15638,.0052110331848141,14395,.0046699689581544,1243,.0005410642266597
22.3,14142,.0048829180991152,12854,.0043699320826018,1288,.0005129860165134
22.4,14380,.0048889226071491,12881,.0041369547092511,1499,.000751967897898
