temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
9.199999999999999,3,3.27119707322e-07,2,2.33656933801e-07,1,9.34627735205e-08
11.5,6,3.50458367393e-06,4,2.84255565930e-06,2,6.62028014631e-07
11.8,36,.0000193870351666,13,9.20932853887e-06,23,.0000101777066277
11.9,18,4.11885258700e-06,7,2.17041331041e-06,11,1.94843927659e-06
12,2,1.21155449051e-06,2,1.21155449051e-06,0,0
12.1,187,.0000462734307476,95,.0000257521856,92,.0000205212451476
12.2,72,.0000268539431971,25,.0000110107587403,47,.0000158431844568
12.7,121,.000143436150907,73,.000086874621644,48,.0000565615292629
12.8,14,2.87641434227e-06,0,0,14,2.87641434227e-06
12.9,1,6.00368537107e-07,1,6.00368537107e-07,0,0
13,27,.000050046124727,18,.0000303014645056,9,.0000197446602215
13.1,20,6.13473855537e-06,11,2.25213915428e-06,9,3.88259940109e-06
13.4,2,1.68752237073e-07,1,8.43761185365e-08,1,8.43761185365e-08
13.5,111,.0000873443705132,57,.0000494041632493,54,.0000379402072639
13.6,17,4.54560094454e-06,7,1.49637794777e-06,10,3.04922299676e-06
13.7,97,.0000901026043323,57,.000063287496058,40,.0000268151082743
13.8,11,1.83112403818e-06,1,1.20073707421e-07,10,1.71105033075e-06
13.9,15,1.47452676202e-06,6,4.46544380139e-07,9,1.02798238188e-06
14,27,6.60280978337e-06,5,6.27466235414e-07,22,5.97534354796e-06
14.1,48,.0000317481907501,31,.0000226332442637,17,9.11494648648e-06
14.2,64,.0001110177677788,41,.0000780556970312,23,.0000329620707475
14.3,84,.0000377936851237,38,.0000161554841895,46,.0000216382009341
14.4,66,.000029359210302,23,.0000147881041386,43,.0000145711061634
14.5,343,.000120430571009,166,.0000550629340097,177,.0000653676369993
14.6,20,4.03458470544e-06,8,1.61650578434e-06,12,2.41807892110e-06
14.7,250,.0001404786083334,125,.0000622778493842,125,.0000782007589493
14.9,419,.000073710488266,230,.0000406103328672,189,.0000331001553988
15,247,.000072077919107,125,.0000322332450438,122,.0000398446740633
15.1,73,.000021119720504,32,.0000134160729104,41,7.70364759362e-06
15.2,75,.0000215552853362,33,.000011298557034,42,.0000102567283022
15.3,309,.0001252864713805,186,.0000691522850644,123,.0000561341863161
15.4,221,.0000393565363055,125,.0000229296423271,96,.0000164268939784
15.5,409,.0002295558265359,193,.0001192044142613,216,.0001103514122747
15.6,473,.0002363912102155,220,.0001177846773928,253,.0001186065328227
15.7,127,.000078244893146,41,.0000292568775535,86,.0000489880155925
15.8,204,.0000474894202256,100,.0000215825450454,104,.0000259068751802
15.9,523,.0001382901288096,279,.0000791727062293,244,.0000591174225804
16,525,.0000964427664698,265,.0000475538923972,260,.0000488888740726
