temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_ag,adj_sample_wgt_ag,no_wgt_nonag,adj_sample_wgt_nonag
9.199999999999999,3,3.27119707322e-07,2,2.33656933801e-07,0,0,1,9.34627735205e-08
11.5,6,3.50458367393e-06,4,2.84255565930e-06,0,0,2,6.62028014631e-07
11.8,36,.0000193870351666,13,9.20932853887e-06,1,2.14185524783e-06,22,8.03585137987e-06
11.9,18,4.11885258700e-06,7,2.17041331041e-06,11,1.94843927659e-06,0,0
12,2,1.21155449051e-06,2,1.21155449051e-06,0,0,0,0
12.1,187,.0000462734307476,95,.0000257521856,1,2.96939020927e-07,91,.0000202243061267
12.2,72,.0000268539431971,25,.0000110107587403,0,0,47,.0000158431844568
12.7,121,.000143436150907,73,.000086874621644,3,1.01640767980e-06,45,.0000555451215831
12.8,14,2.87641434227e-06,0,0,14,2.87641434227e-06,0,0
12.9,1,6.00368537107e-07,1,6.00368537107e-07,0,0,0,0
13,27,.000050046124727,18,.0000303014645056,0,0,9,.0000197446602215
13.1,20,6.13473855537e-06,11,2.25213915428e-06,2,1.46035588955e-07,7,3.73656381214e-06
13.4,2,1.68752237073e-07,1,8.43761185365e-08,0,0,1,8.43761185365e-08
13.5,111,.0000873443705132,57,.0000494041632493,10,1.67648856575e-06,44,.0000362637186981
13.6,17,4.54560094454e-06,7,1.49637794777e-06,1,1.69401275230e-07,9,2.87982172154e-06
13.7,97,.0000901026043323,57,.000063287496058,3,2.77467616883e-07,37,.0000265376406574
13.8,11,1.83112403818e-06,1,1.20073707421e-07,10,1.71105033075e-06,0,0
13.9,15,1.47452676202e-06,6,4.46544380139e-07,1,6.97725610621e-08,8,9.58209820823e-07
14,27,6.60280978337e-06,5,6.27466235414e-07,11,2.15018469873e-06,11,3.82515884922e-06
14.1,48,.0000317481907501,31,.0000226332442637,2,7.60899517616e-07,15,8.35404696886e-06
14.2,64,.0001110177677788,41,.0000780556970312,0,0,23,.0000329620707475
