temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
-19.2,2,.0000302499774989,0,0,2,.0000302499774989
-17.3,3,.0000869047071319,3,.0000869047071319,0,0
-17.1,1,.0000156828064064,1,.0000156828064064,0,0
-15.8,1,8.73326280271e-06,0,0,1,8.73326280271e-06
-15.3,1,4.02470323024e-06,1,4.02470323024e-06,0,0
-15,2,.0000426183396485,2,.0000426183396485,0,0
-14.3,2,.0000331198825734,2,.0000331198825734,0,0
-14,2,.0000198213456315,2,.0000198213456315,0,0
-13.9,2,.0000155392572196,0,0,2,.0000155392572196
-13.7,1,.0000153469754878,1,.0000153469754878,0,0
-13,1,2.14132069232e-06,1,2.14132069232e-06,0,0
-12.6,3,.000015124941001,3,.000015124941001,0,0
-12.5,1,3.57412727681e-06,0,0,1,3.57412727681e-06
-12.4,1,1.91618573808e-06,1,1.91618573808e-06,0,0
-12.3,2,7.75975058787e-06,2,7.75975058787e-06,0,0
-11.9,1,2.68420467364e-06,0,0,1,2.68420467364e-06
-11.7,1,.0000379548146157,1,.0000379548146157,0,0
-11.6,4,.0000521322472196,2,.0000256788989645,2,.000026453348255
-11.5,4,.0000638530837023,2,.0000420483556809,2,.0000218047280214
-11.4,3,.0000208685946745,3,.0000208685946745,0,0
-11.2,3,.0000232315851463,0,0,3,.0000232315851463
-10.8,3,.0000164802777363,3,.0000164802777363,0,0
-10.7,9,.0001491071216151,9,.0001491071216151,0,0
-10.3,9,.0000617680912001,6,.0000453886150353,3,.0000163794761647
-10.1,2,.0000260976084974,2,.0000260976084974,0,0
-10,3,.0000495731928822,3,.0000495731928822,0,0
-9.9,4,.0000509946585225,4,.0000509946585225,0,0
-9.699999999999999,2,.0000406286817451,2,.0000406286817451,0,0
-9.6,2,.0000294103156193,2,.0000294103156193,0,0
-9.300000000000001,1,.0000142619765029,0,0,1,.0000142619765029
-9.1,6,.000140114199894,6,.000140114199894,0,0
-8.9,10,.0001000996835501,10,.0001000996835501,0,0
-8.800000000000001,4,.0000252042118518,4,.0000252042118518,0,0
-8.699999999999999,4,.0000290786447295,3,.0000187878467841,1,.0000102907979453
-8.6,9,.0001726926166157,6,.0000802012073109,3,.0000924914093048
-8.5,4,.0000856085953274,3,.000061524389821,1,.0000240842055064
-8.300000000000001,9,.0002346338333155,9,.0002346338333155,0,0
