temp,no_wgt_comm,risk_adj_sample_wgt_sector_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_sector_low,pop_adj_sample_wgt_low,no_wgt_ag,risk_adj_sample_wgt_sector_ag,pop_adj_sample_wgt_ag,no_wgt_nonag,risk_adj_sample_wgt_sector_nonag,pop_adj_sample_wgt_nonag
-19.2,2,.0000108563281174,5.06608330397e-06,0,0,0,0,0,0,2,.0000108563281174,5.06608330397e-06
-17.3,3,.0000291145706797,.0000145542744576,3,.0000291145706797,.0000145542744576,0,0,0,0,0,0
-17.1,1,5.25400946572e-06,2.62646153715e-06,1,5.25400946572e-06,2.62646153715e-06,0,0,0,0,0,0
-15.8,1,3.13425584864e-06,1.46259401390e-06,0,0,0,0,0,0,1,3.13425584864e-06,1.46259401390e-06
-15.3,1,1.34834465371e-06,6.74032946790e-07,1,1.34834465371e-06,6.74032946790e-07,0,0,0,0,0,0
-15,2,.0000142778753798,7.13746203473e-06,2,.0000142778753798,7.13746203473e-06,0,0,0,0,0,0
-14.3,2,.0000110957289507,5.54671760256e-06,2,.0000110957289507,5.54671760256e-06,0,0,0,0,0,0
-14,2,6.64049139232e-06,3.31955902766e-06,2,6.64049139232e-06,3.31955902766e-06,0,0,0,0,0,0
-13.9,2,5.57683961233e-06,2.60242086370e-06,0,0,0,0,0,0,2,5.57683961233e-06,2.60242086370e-06
-13.7,1,5.14149996889e-06,2.57021861216e-06,1,5.14149996889e-06,2.57021861216e-06,0,0,0,0,0,0
-13,1,7.17379236903e-07,3.58615466212e-07,1,7.17379236903e-07,3.58615466212e-07,0,0,0,0,0,0
-12.6,3,5.06711455728e-06,2.53303358022e-06,3,5.06711455728e-06,2.53303358022e-06,0,0,0,0,0,0
-12.5,1,1.28270835376e-06,5.98573251409e-07,0,0,0,0,0,0,1,1.28270835376e-06,5.98573251409e-07
-12.4,1,6.41955125502e-07,3.20911226481e-07,1,6.41955125502e-07,3.20911226481e-07,0,0,0,0,0,0
-12.3,2,2.59964963334e-06,1.29955606099e-06,2,2.59964963334e-06,1.29955606099e-06,0,0,0,0,0,0
-11.9,1,9.63326669989e-07,4.49534383051e-07,0,0,0,0,0,0,1,9.63326669989e-07,4.49534383051e-07
-11.7,1,.0000127155153677,6.35644300928e-06,1,.0000127155153677,6.35644300928e-06,0,0,0,0,0,0
-11.6,4,.0000180966389962,8.73079397934e-06,2,8.60287218529e-06,4.30054706158e-06,0,0,0,2,9.49376681092e-06,4.43024691776e-06
-11.5,4,.0000219123576244,.0000106937284272,2,.0000140869206007,7.04200419932e-06,0,0,0,2,7.82543702371e-06,3.65172422789e-06
-11.4,3,6.99133772741e-06,3.49494595753e-06,3,6.99133772741e-06,3.49494595753e-06,0,0,0,0,0,0
-11.2,3,8.33751755636e-06,3.89068566164e-06,0,0,0,0,0,0,3,8.33751755636e-06,3.89068566164e-06
-10.8,3,5.52117603547e-06,2.76001719612e-06,3,5.52117603547e-06,2.76001719612e-06,0,0,0,0,0,0
