temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
0,29,.0000246513012705,.0000112308438815,25,.0000244531611884,.000010101460191,4,1.98140082119e-07,1.12938369057e-06
.6,11,.0000127639021059,8.08141010111e-06,7,.0000122326357541,5.05323146172e-06,4,5.31266351800e-07,3.02817863940e-06
.8,5,5.47859507805e-06,3.33199369607e-06,3,5.27642907855e-06,2.17966248783e-06,2,2.02165999497e-07,1.15233120823e-06
.9,12,.0000154647020878,9.97344966436e-06,8,.0000147865888493,6.10825452441e-06,4,6.78113238450e-07,3.86519513995e-06
1,7,3.95577415446e-06,1.87164515353e-06,6,3.91084410012e-06,1.61554716271e-06,1,4.49300543437e-08,2.56097990814e-07
1.1,36,.0000316514866476,.0000158423204653,29,.0000311280589926,.0000128588218331,7,5.23427654997e-07,2.98349863215e-06
1.2,8,6.05184657587e-06,2.73752060309e-06,7,6.00691652153e-06,2.48142261228e-06,1,4.49300543437e-08,2.56097990814e-07
1.3,24,.0000170043234036,7.76229725830e-06,21,.0000168647484884,6.96673060929e-06,3,1.39574915181e-07,7.95566649003e-07
1.4,3,2.66052200715e-06,1.50625365336e-06,2,2.58349905380e-06,1.06722853843e-06,1,7.70229533487e-08,4.39025114929e-07
1.6,10,7.40111130426e-06,3.05735647999e-06,10,7.40111130426e-06,3.05735647999e-06,0,0,0
1.7,48,.0000340659996105,.0000158735383025,41,.0000337253286489,.0000139317391756,7,3.40670961663e-07,1.94179912683e-06
1.8,33,.0000243465557048,.0000114282924955,30,.0000240872566337,9.95030704587e-06,3,2.59299071104e-07,1.47798544958e-06
1.9,15,.0000171495594756,8.50804863717e-06,13,.0000168802744156,6.97314376907e-06,2,2.69285060028e-07,1.53490486809e-06
2.1,3,2.67489779304e-06,1.52604192749e-06,2,2.59525518231e-06,1.07208495592e-06,1,7.96426107286e-08,4.53956971569e-07
2.2,7,.0000133304820622,7.14284692549e-06,6,.0000130210147518,5.37890616670e-06,1,3.09467310444e-07,1.76394075879e-06
2.3,24,.000023672025236,9.77877704145e-06,24,.000023672025236,9.77877704145e-06,0,0,0
2.4,22,.0000310648513775,.000015364042099,18,.0000305860521621,.0000126349221432,4,4.78799215387e-07,2.72911995580e-06
2.5,22,.0000282808844538,.0000126836991257,18,.0000280915406279,.0000116044533911,4,1.89343825951e-07,1.07924573456e-06
2.6,29,.000019014176619,.0000100964223861,22,.0000185901465102,7.67948233715e-06,7,4.24030108803e-07,2.41694004899e-06
2.7,25,.0000349187668469,.0000154257698881,21,.000034729423021,.0000143465241536,4,1.89343825951e-07,1.07924573456e-06
2.8,5,8.05115558933e-06,3.32588585650e-06,5,8.05115558933e-06,3.32588585650e-06,0,0,0
2.9,30,.0000293436890679,.0000132615367221,27,.0000291280915121,.0000120326467226,3,2.15597555808e-07,1.22888999954e-06
3,34,.0000693068690794,.0000321901145384,30,.0000686335269506,.0000283521142563,4,6.73342128721e-07,3.83800028203e-06
3.1,29,.0000655514663706,.0000317451154785,25,.000064668861512,.000026714333643,4,8.82604858532e-07,5.03078183556e-06
3.2,6,.0000355398072998,.0000187136870409,5,.0000347770824192,.0000143662118717,1,7.62724880587e-07,4.34747516920e-06
3.3,52,.0000645366111129,.0000316846595325,44,.0000635861443357,.0000262670695435,8,9.50466777283e-07,5.41758998907e-06
3.4,78,.0001566438421072,.0000732996433328,62,.0001550188658825,.0000640373995537,16,1.62497622469e-06,9.26224377906e-06
3.5,41,.0001202662811437,.0000519368544047,34,.0001198396459472,.0000495050654905,7,4.26635196504e-07,2.43178891424e-06
3.6,56,.0000924284428159,.0000431822232372,47,.0000914825895961,.0000377909300795,9,9.45853219747e-07,5.39129315769e-06
3.7,53,.0001594851059075,.0000737284711647,44,.0001580010235216,.0000652693120031,9,1.48408238587e-06,8.45915916159e-06
3.8,38,.0000829559294964,.000041992026695,31,.000081495052541,.0000336651365842,7,1.46087695541e-06,8.32689011077e-06
3.9,30,.0000821222460132,.0000384206846888,23,.0000812717443068,.0000335728882987,7,8.50501706395e-07,4.84779639010e-06
4,41,.0000486902887396,.0000225039209596,35,.0000482381760776,.0000199269124295,6,4.52112661975e-07,2.57700853012e-06
4.1,56,.0000769973007948,.0000413390393135,43,.0000751943497335,.0000310623525479,13,1.80295106134e-06,.0000102766867656
4.2,44,.0000980961096815,.0000626825537609,32,.0000939046354915,.0000387914634246,12,4.19147418995e-06,.0000238910903363
4.3,37,.0001249977610129,.0000563178089124,33,.0001241121728981,.0000512700224249,4,8.85588114841e-07,5.04778648747e-06
4.4,37,.0000518182428841,.000026189359204,31,.0000509134396793,.0000210320481244,6,9.04803204804e-07,5.15731107953e-06
4.5,89,.0002193178600933,.0001205809351177,71,.0002136467898026,.0000882562567881,18,5.67107029070e-06,.0000323246783296
4.6,32,.0001010294339707,.0000535018669439,22,.0000988036791796,.0000408152298519,10,2.22575479114e-06,.000012686637092
4.7,110,.000289670004161,.0001394045676619,90,.0002859355254827,.0001181183170331,20,3.73447867830e-06,.0000212862506288
4.8,37,.0001120120213614,.0000604040726273,30,.0001093388600566,.000045167252182,7,2.67316130476e-06,.0000152368204454
4.9,53,.0002196167859658,.000095713788312,49,.0002186726741229,.0000903324209958,4,9.44111842927e-07,5.38136731620e-06
5,132,.0001631861927081,.0000962122304458,98,.0001577385146447,.0000651608709319,34,5.44767806332e-06,.0000310513595139
5.1,69,.0002212454499606,.0001040690791712,59,.0002188481992675,.0000904049284571,10,2.39725069306e-06,.000013664150714
5.2,143,.0002692853282973,.0001298664893596,113,.0002657621832896,.0001097848246872,30,3.52314500773e-06,.0000200816646725
5.3,69,.0002718494829352,.0001249075100418,60,.0002694646787518,.0001113143038936,9,2.38480418346e-06,.0000135932061482
5.4,59,.0001894817948767,.0000976313780257,50,.0001858203311826,.0000767613063886,9,3.66146369402e-06,.0000208700716371
5.5,85,.0002335375280609,.0001127846229849,71,.0002304521980818,.0000951984720814,14,3.08532997906e-06,.0000175861509035
5.6,146,.0002918527096121,.0001644095430322,118,.0002835591082544,.0001171366319568,28,8.29360135768e-06,.0000472729110754
5.7,116,.0001984741649004,.0001048831657471,93,.0001941436632364,.0000801996279591,23,4.33050166393e-06,.000024683537788
5.8,57,.0001598317953366,.0000776073531341,43,.0001576411145265,.0000651206352842,14,2.19068081009e-06,.0000124867178499
5.9,47,.0001378292706704,.000075431777887,36,.0001343308987884,.0000554913185766,11,3.49837188196e-06,.0000199404593104
6,152,.0002046274156413,.0001029398708141,118,.0002011452797319,.0000830919552612,34,3.48213590939e-06,.0000198479155529
6.1,44,.0001377967211482,.0000766372023548,37,.0001340678010706,.0000553826348408,7,3.72892007761e-06,.000021254567514
6.2,52,.0001775829885844,.0000875628650192,44,.0001748962456531,.0000722486305449,8,2.68674293125e-06,.0000153142344743
6.3,148,.0002770254445572,.0001346623312486,119,.0002731999550178,.000112857325945,29,3.82548953937e-06,.0000218050053036
6.4,105,.0002119566498493,.0001135478374437,83,.0002070407056749,.0000855273214171,22,4.91594417440e-06,.0000280205160266
6.5,93,.0002226863523553,.0001081951344304,77,.0002196212486751,.0000907242715869,16,3.06510368020e-06,.0000174708628435
6.6,158,.00025236938869,.0001332221232957,121,.0002468897768608,.0001019887434808,37,5.47961182917e-06,.0000312333798149
6.7,106,.0003597892121867,.0001781001972745,86,.0003542143518303,.0001463239075576,20,5.57486035646e-06,.0000317762897168
6.8,84,.000198622294036,.0001044786944249,70,.0001943798720845,.0000802972039367,14,4.24242195152e-06,.0000241814904882
6.9,83,.000276923254404,.0001336271214996,72,.0002732855892305,.0001128926998604,11,3.63766517353e-06,.0000207344216392
7,214,.00047207875269,.0002322305662403,173,.0004650390813481,.0001921049631477,41,7.03967134186e-06,.0000401256030926
7.1,169,.0002933457507162,.0001546317786705,140,.0002870182667607,.000118565590455,29,6.32748395546e-06,.0000360661882155
7.2,148,.000292521276311,.0001410642910713,123,.0002886956503403,.0001192585075103,25,3.82562597068e-06,.000021805783561
7.3,136,.0003342707507983,.0001631882334721,109,.0003295225544662,.0001361238673496,27,4.74819633212e-06,.0000270643661224
7.4,217,.000428277468508,.0002115610427609,172,.0004217249444309,.0001742121427242,45,6.55252407711e-06,.0000373489000367
7.5,103,.0002618293224295,.0001222647604493,88,.0002591614526182,.0001070581010651,15,2.66786981129e-06,.0000152066593841
7.6,131,.0003440607250944,.0001743130522698,105,.0003379732318081,.0001396147935964,26,6.08749328634e-06,.0000346982586734
7.7,150,.0002432233499867,.0001215369416485,118,.0002392393420223,.000098828392737,32,3.98400796442e-06,.0000227085489115
7.8,181,.0004027941392337,.0002065222080603,151,.000395203529763,.0001632562998566,30,7.59060947075e-06,.0000432659082037
7.9,78,.0002383190913591,.0001179921910932,63,.0002346223687368,.0000969211473461,15,3.69672262224e-06,.0000210710437472
8,74,.0001312392776569,.0000695332254423,59,.0001283416938804,.0000530172138582,15,2.89758377647e-06,.0000165160115841
8.1,93,.0002924729862883,.0001471377424451,79,.0002874947987266,.0001187624433356,14,4.97818756173e-06,.0000283752991095
8.199999999999999,158,.0002463993294413,.0001267419543467,122,.0002416789571384,.0000998361833666,36,4.72037230281e-06,.0000269057709801
8.300000000000001,65,.0001835863203041,.0000960260809819,51,.0001797678457933,.0000742610598223,14,3.81847451081e-06,.0000217650211596
8.4,110,.000294752889296,.0001450750804537,88,.0002903429959815,.000119939016713,22,4.40989331452e-06,.0000251360637407
8.5,136,.0003779155235435,.0001771769916843,118,.0003739316120459,.000154468992406,18,3.98391149758e-06,.0000227079992783
8.6,91,.0003139158634262,.0001414975071157,79,.0003116799919667,.0001287532062832,12,2.23587145953e-06,.0000127443008324
8.699999999999999,158,.0003946946152205,.0001951100812505,134,.0003886297326972,.0001605407017848,24,6.06488252330e-06,.0000345693794657
8.800000000000001,104,.0002782195222508,.0001432292555847,88,.0002728669066983,.0001127197452462,16,5.35261555257e-06,.0000305095103386
8.9,104,.0002692072914243,.0001413563050789,85,.00026350475963,.000108852297771,19,5.70253179433e-06,.0000325040073079
9,131,.0002532785236227,.0001278613061828,106,.0002488839423336,.0001028125205806,25,4.39458128909e-06,.0000250487856022
9.1,62,.0001915799658434,.0000927145093215,54,.0001890124675583,.0000780799600193,8,2.56749828509e-06,.0000146345493022
9.199999999999999,106,.0002885129099042,.0001547874772427,89,.0002817783548608,.0001164010145089,17,6.73455504341e-06,.0000383864627338
9.300000000000001,51,.0001937670546468,.0000995465372569,42,.0001900781750805,.0000785201987412,9,3.68887956625e-06,.0000210263385156
9.4,142,.0003379627103612,.000148920943019,128,.0003362016371966,.0001388829570033,14,1.76107316463e-06,.0000100379860157
9.5,84,.0002658418051489,.0001315606389909,68,.0002617291485763,.0001081188024017,16,4.11265657263e-06,.0000234418365892
9.6,95,.0003447262154417,.0001785535598344,76,.0003378886323731,.0001395798446708,19,6.83758306863e-06,.0000389737151636
9.699999999999999,63,.0002056215272468,.0001043629020785,47,.0002019479024398,.0000834235138711,16,3.67362480702e-06,.0000209393882074
9.800000000000001,41,.000172181436831,.0000868071866478,35,.0001692155717592,.0000699019765023,6,2.96586507176e-06,.0000169052101455
9.9,94,.0002514654119317,.0001256782240375,75,.0002473420893239,.0001021755913655,19,4.12332260780e-06,.000023502632672
10,19,.0000794801422614,.0000371429783286,17,.0000786648732856,.0000324960058151,2,8.15268975884e-07,4.64697251346e-06
10.1,70,.0001829720298439,.0001079628561911,45,.0001768477251858,.0000730547752426,25,6.12430465807e-06,.0000349080809485
10.2,73,.000184262617875,.0000894360971699,57,.0001817434770714,.0000750771818616,16,2.51914080351e-06,.0000143589153083
10.3,18,.0001046936845057,.000045616839202,15,.0001042456880214,.0000430632924235,3,4.47996484354e-07,2.55354677847e-06
10.4,51,.0002005956065929,.0000991434114894,43,.000197516536673,.000081592942621,8,3.07906991992e-06,.0000175504688684
10.5,46,.0002441168655167,.0001138552492534,39,.0002416556596927,.0000998265594205,7,2.46120582403e-06,.0000140286898329
10.6,34,.0000974080342928,.0000574196404841,24,.0000941582723044,.0000388962392321,10,3.24976198840e-06,.000018523401252
10.7,48,.0002646255024388,.0001310553095664,42,.0002605133907991,.0001076165794984,6,4.11211163964e-06,.0000234387300679
10.8,49,.0001877322385084,.0000933237744221,42,.0001847488504723,.000076318684421,7,2.98338803617e-06,.000017005090001
10.9,58,.0001901218879823,.0000914526783049,52,.000187679135081,.0000775291686637,6,2.44275290129e-06,.0000139235096412
11,35,.0001707784330733,.0000945282730243,28,.0001662425049744,.0000686738199818,7,4.53592809890e-06,.0000258544530425
11.1,30,.0000576999001609,.0000318686456353,23,.0000561804362178,.0000232078139675,7,1.51946394311e-06,8.66083166784e-06
11.2,29,.0001424061138096,.0000711218727929,24,.0001400805755338,.0000578664773911,5,2.32553827573e-06,.0000132553954018
11.3,27,.000133159512572,.0000730819209593,20,.0001297407359857,.0000535951490974,7,3.41877658627e-06,.0000194867718619
11.4,25,.0001242128082595,.0000610753074852,20,.0001223660094638,.0000505486918883,5,1.84679879567e-06,.000010526615597
11.5,31,.000132454217038,.0000635756695146,28,.0001307784312985,.0000540238153235,3,1.67578573951e-06,9.55185419116e-06
11.6,26,.000107961901108,.0000548988330991,20,.0001060135895159,.0000437936020887,6,1.94831159206e-06,.0000111052310103
11.7,46,.0002491751119464,.0001119269946912,41,.0002474738672618,.0001022300266413,5,1.70124468468e-06,9.69696804987e-06
11.8,34,.0001538366128671,.0000764885880358,30,.0001513891030527,.0000625379647659,4,2.44750981437e-06,.0000139506232699
11.9,29,.0001503373010223,.0000746983371016,24,.0001479549920305,.0000611193530347,5,2.38230899186e-06,.000013578984067
12,19,.0000940404795671,.0000461022466425,15,.0000926682649833,.000038280725903,4,1.37221458374e-06,7.82152073953e-06
12.1,4,.0000240356621362,9.92899322227e-06,4,.0000240356621362,9.92899322227e-06,0,0,0
12.2,24,.0001027569271344,.0000588280627198,19,.0000996587066311,.0000411684370647,5,3.09822050326e-06,.0000176596256551
12.3,26,.0001037841979183,.0000587369009963,19,.0001007834878237,.0000416330771031,7,3.00071009462e-06,.0000171038238932
12.4,11,.000065267210573,.0000311672811222,9,.0000644716919851,.0000266328843281,2,7.95518587893e-07,4.53439679404e-06
12.5,5,.0000151354029754,9.46483709185e-06,4,.0000145277631418,6.00133529360e-06,1,6.07639833561e-07,3.46350179825e-06
12.6,18,.0001223760773996,.0000553442388309,17,.0001214697904288,.0000501784703602,1,9.06286970803e-07,5.16576847076e-06
12.7,21,.0000706500201133,.0000342248749234,18,.0000696967535987,.0000287913265424,3,9.53266514614e-07,5.43354838101e-06
12.8,8,.0000207752505048,.0000198581764153,3,.0000186423962987,7.70106601067e-06,5,2.13285420614e-06,.0000121571104046
12.9,16,.0000799320489904,.0000396638166933,12,.0000786752757449,.0000325003025807,4,1.25677324547e-06,7.16351411256e-06
13,22,.0000982367312616,.000047184201236,18,.0000969877460193,.0000400650781955,4,1.24898524234e-06,7.11912304041e-06
13.1,19,.0000526459424393,.0000322729799223,11,.0000506551006083,.0000209253296362,8,1.99084183095e-06,.0000113476502861
13.2,37,.0001643292055746,.0000772126474544,34,.0001625645948025,.0000671544973443,3,1.76461077217e-06,.0000100581501101
13.3,29,.0000994944209083,.0000478234134107,25,.0000982228008297,.0000405752732604,4,1.27162007857e-06,7.24814015030e-06
13.4,24,.0000856957343132,.000038763672876,22,.0000850595764632,.0000351376203866,2,6.36157849954e-07,3.62605248938e-06
13.5,27,.0000897918521972,.0000478454201698,21,.0000877579450389,.0000362523008448,6,2.03390715825e-06,.000011593119325
13.6,41,.0001830701211532,.0000838856455516,38,.0001815076666389,.0000749797708863,3,1.56245451421e-06,8.90587466529e-06
13.7,32,.0001522357653982,.0000790453563013,25,.0001491795605943,.0000616252165173,7,3.05620480390e-06,.000017420139784
13.8,25,.000149287998255,.0000635978514083,23,.0001489233488883,.0000615193772546,2,3.64649366702e-07,2.07847415368e-06
13.9,37,.0001133280051846,.0000761644397755,22,.0001077766089566,.0000445218950347,15,5.55139622804e-06,.0000316425447409
14,6,.0000316000146086,.0000130537843006,6,.0000316000146086,.0000130537843006,0,0,0
14.1,33,.0001785341273361,.0000783694845268,27,.0001776606241037,.0000733905810648,6,8.73503232413e-07,4.97890346196e-06
14.2,30,.0001569484007291,.0000822152387627,25,.0001536608435799,.0000634764073766,5,3.28755714918e-06,.0000187388313861
14.3,53,.0002519532451899,.000114933985202,44,.000249900304425,.0001032323757215,9,2.05294076494e-06,.0000117016094805
14.4,21,.0000727699570149,.0000323191144389,17,.0000723428079255,.0000298843963265,4,4.27149089433e-07,2.43471811245e-06
14.5,17,.000106177125204,.00005379711655,13,.0001042977464749,.0000430847975963,4,1.87937872909e-06,.0000107123189537
14.6,18,.000068392708414,.0000414407741687,13,.0000658981819015,.0000272221589626,5,2.49452651246e-06,.0000142186152061
14.7,27,.0001466722422805,.0000777428870151,21,.0001434276844066,.0000592491487623,6,3.24455787393e-06,.0000184937382528
14.8,41,.0001892612602816,.0001001181175013,32,.0001851121996879,.0000764687819981,9,4.14906059376e-06,.0000236493355033
