temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
12.4,1,1.06283755485e-06,1.37045242354e-06,0,0,0,1,1.06283755485e-06,1.37045242354e-06
15.6,1,1.51107781221e-06,1.94842596102e-06,0,0,0,1,1.51107781221e-06,1.94842596102e-06
16.3,32,2.57091269162e-06,1.97775290900e-06,22,2.32819829193e-06,1.38164146790e-06,10,2.42714399690e-07,5.96111441098e-07
16.4,54,1.26124737898e-06,1.39016949063e-06,20,9.16727108446e-07,5.44020753779e-07,34,3.44520270534e-07,8.46148736855e-07
16.5,19,3.76066827457e-07,7.87206060338e-07,2,7.32433065309e-08,4.34653646408e-08,17,3.02823520926e-07,7.43740695697e-07
16.6,29,6.05588345826e-06,7.76744704778e-06,13,7.76912412181e-08,4.61049387557e-08,16,5.97819221704e-06,7.72134210902e-06
16.8,43,7.31344069305e-07,8.45282500883e-07,21,5.10534946319e-07,3.02970857291e-07,22,2.20809122986e-07,5.42311643592e-07
16.9,294,5.55867896268e-07,4.29962371984e-07,224,5.02131092928e-07,2.97983701103e-07,70,5.37368033404e-08,1.31978670881e-07
17.1,281,3.09109137644e-06,2.30230759213e-06,217,2.83986151239e-06,1.68528199423e-06,64,2.51229864051e-07,6.17025597893e-07
17.2,17,2.24683683214e-07,4.08129444907e-07,2,7.71500090480e-08,4.57837519008e-08,15,1.47533674166e-07,3.62345693006e-07
17.3,276,.000103885222223,.0001544689813142,174,.0000353699573403,.0000656877527668,102,.0000685152648827,.0000887812285474
17.4,210,2.76585972653e-06,2.35656289838e-06,126,2.38187857016e-06,1.41349742067e-06,84,3.83981156371e-07,9.43065477710e-07
17.5,274,1.68989831895e-06,1.22198039615e-06,208,1.57224959318e-06,9.33032755168e-07,66,1.17648725761e-07,2.88947640981e-07
17.6,520,4.90547238625e-06,4.94607595392e-06,344,3.81291282581e-06,2.26272761755e-06,176,1.09255956045e-06,2.68334833636e-06
17.7,38,2.72033300164e-07,2.47728634273e-07,15,2.25703139289e-07,1.33940829539e-07,23,4.63301608744e-08,1.13787804734e-07
17.8,521,6.16845686618e-06,7.16929366718e-06,353,4.28467594171e-06,2.54268978961e-06,168,1.88378092447e-06,4.62660387757e-06
17.9,844,3.48133167681e-06,2.80253009022e-06,599,3.08587239828e-06,1.83127413678e-06,245,3.95459278532e-07,9.71255953441e-07
18,170,.0000784505035069,.0001185736379944,101,.0000280856812389,.0000534628030078,69,.0000503648222679,.0000651108349866
18.1,509,.0000203900945675,.0000258198475696,326,2.02359028822e-06,1.20087548733e-06,183,.0000183665042792,.0000246189720823
18.2,520,.0000512505859878,.0000717663196511,279,.0000142267430677,.0000226985569722,241,.0000370238429201,.0000490677626789
18.3,787,8.18058976726e-06,7.48984797749e-06,509,6.76579327497e-06,4.01507927139e-06,278,1.41479649229e-06,3.47476870610e-06
18.4,1000,.0000182274917254,.0000235340222559,559,.000010559732324,.0000101444636746,441,7.66775940145e-06,.0000133895585813
18.5,1215,.0000627239750277,.0000788092056788,718,6.76625247825e-06,4.01535178179e-06,497,.0000559577225495,.000074793853897
18.6,543,.000103197963979,.0001364558058829,248,9.43032497347e-06,.0000143409281033,295,.0000937676390055,.0001221148777796
18.7,981,.0000216296306204,.0000272347923591,541,6.85163974157e-06,5.65203055530e-06,440,.0000147779908788,.0000215827618038
18.8,743,.0000381057473256,.0000503921359911,355,8.08997692947e-06,8.72050108530e-06,388,.0000300157703961,.0000416716349058
18.9,1496,.0000584716494215,.0000740276075022,1004,.0000179607639698,.0000194032152648,492,.0000405108854518,.0000546243922374
19,850,.0000575602159398,.000071423407219,494,.0000152525199921,.0000136643996276,356,.0000423076959477,.0000577590075914
19.1,1145,.0001081324531163,.0001372980577747,640,9.98491612503e-06,6.87655785464e-06,505,.0000981475369913,.0001304214999201
19.2,1568,.0001107698909714,.0001473577063031,975,.000035245282901,.0000457892277559,593,.0000755246080704,.0001015684785472
19.3,1406,.0000276262001836,.0000315246978393,864,.0000101276868912,6.01015490945e-06,542,.0000174985132924,.0000255145429298
19.4,1327,.0000201499348975,.0000228889534179,797,.0000135925635519,.0000105036115497,530,6.55737134564e-06,.0000123853418681
19.5,1709,.0000906644168493,.0001144855362179,999,.0000137985369578,.0000120664935669,710,.0000768658798914,.000102419042651
19.6,2160,.0000506116517235,.0000596647045041,1193,.000019573049211,.0000126906639711,967,.0000310386025125,.0000469740405329
19.7,1721,.0000901688743227,.0001128368654386,991,.0000227620184899,.0000211190469757,730,.0000674068558328,.000091717818463
19.8,3498,.0001835813256325,.00022831112182,2082,.0000273850524913,.0000197826039826,1416,.0001561962731411,.0002085285178375
19.9,2399,.000039151966171,.0000526262933931,1435,.0000325108041963,.0000388016231323,964,6.64116197474e-06,.0000138246702608
20,3098,.0000552110789404,.0000589905951154,1868,.0000387932698563,.0000293622467289,1230,.0000164178090841,.0000296283483865
20.1,2621,.0000298947840666,.0000304038076801,1526,.0000230961012812,.0000137061056519,1095,6.79868278534e-06,.0000166977020282
20.2,2864,.0000361518944015,.0000349924531304,1626,.0000288831983847,.0000171403893205,1238,7.26869601680e-06,.0000178520638099
20.3,3175,.0000715247287086,.0000849706511968,1894,.0000362651704765,.0000329408781008,1281,.0000352595582321,.000052029773096
20.4,3781,.0000478690097636,.000047477118488,2293,.0000326660446791,.0000193852743499,1488,.0000152029650844,.0000280918441381
20.5,4462,.000113806621823,.0001459361774725,2562,.0000534456355425,.0000590720413445,1900,.0000603609862805,.000086864136128
20.6,3915,.0001135327687714,.0001306956869024,2289,.0000371141626526,.0000220249569022,1626,.0000764186061188,.0001086707300003
20.7,4869,.0001183432816795,.0001425766763891,2714,.0000577539607359,.0000507216991098,2155,.0000605893209435,.0000918549772793
20.8,5206,.0000822088112787,.0000885599352307,3024,.0000593109196487,.0000443013122541,2182,.00002289789163,.0000442586229766
20.9,4808,.0000526155753959,.0000498585521471,2801,.0000426109335104,.0000252869499189,2007,.0000100046418855,.0000245716022282
21,4185,.0001382133584994,.0001664120721523,2400,.0000631000895525,.0000550484077749,1785,.0000751132689469,.0001113636643774
21.1,5378,.0001258508399449,.000144931795627,3189,.0000537122875067,.0000395494062134,2189,.0000721385524381,.0001053823894136
21.2,5424,.0000916670681275,.0000981509932702,2950,.0000570199957037,.000037707068395,2474,.0000346470724238,.0000604439248752
21.3,6346,.0002144629528892,.0002510825466152,3469,.000087313486914,.0000653548745887,2877,.0001271494659751,.0001857276720265
21.4,6872,.0001558856374141,.0001695735578996,4021,.0000723789853765,.0000429524448824,2851,.0000835066520376,.0001266211130172
21.5,7025,.0001245687317959,.0001372685659828,3898,.0000637334417135,.0000391387291658,3127,.0000608352900824,.000098129836817
21.6,6469,.0001303741070767,.0001527496319735,3330,.0000627718813129,.0000447365639757,3139,.0000676022257637,.0001080130679978
21.7,7842,.0001582149924719,.0001852824310203,4502,.0000749761580594,.0000582643928041,3340,.0000832388344125,.0001270180382162
