temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
12.4,1,1.06283755485e-06,1.37045242354e-06,0,0,0,1,1.06283755485e-06,1.37045242354e-06
15.6,1,1.51107781221e-06,1.94842596102e-06,0,0,0,1,1.51107781221e-06,1.94842596102e-06
16.6,5,5.96713971390e-06,7.69419693825e-06,0,0,0,5,5.96713971390e-06,7.69419693825e-06
17.3,23,.0001013481592338,.0001522676977856,9,.0000332064047655,.0000644038183282,14,.0000681417544683,.0000878638794575
18,19,.0000775557425641,.0001177727824597,10,.0000273358107279,.0000530178012923,9,.0000502199318362,.0000647549811674
18.1,9,.0000175635765913,.0000226469654478,0,0,0,9,.0000175635765913,.0000226469654478
18.2,18,.0000464761212697,.0000668123873311,3,.0000105907963643,.0000205408477996,15,.0000358853249054,.0000462715395315
18.4,3,7.54632966959e-06,.0000116032632604,1,2.88093497147e-06,5.58757301405e-06,2,4.66539469812e-06,6.01569024639e-06
18.5,27,.0000536943719851,.0000692350193674,0,0,0,27,.0000536943719851,.0000692350193674
18.6,40,.0000992283562198,.0001321709645055,5,6.49644334771e-06,.0000125998510612,35,.0000927319128721,.0001195711134443
18.7,7,.0000137895880243,.0000185466305993,1,1.17825709367e-06,2.28522935686e-06,6,.0000126113309307,.0000162614012424
18.8,14,.0000303831133124,.0000410697797406,1,2.91190258395e-06,5.64763467992e-06,13,.0000274712107284,.0000354221450607
18.9,20,.0000449598900332,.0000621956924078,5,6.49644334771e-06,.0000125998510612,15,.0000384634466855,.0000495958413467
19,19,.0000429862927263,.0000576555323448,2,3.42701468981e-06,6.64669460093e-06,17,.0000395592780364,.0000510088377439
19.1,16,.0000955390742092,.0001236500887671,1,7.06600985723e-07,1.37045242354e-06,15,.0000948324732235,.0001222796363436
19.2,21,.0000904158848982,.0001285971834477,9,.0000184785983777,.000035839238933,12,.0000719372865206,.0000927579445147
19.3,4,.000014968519622,.0000193008274891,0,0,0,4,.000014968519622,.0000193008274891
19.4,3,4.99917791785e-06,7.62314209624e-06,2,1.81066502591e-06,3.51178448454e-06,1,3.18851289194e-06,4.11135761169e-06
19.5,17,.0000769128896536,.0001010464382034,1,2.88093497147e-06,5.58757301405e-06,16,.0000740319546821,.0000954588651894
19.6,11,.00002587819165,.0000338873564942,1,7.98827727522e-07,1.54932627083e-06,10,.0000250793639225,.0000323380302234
19.7,51,.0000689454068663,.0000925759066916,2,5.65442076095e-06,.000010966747368,49,.0000632909861054,.0000816091593236
19.8,40,.0001527124191512,.0001986170576345,2,2.62340972768e-06,5.08810262545e-06,38,.0001500890094235,.000193528955009
19.9,3,.0000166241284205,.0000308571084133,2,.0000144930004353,.0000281091724901,1,2.13112798519e-06,2.74793592325e-06
20,5,.0000138776376843,.0000209564832403,2,4.71066300634e-06,9.13633039090e-06,3,9.16697467801e-06,.0000118201528494
20.3,12,.0000381157780396,.0000546626408777,5,8.48381992569e-06,.0000164543672554,7,.0000296319581139,.0000382082736223
20.4,1,7.92645823822e-06,.0000102205967778,0,0,0,1,7.92645823822e-06,.0000102205967778
20.5,28,.0000729404431326,.0001072625413485,10,.0000203225195463,.0000394155234176,18,.0000526179235862,.0000678470179309
20.6,20,.0000677313821882,.0000873347329957,0,0,0,20,.0000677313821882,.0000873347329957
20.7,15,.0000610400725805,.0000866503736461,3,.0000122195734775,.0000236998603214,12,.0000488204991029,.0000629505133247
20.8,7,.0000170318206756,.0000263580021738,3,6.76339971051e-06,.0000131176137756,4,.0000102684209651,.0000132403883981
21,31,.0000757518603223,.0001061775361109,3,.0000130769722091,.000025362785891,28,.0000626748881132,.0000808147502198
21.1,6,.0000672408032187,.0000904085081856,1,5.70144038647e-06,.0000110579421744,5,.0000615393628323,.0000793505660113
21.2,11,.000024004388024,.0000328205484266,2,2.87448335712e-06,5.57506018595e-06,9,.0000211299046669,.0000272454882406
21.3,33,.0001185405283195,.0001593883869191,5,.0000100587719771,.0000195089860426,28,.0001084817563424,.0001398794008765
21.4,13,.0000672667822528,.0000867356654908,0,0,0,13,.0000672667822528,.0000867356654908
21.5,16,.0000449378617873,.0000585801104194,2,9.78319832257e-07,1.89745102830e-06,14,.000043959541955,.0000566826593911
21.6,11,.0000552949713892,.0000749138753235,1,5.56091890758e-06,.0000107854011731,10,.0000497340524817,.0000641284741505
21.7,11,.0000765930572015,.0001054116899013,1,.0000102303529275,.0000198417674255,10,.0000663627042741,.0000855699224758
21.9,17,.0000710521410809,.0000924735482215,1,1.31821025207e-06,2.55666827798e-06,16,.0000697339308289,.0000899168799435
22,52,.0001714792051075,.0002329246632371,9,.0000181742840937,.0000352490211526,43,.0001533049210138,.0001976756420845
22.1,27,.0001054398612723,.0001364469846976,1,7.53589915803e-07,1.46158754433e-06,26,.0001046862713565,.0001349853971533
22.2,19,.0000515358401572,.0000694339130405,5,4.58743807030e-06,8.89733473741e-06,14,.0000469484020869,.0000605365783031
22.3,67,.000211635801918,.0002853590007703,20,.0000191823217506,.0000372041090486,47,.0001924534801674,.0002481548917217
22.4,38,.0000965654953973,.000136146764703,10,.0000178942089235,.0000347058146417,28,.0000786712864738,.0001014409500613
22.5,44,.0001047045480078,.0001378487377224,5,4.36840166174e-06,8.47251433811e-06,39,.0001003361463461,.0001293762233843
22.6,39,.0001161181026532,.0001541400044687,2,6.79014328853e-06,.0000131694819174,37,.0001093279593647,.0001409705225512
22.7,36,.0001095048911566,.0001551595256615,12,.000021475876224,.0000416524595721,24,.0000880290149325,.0001135070660894
22.8,54,.0002444050581971,.000330556914264,7,.0000237115623349,.0000459885691271,47,.0002206934958622,.0002845683451369
22.9,50,.0002119648493988,.0002985198801753,8,.0000387749291519,.000075203967981,42,.0001731899202468,.0002233159121943
23,36,.000106351414189,.0001497294422279,11,.0000193777944162,.0000375832299824,25,.0000869736197728,.0001121462122455
23.1,55,.000306540824397,.0004028103580822,3,.0000116111125976,.0000225197517238,52,.0002949297117993,.0003802906063584
23.2,18,.0001066654793931,.0001453469408261,2,.0000120132763186,.0000232997472267,16,.0000946522030745,.0001220471935994
23.3,56,.0001826045360929,.0002425619856297,7,.0000109320233435,.0000212026573934,49,.0001716725127494,.0002213593282363
23.4,32,.0001551423038109,.0002186758904372,9,.0000286600113668,.0000555860865461,23,.0001264822924441,.0001630898038911
23.5,41,.000128683568505,.0001772992202405,7,.0000174919677534,.0000339256694133,34,.0001111916007517,.0001433735508272
23.6,66,.0002080574975025,.0002824462872013,8,.0000217993617753,.000042279858917,58,.0001862581357273,.0002401664282843
23.7,125,.0003366455147074,.0004591445130302,22,.0000385563541698,.0000747800394549,103,.0002980891605375,.0003843644735753
23.8,74,.0002360340957779,.0003092596643626,10,7.55411234366e-06,.0000146511989954,64,.0002284799834342,.0002946084653672
23.9,64,.0003969360230087,.0005210875688704,4,.0000142556282583,.0000276487887163,60,.0003826803947504,.0004934387801541
24,92,.0003012220771836,.0004110985179011,14,.000034910556721,.000067709020783,78,.0002663115204626,.0003433894971181
