temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
-19.2,2,9.36822345921e-07,5.06608330397e-06,0,0,0,2,9.36822345921e-07,5.06608330397e-06
-17.3,3,.0000310343457386,.0000145542744576,3,.0000310343457386,.0000145542744576,0,0,0
-17.1,1,5.60045191378e-06,2.62646153715e-06,1,5.60045191378e-06,2.62646153715e-06,0,0,0
-15.8,1,2.70463544894e-07,1.46259401390e-06,0,0,0,1,2.70463544894e-07,1.46259401390e-06
-15.3,1,1.43725276303e-06,6.74032946790e-07,1,1.43725276303e-06,6.74032946790e-07,0,0,0
-15,2,.0000152193397298,7.13746203473e-06,2,.0000152193397298,7.13746203473e-06,0,0,0
-14.3,2,.0000118273665066,5.54671760256e-06,2,.0000118273665066,5.54671760256e-06,0,0,0
-14,2,7.07835624780e-06,3.31955902766e-06,2,7.07835624780e-06,3.31955902766e-06,0,0,0
-13.9,2,4.81240817862e-07,2.60242086370e-06,0,0,0,2,4.81240817862e-07,2.60242086370e-06
-13.7,1,5.48052366867e-06,2.57021861216e-06,1,5.48052366867e-06,2.57021861216e-06,0,0,0
-13,1,7.64682283716e-07,3.58615466212e-07,1,7.64682283716e-07,3.58615466212e-07,0,0,0
-12.6,3,5.40123346582e-06,2.53303358022e-06,3,5.40123346582e-06,2.53303358022e-06,0,0,0
-12.5,1,1.10688432642e-07,5.98573251409e-07,0,0,0,1,1.10688432642e-07,5.98573251409e-07
-12.4,1,6.84284827912e-07,3.20911226481e-07,1,6.84284827912e-07,3.20911226481e-07,0,0,0
-12.3,2,2.77106710200e-06,1.29955606099e-06,2,2.77106710200e-06,1.29955606099e-06,0,0,0
-11.9,1,8.31280999591e-08,4.49534383051e-07,0,0,0,1,8.31280999591e-08,4.49534383051e-07
-11.7,1,.0000135539594339,6.35644300928e-06,1,.0000135539594339,6.35644300928e-06,0,0,0
-11.6,4,9.98937724717e-06,8.73079397934e-06,2,9.17013403523e-06,4.30054706158e-06,2,8.19243211936e-07,4.43024691776e-06
-11.5,4,.0000156910724058,.0000106937284272,2,.0000150157939061,7.04200419932e-06,2,6.75278499784e-07,3.65172422789e-06
-11.4,3,7.45233751331e-06,3.49494595753e-06,3,7.45233751331e-06,3.49494595753e-06,0,0,0
-11.2,3,7.19467323052e-07,3.89068566164e-06,0,0,0,3,7.19467323052e-07,3.89068566164e-06
-10.8,3,5.88523494116e-06,2.76001719612e-06,3,5.88523494116e-06,2.76001719612e-06,0,0,0
-10.7,9,.0000532473104613,.0000249715599239,9,.0000532473104613,.0000249715599239,0,0,0
-10.3,9,.0000167158891031,.0000103445465811,6,.0000162086272439,7.60141102774e-06,3,5.07261859184e-07,2.74313555337e-06
-10.1,2,9.31965860218e-06,4.37067001258e-06,2,9.31965860218e-06,4.37067001258e-06,0,0,0
-10,3,.0000177029728547,8.30221847536e-06,3,.0000177029728547,8.30221847536e-06,0,0,0
-9.9,4,.0000182105877684,8.54027712194e-06,4,.0000182105877684,8.54027712194e-06,0,0,0
-9.699999999999999,2,.0000145088170029,6.80424591337e-06,2,.0000145088170029,6.80424591337e-06,0,0,0
-9.6,2,.0000105026510937,4.92546178066e-06,2,.0000105026510937,4.92546178066e-06,0,0,0
-9.300000000000001,1,4.41684250063e-07,2.38850952883e-06,0,0,0,1,4.41684250063e-07,2.38850952883e-06
-9.1,6,.0000500358692079,.0000234654789892,6,.0000500358692079,.0000234654789892,0,0,0
-8.9,10,.0000357463741238,.0000167640901054,10,.0000357463741238,.0000167640901054,0,0,0
-8.800000000000001,4,9.00061968423e-06,4.22104903919e-06,4,9.00061968423e-06,4.22104903919e-06,0,0,0
-8.699999999999999,4,7.02798487850e-06,4.86991558546e-06,3,6.70928545787e-06,3.14647496680e-06,1,3.18699420632e-07,1.72344061866e-06
-8.6,9,.0000315048736184,.000028921516332,6,.000028640473829,.0000134316132971,3,2.86439978936e-06,.0000154899030349
-8.5,4,.0000227167084859,.0000143372100183,3,.0000219708360873,.0000103037328927,1,7.45872398511e-07,4.03347712563e-06
-8.300000000000001,9,.0000837895631776,.0000392950569221,9,.0000837895631776,.0000392950569221,0,0,0
-8.199999999999999,5,6.44192197541e-06,4.61566452259e-06,3,6.11905215919e-06,2.86967139118e-06,2,3.22869816216e-07,1.74599313141e-06
-8.1,5,.0000119635382134,.0000138840341606,3,.0000102883282125,4.82494942844e-06,2,1.67521000094e-06,9.05908473214e-06
-8,4,.0000367834836652,.0000172504660441,4,.0000367834836652,.0000172504660441,0,0,0
-7.9,2,7.62318632042e-06,3.57506974069e-06,2,7.62318632042e-06,3.57506974069e-06,0,0,0
-7.8,6,.0000278858442471,.0000130777127652,6,.0000278858442471,.0000130777127652,0,0,0
-7.7,2,.0000152559314301,7.15462192602e-06,2,.0000152559314301,7.15462192602e-06,0,0,0
-7.6,7,.0000316577760486,.0000200723995931,6,.0000305996653651,.0000143504219068,1,1.05811068352e-06,5.72197768633e-06
-7.5,11,.0000677154773712,.0000317567407819,11,.0000677154773712,.0000317567407819,0,0,0
-7.4,3,.0000117265699373,5.49944650174e-06,3,.0000117265699373,5.49944650174e-06,0,0,0
-7.3,5,4.59573027456e-06,.0000248524729614,0,0,0,5,4.59573027456e-06,.0000248524729614
-7.2,3,8.51748882269e-06,3.99447344535e-06,3,8.51748882269e-06,3.99447344535e-06,0,0,0
-7.1,7,.000022688595152,.0000123328611608,5,.0000223458937398,.0000104796242795,2,3.42701412137e-07,1.85323688129e-06
-7,4,.0000217090242813,.0000101809495732,4,.0000217090242813,.0000101809495732,0,0,0
