temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
18.2,24,.0000154948625664,10,5.35074386221e-06,14,.0000101441187041
18.6,4,2.38849315792e-06,1,5.97123289481e-07,3,1.79136986844e-06
19.1,24,.0000314771589274,12,.0000165669257512,12,.0000149102331761
19.3,23,.0000188915959143,20,.0000153629435999,3,3.52865231434e-06
19.4,13,.0000473106607615,11,.000045101737328,2,2.20892343350e-06
19.6,119,.0000966243367913,75,.0000611632727683,44,.000035461064023
19.7,7,.0000240877586748,7,.0000240877586748,0,0
19.8,45,.0000357853177704,29,.0000231547537268,16,.0000126305640435
19.9,60,.0000592499357595,49,.0000446312332656,11,.0000146187024939
20,61,.0000452681658487,53,.0000380020839543,8,7.26608189439e-06
20.1,301,.0001180324529049,255,.0000980973512394,46,.0000199351016654
20.2,280,.0000739884968084,263,.0000690689365968,17,4.91956021165e-06
20.3,21,.0000661822457459,21,.0000661822457459,0,0
20.4,453,.0000975610202669,448,.0000953609671601,5,2.20005310680e-06
20.5,200,.0001527760981688,185,.000147576636472,15,5.19946169675e-06
20.6,373,.0002358397352289,343,.0002152640244155,30,.0000205757108134
20.7,552,.0002125410559266,521,.0002013597600943,31,.0000111812958323
20.8,353,.0001610063420792,310,.0001351270517453,43,.0000258792903338
20.9,699,.0002405187173249,578,.000169247563365,121,.0000712711539599
21,634,.0002127379889334,592,.0001701331885524,42,.000042604800381
21.1,1000,.0003472218909941,841,.0002814941399798,159,.0000657277510143
21.2,930,.0003000112337919,834,.0002564756452674,96,.0000435355885244
21.3,1334,.0004416662925593,1227,.0003515595239065,107,.0000901067686527
21.4,1501,.0003613525614341,1366,.0002910999260131,135,.000070252635421
21.5,1993,.0004469530510658,1873,.0003916624642475,120,.0000552905868183
21.6,1592,.0005106816297182,1393,.0004017597974819,199,.0001089218322363
21.7,1686,.000443723773726,1607,.0003802409143336,79,.0000634828593924
21.8,2143,.000618970532555,1931,.0004865947363335,212,.0001323757962215
21.9,1641,.0004663092571739,1533,.0003928270712699,108,.0000734821859041
22,2748,.0007000849137473,2568,.000583815923882,180,.0001162689898653
22.1,2395,.0005749098663976,2287,.0005191589963438,108,.0000557508700538
22.2,2198,.0007279594874472,1916,.0005761332113803,282,.0001518262760669
22.3,2880,.0008175417159446,2679,.0007004238802484,201,.0001171178356962
22.4,4029,.0011404005997075,3756,.0009980948170192,273,.0001423057826884
22.5,2933,.0006726997296296,2746,.0005831784552939,187,.0000895212743357
22.6,2858,.0007150163512719,2579,.0005447567078019,279,.0001702596434701
22.7,3200,.0010316880328602,2814,.0008444998877639,386,.0001871881450963
22.8,3065,.0008421502819118,2810,.0007308309782292,255,.0001113193036826
22.9,3246,.0007703729261488,3035,.0006862163493908,211,.000084156576758
23,3459,.0010226426413249,3205,.0009396821500181,254,.0000829604913068
