temp,no_wgt_comm,adj_sample_wgt_comm,no_wgt_low,adj_sample_wgt_low,no_wgt_high,adj_sample_wgt_high
.5,11,.0004311133925512,9,.0003413706508582,2,.000089742741693
.7,9,.0003239226571168,8,.0002983090671478,1,.000025613589969
.8,8,.0003858736308757,7,.0003405728893995,1,.0000453007414762
.9,7,.0002460052528477,6,.0002201191164204,1,.0000258861364273
1.1,1,.0000461912568426,1,.0000461912568426,0,0
1.3,3,.0000803530710982,2,.0000569327021367,1,.0000234203689615
1.5,24,.0008281798000098,24,.0008281798000098,0,0
1.8,3,.0000814087034087,2,.0000571917753405,1,.0000242169280682
1.9,7,.0001996907176363,7,.0001996907176363,0,0
2,6,.00027601174952,6,.00027601174952,0,0
2.2,14,.000465513101517,14,.000465513101517,0,0
2.3,59,.0024554806386732,58,.0023713648570265,1,.0000841157816467
2.4,33,.0014974841615185,32,.0014526603808918,1,.0000448237806268
2.6,2,.0002431655066175,2,.0002431655066175,0,0
2.7,11,.0003816458411166,11,.0003816458411166,0,0
2.8,5,.0005965424261376,5,.0005965424261376,0,0
2.9,4,.0007526441695518,4,.0007526441695518,0,0
3.1,35,.0021117928899912,34,.0020859981195827,1,.0000257947704085
3.2,58,.0027899801098101,57,.0027076324149675,1,.0000823476948426
3.3,16,.0013074473790766,15,.0012735436794173,1,.0000339036996593
3.4,27,.0022373074443749,27,.0022373074443749,0,0
3.5,33,.0017227331227332,32,.0016715267156542,1,.000051206407079
3.6,26,.0014212555870472,26,.0014212555870472,0,0
3.7,20,.002364589166973,20,.002364589166973,0,0
3.8,7,.0004387354292703,7,.0004387354292703,0,0
3.9,21,.0007348259223363,19,.0006765632351744,2,.0000582626871619
4,25,.0021657635024894,25,.0021657635024894,0,0
4.1,12,.0018423873298161,12,.0018423873298161,0,0
4.2,35,.0038273740065051,33,.003749892974156,2,.0000774810323492
4.3,21,.0013985439854878,21,.0013985439854878,0,0
4.4,39,.0032437294757983,38,.0030210845907277,1,.0002226448850706
4.5,27,.0024212407424784,26,.0023664555610594,1,.000054785181419
4.6,24,.0028006781249132,24,.0028006781249132,0,0
4.7,42,.0024574669914728,42,.0024574669914728,0,0
4.8,9,.0014435679404414,9,.0014435679404414,0,0
4.9,41,.0031861215175013,41,.0031861215175013,0,0
5,31,.0028835987432103,31,.0028835987432103,0,0
5.1,68,.0032890233360376,67,.0030232385124691,1,.0002657848235685
5.2,57,.0050324268268014,56,.0049764346185839,1,.0000559922082175
5.3,50,.0074559388485795,49,.0072240171029989,1,.0002319217455806
5.4,42,.0049907319880731,42,.0049907319880731,0,0
5.5,34,.0031489077555307,34,.0031489077555307,0,0
5.6,45,.0055275487447943,44,.0053057909008203,1,.000221757843974
5.7,114,.0086694969959353,113,.0086332564042095,1,.0000362405917258
5.8,50,.0047722492108733,49,.0047481797701039,1,.0000240694407694
5.9,38,.005999112931022,38,.005999112931022,0,0
6,27,.0041008390617208,27,.0041008390617208,0,0
6.1,27,.0049646959887468,27,.0049646959887468,0,0
6.2,47,.0043221370760875,47,.0043221370760875,0,0
6.3,47,.0085459502352023,47,.0085459502352023,0,0
6.4,47,.0037969259319652,46,.0037608132515743,1,.0000361126803909
6.5,70,.008016530162422,70,.008016530162422,0,0
6.6,49,.0024800656483421,49,.0024800656483421,0,0
6.7,33,.0040164218808059,33,.0040164218808059,0,0
6.8,46,.0029471235902747,46,.0029471235902747,0,0
6.9,36,.0044719178404193,36,.0044719178404193,0,0
7,22,.0014864173717797,22,.0014864173717797,0,0
7.1,16,.0015166064094956,16,.0015166064094956,0,0
7.2,33,.0058942803971149,33,.0058942803971149,0,0
7.3,53,.004217611905915,53,.004217611905915,0,0
7.4,19,.0019100629087916,19,.0019100629087916,0,0
7.5,23,.0020537195468933,23,.0020537195468933,0,0
7.6,77,.0039486000205216,76,.0038560969078389,1,.0000925031126826
7.7,22,.002762378200714,22,.002762378200714,0,0
7.8,45,.0059313661549822,44,.0059053907862108,1,.0000259753687715
7.9,14,.0021418759279186,14,.0021418759279186,0,0
8,19,.0016868119710125,19,.0016868119710125,0,0
8.1,21,.0019469781273074,20,.0019214519670641,1,.0000255261602433
8.199999999999999,43,.0038222695657169,41,.0036965397939639,2,.000125729771753
8.300000000000001,25,.0035454687495076,25,.0035454687495076,0,0
8.4,24,.001799690648113,24,.001799690648113,0,0
8.5,14,.0014215196752048,14,.0014215196752048,0,0
8.6,10,.001402117228281,10,.001402117228281,0,0
8.699999999999999,40,.0022274491693679,40,.0022274491693679,0,0
8.800000000000001,14,.0005637132853735,14,.0005637132853735,0,0
8.9,16,.0027843379175465,16,.0027843379175465,0,0
9,42,.0028202679131937,42,.0028202679131937,0,0
9.1,11,.0010557366877038,11,.0010557366877038,0,0
9.199999999999999,45,.0033643312708591,44,.0031444282431039,1,.0002199030277552
9.300000000000001,21,.0020765433873748,20,.0020498870726442,1,.0000266563147306
9.4,32,.0024087032525131,32,.0024087032525131,0,0
9.5,9,.0011377638093109,9,.0011377638093109,0,0
9.6,28,.0050930942088598,28,.0050930942088598,0,0
9.699999999999999,8,.0015603127576469,8,.0015603127576469,0,0
9.800000000000001,28,.0027422232069512,28,.0027422232069512,0,0
9.9,6,.0008334744998137,6,.0008334744998137,0,0
10,9,.0017830307842814,9,.0017830307842814,0,0
10.1,24,.0011516034410306,24,.0011516034410306,0,0
10.2,12,.0026477710998734,12,.0026477710998734,0,0
10.3,5,.0001856921626313,5,.0001856921626313,0,0
10.4,2,.00051232878468,2,.00051232878468,0,0
10.5,16,.0026546622211754,16,.0026546622211754,0,0
10.6,4,.0008365203393623,4,.0008365203393623,0,0
10.7,29,.0019682346737682,29,.0019682346737682,0,0
10.9,37,.0027716077365767,36,.0025396859909961,1,.0002319217455806
11,2,.0003568289175746,2,.0003568289175746,0,0
11.1,6,.0012834074732382,6,.0012834074732382,0,0
11.2,2,.0003361416675034,2,.0003361416675034,0,0
11.4,2,.0001934139636433,2,.0001934139636433,0,0
11.6,2,.000496145861689,2,.000496145861689,0,0
12.2,3,.0002976343766932,3,.0002976343766932,0,0
12.3,1,.0002322391665075,1,.0002322391665075,0,0
13.3,4,.0006367696551024,4,.0006367696551024,0,0
