temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
-2.7,6,.0000318864935025,.0000225784219765,4,.0000295029581139,.0000142849899021,2,2.38353538862e-06,8.29343207442e-06
-1.8,2,.0000153990267791,7.45603028918e-06,2,.0000153990267791,7.45603028918e-06,0,0,0
-1.4,5,.0000254401275015,.0000183775650839,3,.0000234170265685,.0000113382525342,2,2.02310093300e-06,7.03931254975e-06
-.5,4,.0000215751279029,.0000188862827599,2,.0000187574078154,9.08211904971e-06,2,2.81772008748e-06,9.80416371021e-06
0,11,.0000674347306244,.0000353280199761,10,.0000665410216243,.0000322183891512,1,8.93709000138e-07,3.10963082484e-06
.1,4,.0000105692795387,.0000160513507126,1,6.91892500981e-06,3.35006302521e-06,3,3.65035452887e-06,.0000127012876874
.2,4,.0000311117382807,.0000150639425556,4,.0000311117382807,.0000150639425556,0,0,0
.4,3,3.15789293381e-06,.0000109877837531,0,0,0,3,3.15789293381e-06,.0000109877837531
.6,4,.0000387581339965,.0000187662380995,4,.0000387581339965,.0000187662380995,0,0,0
.7,1,7.10737822374e-06,3.44131012753e-06,1,7.10737822374e-06,3.44131012753e-06,0,0,0
.8,4,.0000333489797413,.0000161471884894,4,.0000333489797413,.0000161471884894,0,0,0
.9,4,.0000311819649141,.0000150979456066,4,.0000311819649141,.0000150979456066,0,0,0
1.2,2,9.55333052843e-06,8.02463000582e-06,1,8.41853852762e-06,4.07615880249e-06,1,1.13479200081e-06,3.94847120333e-06
1.3,2,.0000190270438907,9.21267383092e-06,2,.0000190270438907,9.21267383092e-06,0,0,0
1.4,2,.0000129600898617,6.27512486062e-06,2,.0000129600898617,6.27512486062e-06,0,0,0
1.5,2,.0000138397340379,6.70103850098e-06,2,.0000138397340379,6.70103850098e-06,0,0,0
1.6,4,.0000112698535304,.0000142548326494,1,8.33253034216e-06,4.03451440434e-06,3,2.93732318823e-06,.000010220318245
1.7,3,.0000128570515017,.0000144105006257,1,.0000101243285826,4.90208185511e-06,2,2.73272291906e-06,9.50841877057e-06
1.8,4,.0000232831313269,.000014657789734,3,.0000221532304749,.0000107263369955,1,1.12990085199e-06,3.93145273847e-06
2,5,.000033086336316,.0000191866261048,4,.0000320291369462,.0000155081359026,1,1.05719936982e-06,3.67849020222e-06
2.1,2,8.46390651077e-06,7.72544149186e-06,1,7.25289510228e-06,3.51176754521e-06,1,1.21101140849e-06,4.21367394665e-06
2.2,4,.0000110082335141,.0000145151107063,1,7.94172319729e-06,3.84528993891e-06,3,3.06651031678e-06,.0000106698207674
2.3,6,.0000286443950017,.0000196090559257,4,.0000267281216111,.0000129414463572,2,1.91627339063e-06,6.66760956847e-06
2.4,7,.0000300965625684,.0000268215262622,3,.000026007086035,.0000125923286305,4,4.08947653341e-06,.0000142291976317
2.5,2,8.11906943454e-06,7.06870309841e-06,1,7.07157278157e-06,3.42397333952e-06,1,1.04749665297e-06,3.64472975889e-06
2.7,6,.0000366434103398,.0000208798578569,5,.0000355959136868,.000017235128098,1,1.04749665297e-06,3.64472975889e-06
2.9,5,.0000236754151501,.0000177675115083,3,.0000215707191273,.0000104442915472,2,2.10469602280e-06,7.32321996111e-06
3,9,.0000460460148588,.0000315694085202,6,.0000429496540164,.0000207957239127,3,3.09636084239e-06,.0000107736846076
3.1,16,.0000970842972947,.0000570960603454,13,.0000937160057219,.0000453762011148,3,3.36829157277e-06,.0000117198592307
3.2,8,.0000462151856482,.0000330872053382,5,.0000426394412898,.0000206455217722,3,3.57574435839e-06,.0000124416835661
3.3,7,.0000442735731667,.0000272689242138,5,.0000423264505116,.0000204939753985,2,1.94712265511e-06,6.77494881529e-06
3.4,7,.0000463096195062,.0000302698240375,5,.000043689748054,.0000211540682358,2,2.61987145223e-06,9.11575580176e-06
3.5,2,1.70839382463e-06,5.94429980083e-06,0,0,0,2,1.70839382463e-06,5.94429980083e-06
3.6,18,.0000923120325069,.0000647434615075,12,.0000856191491039,.0000414557960084,6,6.69288340305e-06,.0000232876654991
3.7,4,.000024856780783,.0000152019704274,3,.0000237995814132,.0000115234802252,1,1.05719936982e-06,3.67849020222e-06
3.8,2,.000015151504158,7.33618207960e-06,2,.000015151504158,7.33618207960e-06,0,0,0
3.9,12,.0000900755316025,.0000519500420069,10,.0000872923124007,.0000422659229571,2,2.78321920177e-06,9.68411904978e-06
4,11,.0000383482090456,.0000399465945975,4,.0000312106967613,.0000151118567828,7,7.13751228432e-06,.0000248347378147
4.1,13,.0000584370764614,.0000507413124069,7,.0000509430287821,.000024666022,6,7.49404767930e-06,.0000260752904069
4.2,9,.0000393149441607,.0000322868563671,5,.0000348909757122,.0000168938049683,4,4.42396844846e-06,.0000153930513989
4.3,8,.0000351970973043,.0000290804314318,4,.0000311779699587,.0000150960113388,4,4.01912734560e-06,.000013984420093
4.4,7,.0000333042260081,.0000266842250767,4,.0000297791093544,.0000144186990383,3,3.52511665369e-06,.0000122655260384
4.5,10,.0000818526258968,.0000423089975357,9,.0000809589168966,.0000391993667108,1,8.93709000138e-07,3.10963082484e-06
4.6,10,.000057527736999,.0000457811529486,6,.0000515426868333,.0000249563699981,4,5.98505016569e-06,.0000208247829505
4.7,17,.0001019188765667,.0000584835347581,14,.0000988688771031,.000047871162451,3,3.04999946366e-06,.0000106123723072
4.8,4,.0000286931660867,.0000170304415406,3,.0000276456694337,.0000133857117817,1,1.04749665297e-06,3.64472975889e-06
4.9,17,.000086806633476,.0000645225834432,10,.0000792975420154,.0000383949493425,7,7.50909146063e-06,.0000261276341007
5,5,.0000271616166856,.0000201012358048,3,.0000248413325608,.0000120278846225,2,2.32028412483e-06,8.07335118225e-06
5.1,17,.0001141976577514,.0000699556464951,13,.0001093024638976,.0000529229823769,4,4.89519385383e-06,.0000170326641182
5.2,8,.0000542674825965,.0000291059623123,7,.0000533225693289,.0000258181680692,1,9.44913267631e-07,3.28779424308e-06
5.3,12,.0000688880735993,.0000423989263254,9,.0000658686144561,.000031892818015,3,3.01945914316e-06,.0000105061083104
5.4,17,.0000954692351343,.0000671947466344,11,.0000884683327058,.0000428353389452,6,7.00090242844e-06,.0000243594076892
5.5,22,.0001274117167895,.0000831750546695,15,.0001202391681545,.0000582184090945,7,7.17254863503e-06,.000024956645575
5.6,14,.0000695233252372,.0000534325238277,8,.0000629228911748,.0000304665325075,6,6.60043406242e-06,.0000229659913202
5.7,18,.0001136086260658,.0000671464397328,15,.0001095560937756,.000053045788718,3,4.05253229019e-06,.0000141006510148
5.8,5,.0000254625097114,.0000225941068948,3,.0000220352972065,.0000106692352801,2,3.42721250490e-06,.0000119248716146
5.9,10,.0000549923871063,.0000362864818726,7,.0000517673756804,.0000250651614806,3,3.22501142591e-06,.000011221320392
6,8,.0000434866053638,.0000274010806152,6,.0000413681473219,.0000200299759854,2,2.11845804188e-06,7.37110462978e-06
6.1,36,.0001839867370563,.0001260123776774,24,.0001716579540698,.0000831147863209,12,.0000123287829865,.0000428975913564
6.2,30,.0001404918903063,.0001056620203599,18,.0001279262878597,.0000619404222562,12,.0000125656024466,.0000437215981037
6.3,21,.0001386794224345,.0000868353545229,16,.0001321062809438,.0000639643265004,5,6.57314149066e-06,.0000228710280226
6.4,23,.0001233937401253,.0000899073190794,14,.0001133240580202,.000054870193253,9,.000010069682105,.0000350371258264
6.5,13,.0000773458519916,.0000468472858302,10,.0000742084735066,.0000359308812676,3,3.13737848501e-06,.0000109164045625
6.6,7,.000049000614581,.0000265864780431,6,.0000480454614262,.0000232630543451,1,9.55153154791e-07,3.32342369802e-06
6.7,8,.0000545093690789,.0000292230804462,7,.0000535644558113,.0000259352862031,1,9.44913267631e-07,3.28779424308e-06
6.8,18,.0001141269237905,.0000644652532173,15,.0001110533125939,.0000537707248895,3,3.07361119667e-06,.0000106945283278
6.9,16,.0000881458925051,.0000590897266193,11,.0000826670998322,.0000400264491418,5,5.47879267287e-06,.0000190632774775
7,11,.0000525870547676,.000039588851223,7,.0000478706951981,.0000231784342759,4,4.71635956956e-06,.0000164104169471
7.1,11,.0000711664063147,.0000406686538099,9,.0000690929077791,.0000334539843152,2,2.07349853554e-06,7.21466949472e-06
7.2,9,.0000440624827434,.0000301354641579,6,.0000411242176597,.0000199118680939,3,2.93826508369e-06,.000010223596064
7.3,10,.0000352778229171,.0000352821691649,4,.0000292012405225,.0000141389018609,6,6.07658239460e-06,.0000211432673041
7.4,19,.0001050752857736,.0000687258211656,13,.000099116043657,.0000479908360376,6,5.95924211666e-06,.000020734985128
7.5,9,.000055589803992,.0000402796802064,6,.0000511282009938,.0000247556815793,3,4.46160299816e-06,.000015523998627
7.6,33,.0001759908303143,.0001145627375081,23,.0001661920678089,.000080468268834,10,9.79876250540e-06,.0000340944686741
