temp,no_wgt_comm,risk_adj_sample_wgt_comm,pop_adj_sample_wgt_comm,no_wgt_low,risk_adj_sample_wgt_low,pop_adj_sample_wgt_low,no_wgt_high,risk_adj_sample_wgt_high,pop_adj_sample_wgt_high
9.199999999999999,3,1.55399848545e-08,1.17729650473e-08,2,1.41704097345e-08,8.40926084322e-09,1,1.36957511998e-09,3.36370420406e-09
11.5,6,1.82091397960e-07,1.26129172884e-07,4,1.72390240749e-07,1.02302934124e-07,2,9.70115721088e-09,2.38262387597e-08
11.8,36,7.07651981902e-07,6.97735030641e-07,13,5.58510953930e-07,3.31441661672e-07,23,1.49141027972e-07,3.66293368970e-07
11.9,18,1.60179200348e-07,1.48236575903e-07,7,1.31627364119e-07,7.81126860971e-08,11,2.85518362286e-08,7.01238898060e-08
12,2,7.34761975707e-08,4.36035740847e-08,2,7.34761975707e-08,4.36035740847e-08,0,0,0
12.1,187,1.86248475131e-06,1.66537032231e-06,95,1.56177265298e-06,9.26815345137e-07,92,3.00712098333e-07,7.38554977175e-07
12.2,72,8.99922069975e-07,9.66467347929e-07,25,6.67760853723e-07,3.96274718817e-07,47,2.32161216251e-07,5.70192629112e-07
12.7,121,6.09745285152e-06,5.16223472280e-06,73,5.26861734684e-06,3.12659804802e-06,48,8.28835504674e-07,2.03563667478e-06
12.8,14,4.21500996328e-08,1.03521499373e-07,0,0,0,14,4.21500996328e-08,1.03521499373e-07
12.9,1,3.64100785077e-08,2.16071267545e-08,1,3.64100785077e-08,2.16071267545e-08,0,0,0
13,27,2.12700148872e-06,1.80114873416e-06,18,1.83766923101e-06,1.09054286668e-06,9,2.89332257708e-07,7.10605867482e-07
13.1,20,1.93478157051e-07,2.20787860661e-07,11,1.36583722998e-07,8.10539817486e-08,9,5.68944340529e-08,1.39733878912e-07
13.4,2,6.35351449230e-09,6.07335470804e-09,1,5.11709252748e-09,3.03667735402e-09,1,1.23642196481e-09,3.03667735402e-09
13.5,111,3.55213988690e-06,3.14350423514e-06,57,2.99617559740e-06,1.77804471813e-06,54,5.55964289495e-07,1.36545951701e-06
13.6,17,1.35432052017e-07,1.63595156089e-07,7,9.07496628955e-08,5.38543063477e-08,10,4.46823891220e-08,1.09740849741e-07
13.7,97,4.23108771386e-06,3.24277239039e-06,57,3.83814724247e-06,2.27770268846e-06,40,3.92940471383e-07,9.65069701930e-07
13.8,11,3.23552284964e-08,6.59017374005e-08,1,7.28201632327e-09,4.32142543971e-09,10,2.50732121732e-08,6.15803119608e-08
13.9,15,4.21449697363e-08,5.30678845312e-08,6,2.70812279268e-08,1.60710311725e-08,9,1.50637418095e-08,3.69968533587e-08
14,27,1.25614325275e-07,2.37633631439e-07,5,3.80534528333e-08,2.25823677535e-08,22,8.75608724415e-08,2.15051263686e-07
14.1,48,1.50618827677e-06,1.14261021156e-06,31,1.37262061894e-06,8.14565346507e-07,17,1.33567657823e-07,3.28044865050e-07
14.2,64,5.21679896526e-06,3.99550440555e-06,41,4.73378278087e-06,2.80920693108e-06,23,4.83016184383e-07,1.18629747448e-06
14.3,84,1.29684862826e-06,1.36018622499e-06,38,9.79768999265e-07,5.81432242797e-07,46,3.17079628998e-07,7.78753982189e-07
14.4,66,1.11036315698e-06,1.05663134375e-06,23,8.96842583309e-07,5.32220525873e-07,43,2.13520573666e-07,5.24410817881e-07
14.5,343,4.29723624296e-06,4.33426907787e-06,166,3.33935870911e-06,1.98170255961e-06,177,9.57877533847e-07,2.35256651826e-06
14.6,20,1.33468756269e-07,1.45203789437e-07,8,9.80349614821e-08,5.81776773423e-08,12,3.54337947872e-08,8.70261120944e-08
14.7,250,4.92284626918e-06,5.05579336496e-06,125,3.77691606790e-06,2.24136573601e-06,125,1.14593020129e-06,2.81442762895e-06
14.9,419,2.94790274091e-06,2.65282384460e-06,230,2.46286310590e-06,1.46155672098e-06,189,4.85039635012e-07,1.19126712361e-06
15,247,2.53869617473e-06,2.59406803416e-06,125,1.95482440946e-06,1.16006721074e-06,122,5.83871765270e-07,1.43400082342e-06
15.1,73,9.26520988931e-07,7.60093967767e-07,32,8.13634074781e-07,4.82841429172e-07,41,1.12886914150e-07,2.77252538594e-07
15.2,75,8.35513741748e-07,7.75769847472e-07,33,6.85214755602e-07,4.06632514327e-07,42,1.50298986146e-07,3.69137333145e-07
15.3,309,5.01639788253e-06,4.50903184301e-06,186,4.19382453209e-06,2.48877514131e-06,123,8.22573350434e-07,2.02025670171e-06
15.4,221,1.63131080888e-06,1.41643286833e-06,125,1.39059609028e-06,8.25232657764e-07,96,2.40714718602e-07,5.91200210565e-07
15.5,409,8.84635303577e-06,8.26166242662e-06,193,7.22929693087e-06,4.29013998171e-06,216,1.61705610491e-06,3.97152244491e-06
15.6,473,8.88121934883e-06,8.50766631055e-06,220,7.14319520245e-06,4.23904394875e-06,253,1.73802414638e-06,4.26862236180e-06
15.7,127,2.49217451198e-06,2.81601603103e-06,41,1.77431898774e-06,1.05294841291e-06,86,7.17855524246e-07,1.76306761812e-06
15.8,204,1.68853122917e-06,1.70913353159e-06,100,1.30889973837e-06,7.76750932019e-07,104,3.79631490799e-07,9.32382599572e-07
15.9,523,5.66781402722e-06,4.97703052982e-06,279,4.80152524585e-06,2.84940782114e-06,244,8.66288781376e-07,2.12762270868e-06
16,525,3.60036645314e-06,3.47095342701e-06,265,2.88396371739e-06,1.71145386374e-06,260,7.16402735745e-07,1.75949956327e-06
16.1,474,4.64835309810e-06,4.56723679210e-06,242,3.67726723161e-06,2.18223034465e-06,232,9.71085866497e-07,2.38500644745e-06
16.2,74,5.27275570317e-07,9.45498713989e-07,12,1.87643118377e-07,1.11354572452e-07,62,3.39632451940e-07,8.34144141537e-07
16.3,448,6.30630541476e-06,5.46511994015e-06,235,5.38139675976e-06,3.19352563816e-06,213,9.24908654998e-07,2.27159430199e-06
16.4,300,4.47470835530e-06,4.43716379728e-06,147,3.51813223509e-06,2.08779357247e-06,153,9.56576120204e-07,2.34937022481e-06
16.5,798,.0000119655137619,.0000115581858562,370,9.57238725352e-06,5.68061891970e-06,428,2.39312650840e-06,5.87756693649e-06
16.6,806,.0000129169585581,.0000109422485137,474,.0000111576623985,6.62138163610e-06,332,1.75929615964e-06,4.32086687763e-06
16.7,583,.0000137350302249,.0000119461720348,323,.0000116973845655,6.94167320592e-06,260,2.03764565937e-06,5.00449882890e-06
16.8,595,5.97102247152e-06,5.72596275561e-06,314,4.79924550856e-06,2.84805494710e-06,281,1.17177696296e-06,2.87790780851e-06
16.9,740,7.92075922457e-06,7.14797261764e-06,456,6.60672716757e-06,3.92068338145e-06,284,1.31403205700e-06,3.22728923619e-06
17,1155,.0000204343724908,.0000204349350343,586,.0000159736828484,9.47939142060e-06,569,4.46068964233e-06,.0000109555436137
17.1,1114,.0000163852657951,.0000143561395518,638,.0000138981276137,8.24767805613e-06,476,2.48713818143e-06,6.10846149568e-06
17.2,260,4.79961824951e-06,5.17628916596e-06,78,3.54973350936e-06,2.10654700106e-06,182,1.24988474015e-06,3.06974216491e-06
