temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,12.504181,-6.9773049,31.985666
-19,27,0,-19,0,27,0,12.238134,-6.8288517,31.30512
-18,27,0,-18,0,27,0,11.972088,-6.6803985,30.624575
-17,27,0,-17,0,27,0,11.706041,-6.5319452,29.944029
-16,27,0,-16,0,27,0,11.439995,-6.383492,29.263481
-15,27,0,-15,0,27,0,11.173948,-6.2350388,28.582935
-14,27,0,-14,0,27,0,10.907903,-6.0865855,27.90239
-13,27,0,-13,0,27,0,10.641856,-5.9381318,27.221844
-12,27,0,-12,0,27,0,10.37581,-5.7896786,26.541298
-11,27,0,-11,0,27,0,10.109763,-5.6412253,25.860752
-10,27,0,-10,0,27,0,9.8437166,-5.4927721,25.180206
-9,27,0,-9,0,27,0,9.5776701,-5.3443189,24.499659
-8,27,0,-8,0,27,0,9.3116236,-5.1958656,23.819113
-7,27,0,-7,0,27,0,9.045577,-5.0474124,23.138567
-6,27,0,-6,0,27,0,8.7795315,-4.8989592,22.458021
-5,27,0,-5,0,27,0,8.513485,-4.7505054,21.777475
-4,27,0,-4,0,27,0,8.2474384,-4.6020522,21.09693
-3,27,0,-3,0,27,0,7.9813919,-4.453599,20.416384
-2,27,0,-2,0,27,0,7.7153454,-4.3051457,19.735836
-1,27,0,-1,0,27,0,7.4492993,-4.1566925,19.05529
0,27,0,0,0,27,0,7.1832528,-4.0082393,18.374744
1,27,0,1,0,27,0,6.9172063,-3.8597858,17.694199
2,27,0,2,0,27,0,6.6511598,-3.7113326,17.013653
3,27,0,3,0,27,0,6.3851137,-3.5628793,16.333107
4,27,0,4,0,27,0,6.1190672,-3.4144258,15.65256
5,27,0,5,0,27,0,5.8530207,-3.2659726,14.972014
6,27,0,6,0,27,0,5.5869741,-3.1175194,14.291468
7,27,0,7,0,27,0,5.3209281,-2.9690659,13.610922
8,27,0,8,0,27,0,5.0548816,-2.8206127,12.930376
9,27,0,9,0,27,0,4.788835,-2.6721594,12.249829
10,27,0,10,0,27,0,4.5227885,-2.5237062,11.569283
11,27,0,11,0,27,0,4.2567425,-2.3752527,10.888738
12,27,0,12,0,27,0,3.990696,-2.2267995,10.208192
13,27,0,13,0,27,0,3.7246497,-2.0783463,9.5276451
14,27,0,14,0,27,0,3.4586031,-1.9298929,8.8470993
15,27,0,15,0,27,0,3.1925569,-1.7814397,8.1665535
16,27,0,16,0,27,0,2.9265103,-1.6329863,7.4860072
17,27,0,17,0,27,0,2.660464,-1.484533,6.8054609
18,27,0,18,0,27,0,2.3944175,-1.3360797,6.1249146
19,27,0,19,0,27,0,2.1283712,-1.1876264,5.4443688
20,27,0,20,0,27,0,1.8623248,-1.0391731,4.7638226
21,27,0,21,0,27,0,1.5962784,-.89071983,4.0832767
22,27,0,22,0,27,0,1.330232,-.74226648,3.4027305
23,27,0,23,0,27,0,1.0641856,-.59381318,2.7221844
24,27,0,24,0,27,0,.79813921,-.44535992,2.0416384
25,27,0,25,0,27,0,.53209281,-.29690659,1.3610922
26,27,0,26,0,27,0,.2660464,-.1484533,.6805461
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,-.26395112,-.67458314,.14668088
29,27,0,29,8,27,0,-.51533061,-1.3140143,.28335315
30,27,0,30,27,27,0,-.74156678,-1.8865457,.4034121
31,27,0,31,64,27,0,-.9300881,-2.3686206,.50844455
32,27,0,32,125,27,0,-1.0683228,-2.7527771,.6161316
33,27,0,33,216,27,0,-1.1436993,-3.0600109,.77261245
34,27,0,34,343,27,0,-1.143646,-3.35274,1.0654482
35,27,0,35,512,27,0,-1.0555911,-3.7309673,1.619785
36,27,0,36,729,27,0,-.86696315,-4.296195,2.5622687
37,27,0,37,1000,27,0,-.56519043,-5.114049,3.9836681
38,27,0,38,1325,27,0,-.15027292,-6.1979284,5.8973827
39,27,0,39,1680,27,0,.32750279,-7.4618559,8.1168613
40,27,0,40,2040,27,0,.81575489,-8.7949028,10.426413
41,27,0,41,2400,27,0,1.3040069,-10.156808,12.764822
42,27,0,42,2760,27,0,1.792259,-11.535559,15.120077
43,27,0,43,3120,27,0,2.2805111,-12.924952,17.485973
44,27,0,44,3480,27,0,2.7687633,-14.32148,19.859007
45,27,0,45,3840,27,0,3.2570152,-15.723017,22.237047
46,27,0,46,4200,27,0,3.7452674,-17.128202,24.618736
47,27,0,47,4560,27,0,4.2335196,-18.536127,27.003166
48,27,0,48,4920,27,0,4.7217717,-19.946157,29.389702
49,27,0,49,5280,27,0,5.2100234,-21.357845,31.777891
50,27,0,50,5640,27,0,5.6982756,-22.770855,34.167408
