temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,11.491444,-8.114439,31.097326
-19,27,0,-19,0,27,0,11.246945,-7.9417911,30.435682
-18,27,0,-18,0,27,0,11.002446,-7.7691431,29.774036
-17,27,0,-17,0,27,0,10.757948,-7.5964956,29.112391
-16,27,0,-16,0,27,0,10.513449,-7.4238482,28.450747
-15,27,0,-15,0,27,0,10.26895,-7.2512002,27.789101
-14,27,0,-14,0,27,0,10.024451,-7.0785527,27.127455
-13,27,0,-13,0,27,0,9.779952,-6.9059052,26.465811
-12,27,0,-12,0,27,0,9.5354538,-6.7332578,25.804165
-11,27,0,-11,0,27,0,9.2909546,-6.5606098,25.142519
-10,27,0,-10,0,27,0,9.0464563,-6.3879623,24.480875
-9,27,0,-9,0,27,0,8.8019571,-6.2153149,23.819229
-8,27,0,-8,0,27,0,8.5574579,-6.0426669,23.157583
-7,27,0,-7,0,27,0,8.3129597,-5.8700194,22.495939
-6,27,0,-6,0,27,0,8.0684605,-5.697372,21.834293
-5,27,0,-5,0,27,0,7.8239617,-5.524724,21.172647
-4,27,0,-4,0,27,0,7.579463,-5.3520765,20.511003
-3,27,0,-3,0,27,0,7.3349643,-5.1794291,19.849358
-2,27,0,-2,0,27,0,7.0904655,-5.0067811,19.187712
-1,27,0,-1,0,27,0,6.8459668,-4.8341336,18.526068
0,27,0,0,0,27,0,6.6014681,-4.6614861,17.864422
1,27,0,1,0,27,0,6.3569689,-4.4888382,17.202776
2,27,0,2,0,27,0,6.1124701,-4.3161907,16.541132
3,27,0,3,0,27,0,5.8679714,-4.1435432,15.879486
4,27,0,4,0,27,0,5.6234727,-3.9708955,15.217841
5,27,0,5,0,27,0,5.378974,-3.7982478,14.556195
6,27,0,6,0,27,0,5.1344752,-3.6256001,13.89455
7,27,0,7,0,27,0,4.889976,-3.4529526,13.232905
8,27,0,8,0,27,0,4.6454773,-3.2803049,12.571259
9,27,0,9,0,27,0,4.4009786,-3.1076574,11.909615
10,27,0,10,0,27,0,4.1564798,-2.9350097,11.24797
11,27,0,11,0,27,0,3.9119809,-2.762362,10.586324
12,27,0,12,0,27,0,3.6674821,-2.5897145,9.9246788
13,27,0,13,0,27,0,3.4229834,-2.4170668,9.2630339
14,27,0,14,0,27,0,3.1784844,-2.2444191,8.601388
15,27,0,15,0,27,0,2.9339857,-2.0717716,7.939743
16,27,0,16,0,27,0,2.689487,-1.8991239,7.2780976
17,27,0,17,0,27,0,2.444988,-1.7264763,6.6164527
18,27,0,18,0,27,0,2.2004893,-1.5538287,5.9548073
19,27,0,19,0,27,0,1.9559904,-1.381181,5.2931619
20,27,0,20,0,27,0,1.7114917,-1.2085334,4.6315169
21,27,0,21,0,27,0,1.4669929,-1.0358858,3.9698715
22,27,0,22,0,27,0,1.222494,-.86323816,3.3082263
23,27,0,23,0,27,0,.97799522,-.6905905,2.6465809
24,27,0,24,0,27,0,.73349643,-.51794291,1.9849358
25,27,0,25,0,27,0,.48899761,-.34529525,1.3232905
26,27,0,26,0,27,0,.2444988,-.17264763,.66164523
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,-.24276523,-.65596974,.17043929
29,27,0,29,8,27,0,-.47512895,-1.2785006,.32824269
30,27,0,30,27,27,0,-.68668967,-1.8374977,.46411842
31,27,0,31,64,27,0,-.86704582,-2.3109407,.57684898
32,27,0,32,125,27,0,-1.0057961,-2.6927764,.68118447
33,27,0,33,216,27,0,-1.0925387,-3.0055056,.82042831
34,27,0,34,343,27,0,-1.1168723,-3.3139272,1.0801826
35,27,0,35,512,27,0,-1.0683954,-3.7222552,1.5854645
36,27,0,36,729,27,0,-.93670636,-4.3371491,2.4637365
37,27,0,37,1000,27,0,-.71140385,-5.2279754,3.8051677
38,27,0,38,1325,27,0,-.39248776,-6.407887,5.6229115
39,27,0,39,1680,27,0,-.021564174,-7.7808189,7.7376904
40,27,0,40,2040,27,0,.35802734,-9.225421,9.9414759
41,27,0,41,2400,27,0,.73761886,-10.699123,12.174361
42,27,0,42,2760,27,0,1.1172104,-12.189775,14.424195
43,27,0,43,3120,27,0,1.4968019,-13.691113,16.684715
44,27,0,44,3480,27,0,1.8763934,-15.199607,18.952394
45,27,0,45,3840,27,0,2.255985,-16.713121,21.225092
46,27,0,46,4200,27,0,2.6355765,-18.230289,23.501442
47,27,0,47,4560,27,0,3.015168,-19.750196,25.780533
48,27,0,48,4920,27,0,3.3947594,-21.272213,28.061731
49,27,0,49,5280,27,0,3.7743511,-22.795883,30.344585
50,27,0,50,5640,27,0,4.1539426,-24.320875,32.628761
