temp,ref,mins_worked,T_spline0,T_spline1,T_ref_spline0,T_ref_spline1,yhat,lower_ci,upper_ci
-20,27,0,-20,0,27,0,-1.7013613,-5.0435705,1.6408477
-19,27,0,-19,0,27,0,-1.6651621,-4.9362602,1.6059361
-18,27,0,-18,0,27,0,-1.628963,-4.8289504,1.5710244
-17,27,0,-17,0,27,0,-1.5927638,-4.7216401,1.5361127
-16,27,0,-16,0,27,0,-1.5565646,-4.6143303,1.501201
-15,27,0,-15,0,27,0,-1.5203655,-4.5070205,1.4662894
-14,27,0,-14,0,27,0,-1.4841663,-4.3997102,1.4313778
-13,27,0,-13,0,27,0,-1.4479671,-4.2924004,1.3964661
-12,27,0,-12,0,27,0,-1.411768,-4.1850901,1.3615545
-11,27,0,-11,0,27,0,-1.3755687,-4.0777802,1.3266428
-10,27,0,-10,0,27,0,-1.3393695,-3.9704702,1.2917311
-9,27,0,-9,0,27,0,-1.3031703,-3.8631601,1.2568195
-8,27,0,-8,0,27,0,-1.2669712,-3.7558503,1.2219079
-7,27,0,-7,0,27,0,-1.230772,-3.6485403,1.1869962
-6,27,0,-6,0,27,0,-1.1945728,-3.5412302,1.1520846
-5,27,0,-5,0,27,0,-1.1583737,-3.4339201,1.1171728
-4,27,0,-4,0,27,0,-1.1221745,-3.3266101,1.0822612
-3,27,0,-3,0,27,0,-1.0859753,-3.2193003,1.0473496
-2,27,0,-2,0,27,0,-1.0497761,-3.1119902,1.0124379
-1,27,0,-1,0,27,0,-1.013577,-3.0046802,.97752625
0,27,0,0,0,27,0,-.97737777,-2.8973701,.94261461
1,27,0,1,0,27,0,-.94117862,-2.7900603,.90770298
2,27,0,2,0,27,0,-.90497941,-2.6827502,.87279129
3,27,0,3,0,27,0,-.86878026,-2.5754402,.83787966
4,27,0,4,0,27,0,-.83258104,-2.4681301,.80296803
5,27,0,5,0,27,0,-.79638189,-2.3608201,.76805633
6,27,0,6,0,27,0,-.76018274,-2.2535102,.7331447
7,27,0,7,0,27,0,-.72398353,-2.1462002,.69823307
8,27,0,8,0,27,0,-.68778437,-2.0388901,.66332138
9,27,0,9,0,27,0,-.65158516,-1.9315801,.62840974
10,27,0,10,0,27,0,-.61538601,-1.8242701,.59349811
11,27,0,11,0,27,0,-.57918686,-1.7169601,.55858642
12,27,0,12,0,27,0,-.54298764,-1.6096501,.52367479
13,27,0,13,0,27,0,-.50678849,-1.5023401,.48876312
14,27,0,14,0,27,0,-.47058931,-1.3950301,.45385149
15,27,0,15,0,27,0,-.43439013,-1.2877201,.41893983
16,27,0,16,0,27,0,-.39819095,-1.18041,.38402817
17,27,0,17,0,27,0,-.36199176,-1.0731001,.34911653
18,27,0,18,0,27,0,-.32579258,-.96579003,.31420487
19,27,0,19,0,27,0,-.28959343,-.85848004,.27929321
20,27,0,20,0,27,0,-.25339425,-.75117004,.24438156
21,27,0,21,0,27,0,-.21719506,-.64386004,.20946991
22,27,0,22,0,27,0,-.18099588,-.53655005,.17455827
23,27,0,23,0,27,0,-.14479671,-.42924002,.1396466
24,27,0,24,0,27,0,-.10859753,-.32193002,.10473496
25,27,0,25,0,27,0,-.072398357,-.21462001,.069823302
26,27,0,26,0,27,0,-.036199179,-.10731,.034911651
27,27,0,27,0,27,0,0,0,0
28,27,0,28,1,27,0,.036096442,-.034564912,.1067578
29,27,0,29,8,27,0,.071576469,-.067145832,.21029876
30,27,0,30,27,27,0,.10582366,-.096268401,.30791572
31,27,0,31,64,27,0,.13822161,-.12160636,.39804956
32,27,0,32,125,27,0,.16815388,-.14486565,.4811734
33,27,0,33,216,27,0,.19500408,-.17091866,.5609268
34,27,0,34,343,27,0,.21815577,-.20879708,.64510864
35,27,0,35,512,27,0,.23699255,-.27149206,.7454772
36,27,0,36,729,27,0,.250898,-.37364027,.87543631
37,27,0,37,1000,27,0,.25925574,-.52823758,1.046749
38,27,0,38,1325,27,0,.26206568,-.74046743,1.2645988
39,27,0,39,1680,27,0,.26179355,-.99169773,1.5152849
40,27,0,40,2040,27,0,.26100776,-1.2570169,1.7790325
41,27,0,41,2400,27,0,.26022196,-1.5280881,2.048532
42,27,0,42,2760,27,0,.25943616,-1.8026506,2.321523
43,27,0,43,3120,27,0,.25865036,-2.0794785,2.5967791
44,27,0,44,3480,27,0,.25786456,-2.3578546,2.8735838
45,27,0,45,3840,27,0,.25707877,-2.6373334,3.1514909
46,27,0,46,4200,27,0,.25629297,-2.9176247,3.4302106
47,27,0,47,4560,27,0,.25550717,-3.1985309,3.7095454
48,27,0,48,4920,27,0,.25472137,-3.4799139,3.9893568
49,27,0,49,5280,27,0,.25393558,-3.7616737,4.2695451
50,27,0,50,5640,27,0,.25314978,-4.0437365,4.550036
