temp,ref,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high
-20,27,-5.722805,12.629774,-30.476707,19.031097,-50.60981,58.240009,-164.75813,63.538509
-19.9,27,-5.7106285,12.602902,-30.411863,18.990604,-50.502129,58.116093,-164.40758,63.40332
-19.799999,27,-5.6984525,12.57603,-30.347019,18.950113,-50.394447,57.992176,-164.05702,63.268131
-19.700001,27,-5.6862764,12.549159,-30.282175,18.909622,-50.28677,57.868263,-163.70648,63.132942
-19.6,27,-5.6741004,12.522286,-30.217331,18.869131,-50.179089,57.74435,-163.35593,62.997753
-19.5,27,-5.6619239,12.495415,-30.152487,18.828638,-50.071407,57.620434,-163.00539,62.862568
-19.4,27,-5.6497478,12.468543,-30.087643,18.788147,-49.963726,57.496517,-162.65483,62.727379
-19.299999,27,-5.6375713,12.44167,-30.022799,18.747656,-49.856045,57.372604,-162.30428,62.59219
-19.200001,27,-5.6253958,12.4148,-29.957954,18.707165,-49.748367,57.248688,-161.95374,62.457001
-19.1,27,-5.6132193,12.387927,-29.89311,18.666672,-49.640686,57.124775,-161.60318,62.321812
-19,27,-5.6010432,12.361055,-29.828266,18.626181,-49.533005,57.000858,-161.25264,62.186623
-18.9,27,-5.5888667,12.334184,-29.763422,18.585688,-49.425323,56.876942,-160.90208,62.051437
-18.799999,27,-5.5766907,12.307311,-29.698578,18.545197,-49.317646,56.753029,-160.55153,61.916248
-18.700001,27,-5.5645146,12.28044,-29.633736,18.504705,-49.209965,56.629116,-160.20099,61.781059
-18.6,27,-5.5523386,12.253568,-29.56889,18.464214,-49.102283,56.505199,-159.85043,61.64587
-18.5,27,-5.5401621,12.226696,-29.504045,18.423721,-48.994602,56.381283,-159.49989,61.510681
-18.4,27,-5.527986,12.199824,-29.439201,18.38323,-48.886925,56.25737,-159.14934,61.375496
-18.299999,27,-5.5158095,12.172952,-29.374357,18.342737,-48.779243,56.133453,-158.79878,61.240307
-18.200001,27,-5.503634,12.146081,-29.309515,18.302246,-48.671562,56.009541,-158.44824,61.105118
-18.1,27,-5.4914575,12.119208,-29.244671,18.261755,-48.563881,55.885624,-158.0977,60.969929
-18,27,-5.4792814,12.092337,-29.179827,18.221264,-48.4562,55.761711,-157.74715,60.83474
-17.9,27,-5.4671049,12.065465,-29.114981,18.180771,-48.348522,55.637794,-157.39659,60.699551
-17.799999,27,-5.4549289,12.038593,-29.050137,18.14028,-48.240841,55.513878,-157.04604,60.564365
-17.700001,27,-5.4427528,12.011722,-28.985294,18.099789,-48.13316,55.389965,-156.6955,60.429176
-17.6,27,-5.4305768,11.984849,-28.92045,18.059298,-48.025478,55.266052,-156.34496,60.293987
-17.5,27,-5.4184003,11.957977,-28.855606,18.018805,-47.917801,55.142136,-155.9944,60.158798
-17.4,27,-5.4062243,11.931106,-28.790762,17.978313,-47.81012,55.018219,-155.64384,60.023609
-17.299999,27,-5.3940477,11.904234,-28.725918,17.93782,-47.702438,54.894306,-155.2933,59.888424
